question,A,B,C,D,E,answer,explanation
<p>Multiphase choppers are used in</p>,low power circuits,high power circuit,both low and high power circuits,medium power circuits,,B,
"<p>In a single phase converter using a centre tapped transformer and with a highly inductive load, the firing angles is <span class=""symbol"">a</span>. Each thyristor conducts for a period</p>","<span class=""symbol"">p</span>","<span class=""symbol"">a</span>","<span class=""symbol"">p</span> - <span class=""symbol"">a</span>","<img src=""/_files/images/electronics-and-communication-engineering/power-electronics/182-9.51-1.png""/>",,A,
<p>In a parallel inverter</p>,each thyristor is turned on twice during each cycle,each thyristor is turned on once during each cycle,each thyristor is turned on either once or twice in each load cycle,each thyristor may be turned on upto four times in each load cycle,,A,
<p>A step up chopper can give an output voltage</p>,higher than input voltage,lower than input voltage,both higher and lower input voltage,all of the above,,A,
<p>The specified maximum junction temperature of thyristors is about</p>,50°C,80°C,120°C,200°C,,C,
<p>A bridge type single phase cycloconverter changes the frequency <i>f</i> to <i>f</i>/3. Then one half wave of output contains</p>,3 full waves of input,3 half waves of input,6 full waves of input,6 half waves of input,,B,
<p>A half bridge inverter</p>,needs a 3 wire dc supply,may use a two wire or 3 wire dc supply,has higher output voltage if fed from 3 wire dc supply,has higher efficiency if fed from 3 wire dc supply,,A,
<p>A 3 phase series inverter has</p>,12 thyristors,6 thyristors,3 thyristors,3 or 6 thyristors,,B,
"<p>In figure, thyristor Th is in off state. When thyristor is turned on, the peak thyristor current can be <br/><img src=""/_files/images/electronics-and-communication-engineering/power-electronics/280-331-1.png""/></p>",5 A,10 A,15 A,20 A,,C,
<p>HVDC systems are preferable for only long distances.</p>,True,False,,,,A,
<p>Surge current rating of an SCR is</p>,the maximum repetitive surge current in which the SCR can withstand,the maximum non-repetitive surge current in which the SCR can withstand,the maximum repetitive or non repetitive surge current in which the SCR can withstand,the maximum surge current in which the SCR can withstand if both surge current and steady current exist together,,B,
<p>Which of the following devices has metal-silicon junction?</p>,General purpose power diode,Schottky diode,SCR,MOSFET,,B,
<p>In a single phase full wave converter (M-2 connection) feeding on R-L load the input voltage is <i>v</i> = V<sub><i>m</i></sub> sin ω<i>t</i>. The expression for rms output voltage is</p>,"<img src=""/_files/images/electronics-and-communication-engineering/power-electronics/276-246-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/power-electronics/276-246-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/power-electronics/276-246-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/power-electronics/276-246-4.png""/>",,B,
<p>A dc chopper is feeding an RLE load. The condition for maximum ripple is</p>,"<span class=""symbol"">a</span> = 1","<span class=""symbol"">a</span> = 0.8","<span class=""symbol"">a</span> = 0.5","<span class=""symbol"">a</span> &lt; 0.5",,A,
<p>In a series inverter</p>,the commutating elements L and C are in parallel,the commutating elements L and C are in series with load,the commutating L and C may be in series or parallel with the load,none of the above,,B,
