question,A,B,C,D,E,answer,explanation
<p>The noise generated by a resistor depends upon</p>,its resistance value,its operating temperature,both its resistance value and operating temperature,none of the above,,B,
<p>In a superheterodyne receiver</p>,the IF stage has better selectivity than RF stage,the RF stage has better selectivity than IF stage,the RF stage has same selectivity than IF stage,none of the above,,A,
<p>The function of an AM detector circuit is to</p>,rectify the input signal,discard the carrier,provide audio signal,all of the above,,D,
<p>Which of the following should be used in order to prevent overloading or the last IF amplifier in a receiver?</p>,Variable selectivity,Variable sensitivity,Double conversion,Squelch,,B,
<p>Most popular IF for receivers tuning to 540 to 1650 kHz is</p>,433 kHz,455 kHz,545 kHz,555 kHz,,B,
<p>In a broadcast superheterodyne receiver</p>,the local oscillator operates below the signal frequency,local oscillator frequency is normally double the IF,RF amplifier normally works at kHz above the carrier frequency,mixer input must be tuned to the signal frequency,,D,
<p>A duplexer is a device used to</p>,feed more than one receiver from a single antenna,connect two transmitters to the same antenna,connect a receiver and a transmitter to the same antenna,none of these,,C,
<p>A heterodyne frequency changer is called a</p>,Modulator,Mixer,Demodulator,Frequency translator,,B,
<p>RF amplifiers are used in radio receivers for</p>,improved image frequency rejection,improved rejection of adjacent unwanted signals,prevention of re-radiation of the local oscillator through the antenna of the receiver,all of the above,,D,
"<p>The sensitivity curve of a standard receiver is represented by<br/><img src=""/_files/images/electronics-and-communication-engineering/radio-receivers/08-79.png""/></p>",curve A,curve B,curve C,curve D,,C,
<p>Which are the popular IF frequencies for microwave and radar receivers operating on frequencies in the range 1 to 10 GHz</p>,"30, 60 and 70 kHz","3, 6 and 7 kHz","30, 60 and 70 MHz","3, 6 and 7 GHz",,C,
<p>In a ratio detector</p>,the linearity is worse than in a phase discriminator,the output is twice that obtainable from a similar phase discriminator,stabilization against signal strength variations is provided,"the circuit is the same as in a discriminator, except that the diodes are reversed",,A,
<p>Neutralization is used in RF amplifiers to</p>,stop oscillation,increase bandwidth,improve selectivity,all of the above,,A,
"<p>When <i>f<sub>s</sub></i> is the signal frequency and <i>f<sub>i</sub></i> is the intermediate frequency, then image frequency <i>f<sub>si</sub></i> is given by</p>",<i>f<sub>si</sub></i> = <i>f<sub>s</sub></i> - 2<i>f<sub>i</sub> </i>,<i>f<sub>si</sub></i> = <i>f<sub>s</sub></i> + 2<i>f<sub>i</sub> </i>,"<img src=""/_files/images/electronics-and-communication-engineering/radio-receivers/06-35-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/radio-receivers/06-35-4.png""/>",,B,
"<p>It is known that noise phase modulates the FM wave. As the noise side band frequency approaches the carrier frequency, the noise amplitude</p>",will increase,will decrease,will remain constant,will reduce to negligible value,,B,
"<p>In a receiver, which of the following device has IF input but RF output?</p>",Demodulator,Loudspeaker,Audio amplifier,Frequency changer,,A,
<p>Transistor are free from which type of noise?</p>,Resistance noise,Partition noise,Flicker noise,Shot noise,,B,
<p>Standard AM radio broadcasts are confined to</p>,MF,HF,VHF,UHF,,A,
<p>In a radio receiver with simple AGC</p>,the highest AGC voltage is produced between stations,"the faster the AGC time constant, the more accurate the output",an increase in signal strength produces more AGC,the audio stage gain is normally controlled by AGC,,C,
<p>Which of the following cannot be used to demodulate SSB?</p>,Complete phase-shift generator,Product detector,Diode balanced modulator,Bipolar transistor balanced modulator,,D,
<p>A transmitter serial current contains</p>,carrier frequencies,audio frequencies,radio frequencies,none of the above,,C,
"<p>In a broadcast superheterodynes receiver having no RF amplifier, the loaded Q of the antenna coupling circuit is 100. If the intermediate frequency is 455 kHz. The image frequency at 25 MHz will be</p>",24.09 MHz,24.54 MHz,25.45 MHz,25.91 MHz,,D,
"<p>In a communication system, noise is most likely to affect the signal</p>",at the transmitter,in the channel,in the information source,at the destination,,B,
<p>The noise produced by a resistor is proportional to</p>,absolute temperature,(absolute temperature)<sup>2</sup>,"<img src=""/_files/images/electronics-and-communication-engineering/radio-receivers/06-52-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/radio-receivers/06-52-4.png""/>",,A,
"<p>In a radio receiver, if the intermediate frequency is too high</p>",Selectivity will be poor,Tracking difficulties will be least,Adjacent channel rejection will improve,All of the above will occur,,A,
"<p>In a superheterodyne receiver, the IF is 455 kHz. If it is tuned to  1200 kHz, the image frequency will be</p>",1655 kHz,2110 kHz,745 kHz,910 kHz,,B," <p>A signal (image) can interfere with a superheterodyne receiver if fits the following equation.</p>
<p>Image = Signal  +/-  2 x I.F.</p>
<p>Which says that a signal has the capacity to interfere with a superhet receiver if its frequency is equal to the signal frequency (1200 kHz in our question) plus or minus twice the IF (455 kHz in our question).</p>
<p>So one possible image is: 1200 + ( 2 x 455 ) = 2110 kHz (possible).</p>
<p>And the other: 1200 - ( 2 x 455 )  = 290 kHz (not likely).</p> "
<p>The selectivity of most receivers is determined largely by</p>,sensitivity,characteristics of IF section,antenna direction,all of the above,,B,
<p>In a superheterodyne receiver with an IF of 450 kHz is tuned to a signal at 1200 kHz. The image frequency is</p>,750 kHz,990 kHz,1650 kHz,2100 kHz,,D,
"<p>In a broadcast superheterodynes receiver having no RF amplifier, the loaded Q of the antenna coupling circuit is 100. If the intermediate frequency is 455 kHz. The rejection ratio at 25 MHz will be</p>",1.116,1.386,2.116,2.386,,A,
<p>As compared to tuned radio frequency receivers which of the following is the advantage of using superheterodyne receivers?</p>,High gain and better sensitivity,Better selectivity at high frequencies,Stability,Noise suppression,,A,
"<p>In a radio receiver, if the intermediate frequency is too low</p>",Image-frequency rejection will improve,Selectivity will be too sharp,The frequency selectivity of the local oscillator will have to be lowered,All of the above,,B,
<p>FM amplifier in a superheterodyne receiver</p>,increases selectivity,suppresses noise,provides improved tracking,improves the rejection of the image frequency,,D,
<p>Padders are used in a receiver to</p>,discard the carrier,facilitate tracking,filter the input signal,suppress noise,,B,
"<p>In a radio receiver, the local oscillator is tuned to a frequency</p>",lower than the incoming frequency,higher than the incoming frequency,equal to incoming frequency,any of the above,,B,
<p>Which of the following oscillator is generally not used at VHF?</p>,Colpitts oscillator,Clapp oscillator,Armstrong oscillator,Ultra Audio oscillator,,C,
<p>An unmodulated voltage 10 <i>V</i> effective is applied to a dioxide detector in which load resistance is 4 x 10<sup>-5</sup> ohms. A micrometer shows that the rectified DC current in this resistance is 30 <i>A</i>. The input resistance of the detector is</p>,114 kW,336 kW,384 kW,455 kW,,B,
<p>The output of a diode detector contains</p>,D.C. voltage,modulating signal,RF ripple,all of the above,,D,
<p>Which of the following noise does not occur in transistors?</p>,Partition noise,Shot noise,Flicker noise,Resistance noise,,A,
<p>Noise generated in a resistor is also known as</p>,partition noise,white noise,thermal noise,shot noise,,C,
<p>Which of the following is used to provide tracking between RF amplifier and local oscillator stages of receiver?</p>,Variable tuning inductor,Ganged tuning inductor,Variable capacitor,Variable preset,,B,
<p>The selectivity of a radio receiver is</p>,its ability to reject adjacent unwanted signals,its ability to amplify weak signals,the frequency at which it gives maximum amplification to signal.,its ability to suppress noise.,,A,
<p>If the intermediate frequency of a superheterodyne receiver falls within the tuning range of the receiver</p>,Unsuitability will occur,Heterodyne whistles will be heard,Tuning to the frequency band immediately adjacent to the intermediate frequency will become impossible,All of the above,,D,
<p>EM 84 tube is used in radio receivers as</p>,audio amplifier,RF amplifier,full wave rectifier,magic eye,,D,
<p>Which of the following statement about receivers is false?</p>,Double conversion is used to improve image rejection,Double conversion is used to improve selectivity,Variable sensitivity is used to improve selectivity,Variable sensitivity is used to eliminate selective fading,,D,
<p>Modulated carrier power in FM</p>,increases with modulating signal power,decreases with modulating signal power,is independent of the modulating signal power,none,,C,
"<p>In superheterodyne receivers, the local oscillator is used to</p>",detect the modulating signal,amplify the received modulated carrier,shift the frequency of the received modulated carrier to the IF band,,,C,
<p>Which of the following is same in AM and FM receivers?</p>,Demodulator,AGC,IF amplifier,All of the above,,C,
<p>A notch filter is sometimes used in communication receivers to</p>,reduce receiver gain at some specific frequency,increase receiver gain at some specific frequency,made selectivity more precise,spread the bandwidth,,A,
<p>Which one of the following is not a useful quantity for comparing the noise performance of receivers?</p>,Noise figure,Noise temperature,Input noise voltage,Equivalent noise resistance,,C,
