question,A,B,C,D,E,answer,explanation
<p>The noise temperature of sky is about __________ °K.</p>,100,273,0,30,,D,
"<p>Assuming earth to be a sphere of radius 6400 km and height of a geosynchronous satellite above Earth as 36000 km, the velocity of a geosynchronous satellite is __________ km/hr.</p>",28000,15000,36000,11100,,D,
"<p>In the context of error detection in satellite transmission, ARQ stands for</p>",Automatic Repeat Request,Automatic Relay Request,Accelerated Recovery Request,Automatic Radiation Quenching,,A,
"<p>To cover all inhabited regions of the Earth, the number of geosynchronous communication satellites required</p>",5,3,10,2,,B,
<p>The different access methods which permit many satellite users to operate in parallel through a single transponder without interfering with each other as</p>,Frequency Division Multiple Access (FDMA),Time Division Multiple Access (TDMA),Code Division Multiple Access (CDMA),All of the above,,D,
"<p>When a communication satellite passes into Earth's shadow, its temperature drops to about __________ ° K.</p>",273,243,170,123,,D,
<p>In envelope detection of an AM waveform</p>,One side band and full-ampiitude carrier are needed,Both side bands and full-amplitude carrier are needed,Only two side bands are needed,Upper side band and part of carrier are needed,,B,
<p>Shannon's Law relates</p>,antenna gain to frequency,noise power to bandwidth,information-carrying capacity to S/N ratio,transmission losses to noise,,B,
<p>India's first three-axis stabilised geostationary communication satellite is</p>,Rohini,Aryabhatta,Apple,Bhaskara,,C,
<p>Point out the false statement.<br/>Launching of geostationary experimental communication satellite has helped India to gain experience in</p>,"Building, for the time, a body-stabilized geosynchronous communication satellite with its own apogee propulsion and control systems",Attitude control and station management operations for a geostationary satellite,Building launching rocket Ariane for putting APPLE in orbit,Domestic communications on an experimental basis,,C,
<p>A modem is</p>,a form of commutator,a device for digitizing speech,a circuit used for suppressing microwave mterference,an electronic circuit which carries out modulation and demodulation of a carrier frequency,,D,
<p>In synchronous detection of an AM signal</p>,Carrier is completely suppressed,Both side hands are suppressed,Only one side band and part of carrier is suppressed,One side band and full carrier is suppressed,,C,
<p>A typical signal strength received from a geosynchronous communication satellite is of the order of a few</p>,milliwatts,kilowatts,picowatts,watts,,C,
<p>The expression for satellite link frequencies such as 4/6 GHz denotes that</p>,4 GHz is the up-link and 6 GHz is the down-link frequency,4 GHz is the down-link and 6 GHz is the up-link frequency,the system operates at a mean frequency of 5 GHz,one frequency is used as a back up for the other,,B,
"<p>Assuming a minimum angle of elevation of 5°, a geosynchronous satellite remains in line-of-sight for __________ percentage of Earth's surface.</p>",30.3,42.4,50,25,,D,
"<p>Mark out the WRONG statement.<br/>As compared to FDMA, the demand assignment system TDMA</p>",Needs very high-speed burst modems,Faces no problems caused by intermodulation of carriers so that transponder can be used at its full power,Needs high-speed manipulation of bit streams,Is less flexible so that channels of widely different capacities cannot used and intermixed,,D,
<p>APPLE was into orbit on 19 th June 1981 by European Space Agency (ESA) from</p>,Cape Canaveral in Florida,Kourou in French Guyana,Canarvon in Western Australia,Bangalore in South India,,B,
<p>A telephone user while talking to a person via a satellite has to wait for reply for about __________ millisecond.</p>,100,270,470,540,,D,
<p>Space communication links are being increasingly moved into Ka-band (200-30 GHz) because it</p>,offers a much wider available bandwidth,does not suffer from atmospheric at tenuation,permits the use of smaller antenna,does not suffer from rain attenuation,,A,
<p>Which of the following statement regarding link loss for a satellite is wrong?</p>,"For fixed antenna, it is inversely proportional to <i>f</i><sup>2</sup>","For fixed frequency, it is inversely proportional to the product of the antenna aperture areas","For a given satellite operating at a given frequency, it is inversely proportional to",Loss in down-link is negligible as compared to that in uplink,,D,
"<p>Depending on the technique used, digitized television requires a bit rate between __________ millions.</p>",40 and 92.5,25 and 60,30 and 82.5,2,,A,
"<p>In selecting a satellite system, the First determining factor is its</p>",EIRP,antenna size,coverage a sea,antenna gain,,C,
