question,A,B,C,D,E,answer,explanation
"<p>If F(<i>j</i>ω) is the Fourier transform of <i>f</i>(<i>t</i>), then</p>",£ <i>f</i>(- <i>t</i>) = F(<i>j</i>ω),£ <i>f</i>(- <i>t</i>) = F* (<i>j</i>ω),£ <i>f</i>(- <i>t</i>) = F(- <i>j</i>ω),£ <i>f</i>(- <i>t</i>) = F* (<i>- j</i>ω),,B,
"<p><p><b>Assertion (A):</b>  Heaviside partial expansion gives a simple procedure to find inverse Laplace transform of the terms having a complex conjugate pair of roots.</p><p><b>Reason (R):</b> If I(<i>s</i>) = P(<i>s</i>)/Q(<i>s</i>) and all roots of Q(<i>s</i>) = 0 are simple, <i>i</i>(<i>t</i>) will have terms with exponentials having real exponents only.</p></p>",Both A and R are correct and R is correct explanation of A<br/>,Both A and R are correct but R is not correct explanation of A<br/>,"A is true, R is false<br/>","A is false, R is true",,B,
<p>An impulse train is</p>,a number of pulses,a number of pulses spaced from each other,a number of pulses all originating together,none of the above,,B,
"<p>For formation of state equations, the inductors and current sources</p>",should be in tree,should be in cotree,may be in tree or cotree,should be in both tree and cotree,,B,
"<p>If <i>f</i>(<i>t</i>) = 1, F(<i>j</i>ω) =</p>","2<span class=""symbol"">p</span>","<span class=""symbol"">p</span>","2<span class=""symbol"">p</span>δ (<span class=""symbol"">p</span>)","<span class=""symbol"">p</span>δ (ω)",,C,
"<p>The power in the signal <i>s</i>(<i>t</i>) = 8 cos (20 <span class=""symbol"">p</span> - <span class=""symbol"">p</span>/2) + 4 sin (15 <span class=""symbol"">p</span><i>t</i>) is</p>",40,41,42,82,,A,
"<p>For the function <i>f</i>(<i>t</i>) = <i>e</i><i><sup>-at</sup></i>, the Laplace transform is</p>","<img src=""/_files/images/electronics-and-communication-engineering/signals-and-systems/04-8-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/signals-and-systems/04-8-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/signals-and-systems/04-8-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/signals-and-systems/04-8-4.png""/>",,D,
"<p>If <i>f</i>(<i>t</i>) ↔ F(<i>j</i>ω), <i>f</i>(- <i>t</i>) ↔</p>",- F(<i>j</i>ω),F(- <i>j</i>ω),F(<i>j</i>ω),0.5 F(<i>j</i>ω),,B,
<p><p><b>Assertion (A):</b>  Transient analysis uses Laplace transformation.</p><p><b>Reason (R):</b> Laplace transform method is suitable for solution of integro differential equations.</p></p>,Both A and R are correct and R is correct explanation of A<br/>,Both A and R are correct but R is not correct explanation of A<br/>,"A is true, R is false<br/>","A is false, R is true",,A,
<p>The minor M<i><sub>ij</sub></i> of an <i>n</i> x <i>n</i> matrix is the determinant of (<i>n</i> - 1) x (<i>n</i> - 1) matrix formed by deleting the <i>i</i>th row and <i>j</i> the column of <i>n</i> x <i>n</i> matrix.</p>,True,False,,,,A,
<p>The peak factor is</p>,rms value/peak value,rms value/average value,peak value/rms value,peak to peak value/rms value,,C,
<p><p><b>Assertion (A):</b>  A half cycle of sine wave can be expressed as sum of sine wave and another sine wave shifted by <i>T</i>/2 where T is the time period.</p><p><b>Reason (R):</b> The function <i>u</i>(<i>t</i> - <i>t</i><sub>0</sub>) - <i>u</i>(<i>t</i> - <i>t</i><sub>0</sub> - T) is a gate function occuring at <i>t</i> = <i>t</i><sub>0</sub> and of duration T.</p></p>,Both A and R are correct and R is correct explanation of A<br/>,Both A and R are correct but R is not correct explanation of A<br/>,"A is true, R is false<br/>","A is false, R is true",,B,
