question,A,B,C,D,E,answer,explanation
"<p>The velocity ratio of a simple wheel and axle with <i>D</i> and <i>d</i> as the diameters of effort wheel and load axle, is</p>",<i>D</i> + <i>d</i>,<i>D</i> - <i>d</i>,<i>D</i> x <i>d</i>,<i>D</i> / <i>d</i>,,D,
<p>The unit of force in S.I. system of units is</p>,dyne,kilogram,newton,watt,,C,
<p>The moment of inertia of a solid cone of mass <i>m</i> and base radius <i>r</i> about its vertical axis is</p>,3<i>mr</i><sup>2</sup>/5,3<i>mr</i><sup>2</sup>/10,2<i>mr</i><sup>2</sup>/5,4<i>mr</i><sup>2</sup>/5,,B,
<p>A body is said to move or vibrate with simple harmonic motion if its acceleration is directed towards the mean position.</p>,True,False,,,,A,
<p>A ladder is resting on a rough ground and leaning against a smooth vertical wall. The force of friction will act</p>,downward at its upper end,upward at its upper end,zero at its upper end,perpendicular to the wall at its upper end,,C,
<p>Joule is the unit of</p>,force,work,power,velocity,,B,
"<p>The force induced in the string <i>AB</i> due to the load <i>W</i>, as shown in the below figure is <br/><img src=""/_files/images/mechanical-engineering/engineering-mechanics/22-62-1.png""/></p>",<i>W</i> sin θ,<i>W</i> cos θ,<i>W</i> sec θ,<i>W</i> cosec θ,,D,
"<p>A spherical body is symmetrical about its perpendicular axis. According to Routh's rule, the moment of inertia of a body about an axis passing through its centre of gravity is(where, <i>M</i> = Mass of the body, and <i>S</i> = Sum of the squares of the two semi-axes.)</p>",<i>MS</i>/3,<i>MS</i>/4,<i>MS</i>/5,none of these,,C,
"<p>The three forces of 100 N, 200 N and 300 N have their lines of action parallel to each other but act in the opposite directions. These forces are known as</p>",coplaner concurrent forces,coplaner non-concurrent forces,like parallel forces,unlike parallel forces,,D,
<p>The efficiency of a lifting machine is the ratio of</p>,output to the input,work done by the machine to the work done on the machine,mechanical advantage to the velocity ratio,all of the above,,D,
<p>A ladder is resting on a smooth ground and leaning against a rough vertical wall. The force of friction will act</p>,towards the wall at its upper and,away from the wall at its upper end,downward at its upper end,upward at its upper end,,D,
