question,A,B,C,D,E,answer,explanation
"<p>The comfort conditions in air conditioning are at (where <i>DBT</i> = Dry bulb temperature, and <i>RH</i> = Relative humidity)</p>",25°C <i>DBT</i> and 100% <i>RH</i>,20°C <i>DBT</i> and 80% <i>RH</i>,22°C <i>DBT</i> and 60% <i>RH</i>,25°C <i>DBT</i> and 40% <i>RH</i>,,C,
"<p>The dry bulb temperature lines, on the psychrometric chart are</p>",vertical and uniformly spaced,horizontal and uniformly spaced,horizontal and non-uniformly spaced,curved lines,,A,
<p>The pressure at the outlet of a refrigerant compressor is called</p>,suction pressure,discharge pressure,critical pressure,back pressure,,B,
<p>A simple air cooling system is good for __________ flight speeds.</p>,low,high,,,,A,
<p>The highest temperature during the cycle in a vapour compression system occurs after evaporation.</p>,True,False,,,,B,
"<p>In a psychrometric chart, dew point temperature lines are horizontal and non-uniformly spaced.</p>",Correct,Incorrect,,,,A,
"<p>If the evaporator temperature is kept constant, the coefficient of performance of a refrigeration cycle __________ with the increase in condenser temperature.</p>",increases,decreases,,,,B,
"<p>The by-pass factor, in case of sensible cooling of air, is given by (where <i>t</i><sub><i>d</i>1</sub> = Dry bulb temperature of air entering the cooling coil, <i>t</i><sub><i>d</i>2</sub> = Dry bulb temperature of air leaving the cooling coil, and <i>t</i><sub><i>d</i>3</sub> = Dry bulb temperature of the cooling coil)</p>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/432-351-1.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/432-351-2.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/432-351-3.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/432-351-4.png""/>",,B,
<p>The evaporator used in house-hold refrigerators is</p>,frosting evaporator,non-frosting evaporator,defrosting evaporator,none of these,,A,
<p>The drier in a refrigeration system removes moisture in the system.</p>,Correct,Incorrect,,,,A,
<p>The __________ point of ammonia is -77.7°C.</p>,freezing,boiling,,,,A,
<p>Sulphur dioxide has the lowest boiling point.</p>,Yes,No,,,,B,
"<p>For a given dry bulb temperature, as the relative humidity __________ the wet bulb temperature will increase.</p>",increases,decreases,,,,B,
<p>The lowest thermal diffusivity is of</p>,iron,lead,aluminium,rubber,,D,
<p>A low wet bulb temperature indicates very __________ humidity.</p>,low,high,,,,A,
<p>The operating temperature of a cold storage is - 2° C. The heat leakage from the surrounding is 30 kW for the ambient temperature of 40° C. The actual C.O.P. of refrigeration plant used is one fourth that of ideal plant working between the same temperatures. The power required to drive the plant is</p>,1.86 kW,3.72 kW,7.44 kW,18.6 kW,,D,
"<p>In chemical dehumidification process,</p>",dew point temperature decreases,wet bulb temperature decreases,dry bulb temperature increases,all of these,,D,
<p>A one tonne refrigerating machine means that</p>,one tonne is the total mass of machine,one tonne refrigerant is used,one tonne of water can be converted into ice,"one tonne of ice when melts from and at 0° C in 24 hours, the refrigeration effect is equivalent to 210 kJ/min",,D,
<p>The air cooling system mostly used in transport type aircrafts is</p>,simple air cooling system,simple evaporative air cooling system,boot-strap air cooling system,all of these,,C,
<p>The critical thickness of insulation is the ratio of thermal conductivity of the insulating material (k) to the heat transfer coefficient at the outer surface of the insulation (<i>h</i><sub>0</sub>).</p>,True,False,,,,A,
"<p>In counter-current flow heat exchanger, the logarithmic temperature difference between the fluids is __________ as compared to parallel flow heat exchanger.</p>",same,less,greater,,,C,
