question,A,B,C,D,E,answer,explanation
<p>The impeller of a centrifugal pump may have</p>,volute casing,volute casing with guide blades,vortex casing,any one of these,,D,
"<p>Kinematic similarity is said to exist between the model and the prototype, if both of them</p>",have identical velocities,are equal in size and shape,"are identical in shape, but differ only in size",have identical forces,,A,
"<p>Power required (in watts) to drive a centrifugal pump is (where <i>H<sub>m</sub></i> = Manometric head in metres, <i>w</i> = Specific weight in N/m<sup>3</sup>, <i>Q</i> = Discharge of the pump in m<sup>3</sup>/s, and η<sub><i>o</i></sub> = Overall efficiency of the pump)</p>","<img src=""/_files/images/mechanical-engineering/hydraulic-machines/200-113-1.png""/>","<img src=""/_files/images/mechanical-engineering/hydraulic-machines/200-113-2.png""/>","<img src=""/_files/images/mechanical-engineering/hydraulic-machines/200-113-3.png""/>","<img src=""/_files/images/mechanical-engineering/hydraulic-machines/200-113-4.png""/>",,B,
<p>A reciprocating pump is suitable for less discharge and higher heads.</p>,True,False,,,,A,
<p>The flow ratio of Francis turbine is defined as the ratio of the</p>,velocity of flow at inlet to the theoretical jet velocity,theoretical velocity of jet to the velocity of flow at inlet,velocity of runner at inlet to the velocity of flow at inlet,none of the above,,A,
"<p>Dynamic similarity is said to exist between the model and the prototype, if both of them</p>",have identical velocities,are equal in size and shape,"are identical in shape, but differ only in size",none of the above,,D,
<p>The specific speed of a turbine is given by the equation</p>,"<img src=""/_files/images/mechanical-engineering/hydraulic-machines/197-76-1.png""/>","<img src=""/_files/images/mechanical-engineering/hydraulic-machines/197-76-2.png""/>","<img src=""/_files/images/mechanical-engineering/hydraulic-machines/197-76-3.png""/>","<img src=""/_files/images/mechanical-engineering/hydraulic-machines/197-76-4.png""/>",,C,
<p>A draft tube is used with impulse turbines.</p>,Yes,No,,,,B,
<p>A hydraulic ram is a device used to</p>,store the energy of water,increase the pressure of water,to lift water from deep wells,to lift small quantity of water to a greater height when a large quantity of water is available at a smaller height,,D,
<p>Overall efficiency of a centrifugal pump is the ratio of</p>,energy available at the impeller to the energy supplied to the pump by the prime mover,actual workdone by the pump to the energy supplied to the pump by the prime mover,energy supplied to the pump to the energy available at the impeller,manometric head to the energy supplied by the impeller per kN of water,,B,
<p>In an inward flow reaction turbine</p>,the water flows parallel to the axis of the wheel,the water enters at the centre of the wheel and then flows towards the outer periphery of the wheel,the water enters the wheel at the outer periphery and then flows towards the centre of the wheel,the flow of water is partly radial and partly axial,,C,
<p>The working of which of the following hydraulic units is based on Pascal's law?</p>,Air lift pump,Jet pump,Hydraulic coupling,Hydraulic press,,D,
"<p>The hydraulic efficiency of a reaction turbine, is the ratio of</p>",power produced by the turbine to the energy actually supplied by the turbine,actual work available at the turbine to energy imparted to the wheel,workdone on the wheel to the energy (or head of water) actually supplied to the turbine,none of the above,,C,
<p>In order to avoid cavitation in centrifugal pumps</p>,the suction pressure should be high,the delivery pressure should be high,the suction pressure should be low,the delivery pressure should be low,,A,
<p>A hydraulic intensifier is a device used to increase the intensity of pressure of water by means of energy available from a large quantity of water at a low pressure.</p>,Correct,Incorrect,,,,A,
<p>The discharge through a reaction turbine __________ with the increase in unit speed.</p>,remains same,increases,decreases,,,C,
"<p>In a mixed flow reaction turbine, the flow of water is partly radial and partly axial.</p>",Correct,Incorrect,,,,A,
<p>A Pelton wheel with one nozzle is preferred for a specific speed between 35 to 60 r.p.m.</p>,True,False,,,,B,
<p>Which of the following pump is generally used to pump highly viscous fluid?</p>,Centrifugal pump,Reciprocating pump,Air lift pump,Screw pump,,D,
<p>The overall efficiency of an impulse turbine is the ratio of the actual power produced by the turbine to the energy actually supplied by the turbine.</p>,Yes,No,,,,A,
"<p>By fitting an air vessel to the reciprocating pump, there is always a saving of work done and subsequently saving of power.The saving in case of a double acting reciprocating pump is</p>",39.2%,48.8%,84.8%,88.4%,,A,
"<p>In a reciprocating pump, air vessels are used to</p>",smoothen the flow,reduce suction head,increase delivery head,reduce acceleration head,,D,
"<p>In a Francis turbine, the pressure at inlet is __________ that at outlet.</p>",less than,more than,,,,B,
"<p>If the ratio's of the corresponding forces acting at corresponding points are equal, then the model and the prototype are said to have.</p>",geometric similarity,kinematic similarity,dynamic similarity,none of these,,C,
"<p>A Pelton wheel working under a constant head and discharge, has maximum efficiency when the speed ratio is</p>",0.26,0.36,"0, 46",0.56,,C,
"<p>By fitting an air vessel to the reciprocating pump, there is always a saving of work done and subsequently saving of power. This saving in case of a single acting reciprocating pump is</p>",39.2%,"48, 8%",84.8%,88.4%,,C,
"<p>If the Francis turbine is run below 50 percent head for a long period, it will not only lose its efficiency but also the cavitation danger will become more serious.</p>",Agree,Disagree,,,,A,
