question,A,B,C,D,E,answer,explanation
"<p>A compound pipe of diameter <i>d</i><sub>1</sub>, <i>d</i><sub>2</sub> and <i>d</i><sub>3</sub> having lengths <i>l</i><sub>1</sub>, <i>l</i><sub>2</sub> and <i>l</i><sub>3</sub> is to be replaced by an equivalent pipe of uniform diameter <i>d</i> and of the same length (<i>l</i>) as that of the compound pipe. The size of the equivalent pipe is given by</p>","<img src=""/_files/images/mechanical-engineering/hydraulics-and-fluid-mechanics/170-247-1.png""/>","<img src=""/_files/images/mechanical-engineering/hydraulics-and-fluid-mechanics/170-247-2.png""/>","<img src=""/_files/images/mechanical-engineering/hydraulics-and-fluid-mechanics/170-247-3.png""/>","<img src=""/_files/images/mechanical-engineering/hydraulics-and-fluid-mechanics/170-247-4.png""/>",,D,
"<p>The velocity corresponding to Reynold number of 2800, is called</p>",sub-sonic velocity,super-sonic velocity,lower critical velocity,higher critical velocity,,D,
"<p>When the pipes are in series, the total head loss is equal to the sum of the head loss in each pipe.</p>",Yes,No,,,,A,
"<p>Whenever a plate is held immersed at some angle with the direction of flow of the liquid, it is subjected to some pressure. The component of this pressure, at right angles to the direction of flow of the liquid is known as lift.</p>",True,False,,,,A,
"<p>The efficiency of power transmission through pipe is (where <i>H</i> = Total supply head, and <i>h<sub>f</sub></i> = Head lost due to friction in the pipe)</p>","<img src=""/_files/images/mechanical-engineering/hydraulics-and-fluid-mechanics/169-240-1.png""/>","<img src=""/_files/images/mechanical-engineering/hydraulics-and-fluid-mechanics/169-240-2.png""/>","<img src=""/_files/images/mechanical-engineering/hydraulics-and-fluid-mechanics/169-240-3.png""/>","<img src=""/_files/images/mechanical-engineering/hydraulics-and-fluid-mechanics/169-240-4.png""/>",,A,
"<p>The discharge over a rectangular weir, considering the velocity of approach, is (where <i>H</i><sub>1</sub> = Total height of water above the weir = <i>H</i> + <i>H<sub>a</sub></i> <i>H</i> = Height of water, over the crest of the weir, and <i>H<sub>a</sub></i> = Height of water, due to velocity of approach)</p>","<img src=""/_files/images/mechanical-engineering/hydraulics-and-fluid-mechanics/162-161-1.png""/> <i>C<sub>d</sub></i> x <i>L</i><span class=""root"">2<i>g</i></span> [<i>H</i><sub>1</sub> - <i>H<sub>a</sub></i>]","<img src=""/_files/images/mechanical-engineering/hydraulics-and-fluid-mechanics/162-161-1.png""/> <i>C<sub>d</sub></i> x <i>L</i><span class=""root"">2<i>g</i></span> [<i>H</i><sub>1</sub><sup>3/2</sup> - <i>H<sub>a</sub></i><sup>3/2</sup>]","<img src=""/_files/images/mechanical-engineering/hydraulics-and-fluid-mechanics/162-161-1.png""/> <i>C<sub>d</sub></i> x <i>L</i><span class=""root"">2<i>g</i></span> [<i>H</i><sub>1</sub><sup>2</sup> - <i>H<sub>a</sub></i><sup>2</sup>]","<img src=""/_files/images/mechanical-engineering/hydraulics-and-fluid-mechanics/162-161-1.png""/> <i>C<sub>d</sub></i> x <i>L</i><span class=""root"">2<i>g</i></span> [<i>H</i><sub>1</sub><sup>5/2</sup> - <i>H<sub>a</sub></i><sup>5/2</sup>]",,B,
<p>A flow in which __________ force is dominating over the viscosity is called turbulent flow.</p>,elastic,surface tension,viscous,inertia,,D,
"<p>If an incompressible liquid is continuously flowing through a pipe, the quantity of liquid passing per second is different at different sections.</p>",True,False,,,,B,
<p>The atmospheric pressure at sea level is</p>,103 kN/m<sup>2</sup>,10.3 m of water,760 mm of mercury,all of these,,D,
"<p>When the pressure intensity at a point is less than the local atmospheric pressure, then the difference of these two pressures is called vacuum pressure.</p>",Agree,Disagree,,,,A,
<p>Reynold's number is the ratio of inertia force to</p>,pressure force,elastic force,gravity force,viscous force,,D,
<p>The unit of dynamic viscosity in S.I. units is</p>,N-m/s<sup>2</sup>,N-s/m<sup>2</sup>,poise,stoke,,B,
<p>Bulk modulus of a fluid __________ as the pressure increases.</p>,remains same,decreases,increases,,,C,
<p>The hydraulic gradient line may be above or below the centre line of the pipe.</p>,True,False,,,,B,
<p>A water tank contains 1.3 m deep water. The pressure exerted by the water per metre length of the tank is</p>,2.89 kN,8.29 kN,9.28 kN,28.9 kN,,B,
<p>The specific gravity has no units.</p>,Agree,Disagree,,,,A,
<p>The depth of water in a channel corresponding to the minimum specific energy is known as critical depth.</p>,Agree,Disagree,,,,A,
<p>The ratio of the inertia force to the gravity force is called Froude number.</p>,Agree,Disagree,,,,A,
<p>Which of the following statement is wrong?</p>,"A flow whose streamline is represented by a curve, is called two dimensional flow.","The total energy of a liquid particle is the sum of potential energy, kinetic energy and pressure energy.",The length of divergent portion in a venturimeter is equal to the convergent portion.,A pitot tube is used to measure the velocity of flow at the required point in a pipe.,,C,
"<p>A vertically immersed surface is shown in the below figure. The distance of its centre of pressure from the water surface is <br/><img src=""/_files/images/mechanical-engineering/hydraulics-and-fluid-mechanics/152-64-1.png""/></p>","<img src=""/_files/images/mechanical-engineering/hydraulics-and-fluid-mechanics/152-64-2.png""/>","<img src=""/_files/images/mechanical-engineering/hydraulics-and-fluid-mechanics/152-64-3.png""/>","<img src=""/_files/images/mechanical-engineering/hydraulics-and-fluid-mechanics/152-64-4.png""/>","<img src=""/_files/images/mechanical-engineering/hydraulics-and-fluid-mechanics/152-64-5.png""/>",,B,
<p>The Francis formula for the discharge over Cippoletti weir is</p>,1.84 <i>LH</i><sup>1/2</sup>,1.84 <i>LH</i>,1.84 <i>LH</i><sup>3/2</sup>,1.84 <i>LH</i><sup>5/2</sup>,,C,
<p>Laminar flow __________ place at very low velocities.</p>,takes,does not take,,,,A,
<p>A manometer can be used to measure vacuum pressures.</p>,Agree,disagree,,,,A,
<p>The error in discharge (<i>dQ</i>/<i>Q</i>) to the error in measurement of head (<i>dH</i>/<i>H</i>) over a rectangular notch is given by</p>,"<img src=""/_files/images/mechanical-engineering/hydraulics-and-fluid-mechanics/166-201-1.png""/>","<img src=""/_files/images/mechanical-engineering/hydraulics-and-fluid-mechanics/166-201-2.png""/>","<img src=""/_files/images/mechanical-engineering/hydraulics-and-fluid-mechanics/166-201-3.png""/>","<img src=""/_files/images/mechanical-engineering/hydraulics-and-fluid-mechanics/166-201-4.png""/>",,D,
"<p>The tendency of a liquid to uplift a submerged body, because of the upward thrust of the liquid, is known as buoyancy.</p>",Agree,Disagree,,,,A,
"<p>An open tank containing liquid is made to move from rest with a uniform acceleration. The angle 0 which the free surface of liquid makes with the horizontal is such that (where <i>a</i> = Horizontal acceleration of the tank, and <i>g</i> = Acceleration due to gravity)</p>",tan θ = <i>a</i>/<i>g</i>,tan θ = 2 <i>a</i>/<i>g</i>,tan θ = <i>a</i>/2<i>g</i>,tan θ = <i>a</i><sup>2</sup>/2<i>g</i>,,A,
<p>The discharge over a triangular notch is</p>,inversely proportional to <i>H</i><sup>3/2</sup>,directly proportional to <i>H</i><sup>3/2</sup>,inversely proportional to <i>H</i><sup>5/2</sup>,directly proportional to <i>H</i><sup>5/2</sup>,,D,
"<p>The discharge through an external mouthpiece is given by (where <i>a</i> = Cross-sectional area of the mouthpiece, and <i>H</i> = Height of liquid above the mouthpiece)</p>","0.855 <i>a</i><span class=""root"">2<i>gH</i></span>","1.855 <i>aH</i><span class=""root"">2<i>g</i></span>","1.585 <i>a</i><span class=""root"">2<i>gH</i></span>","5.85 <i>aH</i><span class=""root"">2<i>g</i></span>",,A,
<p>The loss of pressure head in case of laminar flow is proportional to</p>,velocity,(velocity)<sup>2</sup>,(velocity)<sup>3</sup>,(velocity)<sup>4</sup>,,A,
<p>The flow of water through the hole in the bottom of a wash basin is an example of</p>,steady flow,uniform flow,free vortex,forced vortex,,C,
<p>A glass tube of smaller diameter is used while performing an experiment for the capillary rise of water because</p>,it is easier to see through the glass tube,glass tube is cheaper than a metallic tube,it is not possible to conduct this experiment with any other tube,all of the above,,A,
<p>The viscosity of a liquid is due to cohesion of its particles.</p>,Correct,Incorrect,,,,A,
"<p>A compound pipe is required to be replaced by a new pipe. The two pipes are said to be equivalent, if</p>",length of both the pipes is same,diameter of both the pipes is same,loss of head and discharge of both the pipes is same,loss of head and velocity of flow in both the pipes is same,,C,
"<p>In a footstep bearing, if the speed of the shaft is doubled, then the torque required to overcome the viscous resistance will be</p>",double,four times,eight times,sixteen times,,A,
