question,A,B,C,D,E,answer,explanation
"<p>If the speed of the engine is increased, the indicated power will</p>",increase,decrease,remain same,,,A,
<p>The petrol engines are also known as __________ engines.</p>,compression ignition,spark ignition,,,,B,
<p>The specific fuel consumption per B.P. hour for a petrol engine is about</p>,0.2 kg,0.25 kg,0.3 kg,0.35 kg,,B,
<p>The material most commonly used for sheilding is</p>,carbon,lead,concrete,all of these,,C,
"<p>In order to eliminate knocking in compression ignition engines, there should be</p>",short delay period,late auto-ignition,low compression ratio,high self ignition temperature of fuel,,A,
"<p>In a petrol engine, the charge is ignited with the help of a spark plug.</p>",Yes,No,,,,A,
<p>Reflector in nuclear power plants __________ neutron leakage.</p>,increases,decreases,have no effect on,,,B,
<p>Number of working strokes per min. for a two stroke cycle engine are __________ the speed of the engine in r.p.m.</p>,equal to,one-half,twice,four-times,,A,
<p>The injector nozzle of a compression ignition engine is required to inject fuel at a sufficiently high pressure in order to</p>,inject fuel in a chamber of high pressure at the end of compression stroke,inject fuel at a high velocity to facilitate atomisation,ensure that penetration is not high,all of the above,,D,
<p>A two stroke cycle engine occupies larger floor area than a four stroke cycle engine.</p>,Yes,No,,,,B,
<p>The indicated mean effective pressure of an engine is obtained from the indicator diagram drawn with the help of an engine indicator.</p>,True,False,,,,A,
<p>A fuel of cetane number 40 has the same ignition quality as a mixture of</p>,40% cetane and 60% alpha methyl napthalene,40% alpha methyl napthalene and 60% cetane,40% petrol and 60% diesel,40% diesel and 60% petrol,,A,
<p>The two reference fuels used for cetane rating are</p>,cetane and iso-octane,cetane and alpha-methyl naphthalene,cetane and normal heptane,cetane and tetra ethyl lead,,B,
"<p>In petrol engines, the delay period is of the order of</p>",0.001 second,0.002 second,0.003 second,0.004 second,,B,
<p>The reflectivity of a reflector is defined as the fraction of neutrons entering the reflector which are returned to the core.</p>,Agree,Disagree,,,,A,
"<p>In a four stroke cycle petrol engine, the pressure inside the engine cylinder during the suction stroke is __________ the atmospheric pressure.</p>",equal to,below,above,,,B,
"<p>A diesel engine is __________ as compared to petrol engine, both running at rated load.</p>",equally efficient,less efficient,more efficient,,,C,
<p>Which one of the following event would reduce volumetric efficiency of a vertical compression ignition engine ?</p>,inlet valve closing after bottom dead centre,inlet valve closing before bottom dead centre,inlet valve opening before top dead centre,exhaust valve closing after top dead centre,,B,
"<p>The pressure at the end of compression, in petrol engines, is approximately</p>",10 bar,20 bar,25 bar,35 bar,,A,
"<p>The sparking in a petrol engine increases pressure and temperature of the products of combustion, but the volume remains constant.</p>",Yes,No,,,,A,
"<p>Solid fuel fabricated into various small shapes, which are assembled to form fuel elements, is in the form of</p>",plates,pallets,pins,all of these,,D,
<p>Which of the following statement is wrong ?</p>,A four stroke cycle engine develops twice the power as that of a two stroke cycle engine.,"For the same power developed, a four stroke cycle engine is lighter, less bulky and occupies less floor area.",The petrol engines are costly than diesel engines.,all of the above,,D,
<p>The turbine of the turbo-prop engine is __________ that of the turbo-jet engine.</p>,same as,smaller than,bigger than,,,C,
<p>A higher compression ratio causes</p>,pre-ignition,increase in detonation,an acceleration in the rate of combustion,any one of these,,D,
<p>Which of the following statement is correct ?</p>,Compression ratio for petrol engines varies from 6 to 10.,Higher compression ratio in diesel engines results in higher pressures.,Petrol engines work on Otto cycle.,all of the above,,D,
<p>The correct sequence of the decreasing order of brake thermal efficiency of the three given basic types of engines is</p>,"four stroke C.I. engine, four stroke S.I. engine, two stroke S.I. engine","four stroke S.I. engine, four stroke C.I. engine, two stroke S.I. engine","four stroke C.I. engine, two stroke S.I. engine, four stroke S.I. engine","two stroke S.I. engine, four stroke S.I. engine, four stroke C.I. engine",,A,
<p>The engines in which the combustion of fuel takes place inside the engine cylinder are called internal combustion engines.</p>,True,False,,,,A,
<p>A fuel will detonate less if it has higher self ignition temperature.</p>,True,False,,,,A,
<p>The combustion in compression ignition engines is</p>,homogeneous,hetrogeneous,both (a) and (b),none of these,,B,
<p>Which of the following fuel detonates readily ?</p>,Benzene,Iso-octane,Normal heptane,Alcohol,,C,
<p>Spark plugs in automobiles generally have a gap between</p>,0.3 to 0.7 mm,0.2 to 0.8 mm,0.4 to 0.9 mm,0.6 to 1.8 mm,,D, Spark plugs in automobiles generally have a gap between 0.6 and 1.8 mm (0.024 and 0.071 in). The gap may require adjustment from the out-of-the-box gap. 
<p>The injection of fuel by external source is not required in case of engines working on Otto cycle.</p>,Yes,No,,,,A,
<p>The running cost of a petrol engine is __________ than that of a diesel engine.</p>,higher,lower,,,,A,
"<p>In a petrol engine, if diesel is used, then the engine will</p>",not run,run more efficiently,run at high speed,explode,,A,
<p>Number of working strokes per min. for a four stroke cycle engine are __________ the speed of the engine in r.p.m.</p>,equal to,one-half,twice,four-times,,B,
<p>The air standard efficiency of an I.C. engine depends on</p>,fuel used,speed of engine,compression ratio,none of these,,C,
<p>The mean effective pressure of a diesel engine having fixed compression ratio will __________ if cut off ratio decreases.</p>,increase,decrease,,,,B,
<p>The knocking tendency in spark ignition engines may be decreased by</p>,controlling the air-fuel mixture,controlling the ignition timing,controlling the exhaust temperature,reducing the compression ratio,,D,
"<p>In a two stroke engine, the working cycle is completed in two revolutions of the crankshaft.</p>",Correct,Incorrect,,,,B,
<p>A reactor capable of converting a fertile material into fissile isotopes is called regenerative reactor.</p>,Yes,No,,,,A,
<p>Alpha-methyl-naphthalene (C<sub>11</sub> H<sub>10</sub>) has a cetane number of</p>,0,50,100,120,,A,
"<p>In a petrol engine, the mixture has the lowest pressure at the</p>",beginning of suction stroke,end of suction stroke,end of compression stroke,none of these,,B,
<p>Which of the following does not relate to a spark ignition engine ?</p>,Ignition coil,Spar kplug,Carburettor,Fuel injector,,D,
<p>The increase in intake temperature of internal combustion engines will __________ efficiency.</p>,have no effect on,increase,decrease,,,C,
<p>The reflectivity depends upon</p>,geometry of the reflector,energy of neutrons,properties of the reflector,all of these,,D,
<p>The indicated power for multi-cylinder engine will be same as that of a single cylinder engine.</p>,True,False,,,,B,
"<p>In order to prevent knocking in spark ignition engines, the charge away from the spark plug should have</p>",low density,low temperature,long ignition delay,all of these,,D,
<p>The size of a reactor at which the chain reaction can be initiated (i.e. when system becomes critical) with just enough fissionable material (called critical mass of fuel) is known as critical size of reactor.</p>,Correct,Incorrect,,,,A,
<p>The mechanical efficiency (η<sub><i>m</i></sub>) of the engine is given by</p>,"<img src=""/_files/images/mechanical-engineering/ic-engines-and-nuclear-power-plants/347-163-1.png""/>","<img src=""/_files/images/mechanical-engineering/ic-engines-and-nuclear-power-plants/347-163-2.png""/>","<img src=""/_files/images/mechanical-engineering/ic-engines-and-nuclear-power-plants/347-163-3.png""/>",none of these,,A,
<p>A gas engine has a swept volume of 300 cm<sup>3</sup> and clearance volume of 25 cm<sup>3</sup>. Its volumetric efficiency is 0.88 and mechanical efficiency is 0.90. The volume of the mixture taken in per stroke is</p>,248 cm<sup>3</sup>,252 cm<sup>3</sup>,264 cm<sup>3</sup>,286 cm<sup>3</sup>,,C,
