question,A,B,C,D,E,answer,explanation
<p>A critical activity has</p>,maximum slack,minimum slack,zero slack,average slack,,C,
<p>Sampling method of determining standard time is profitable for long cycle operation.</p>,Correct,Incorrect,,,,A,
<p>Break even analysis is a</p>,short term analysis,long term analysis,average of short and long term analysis,any one of these,,A,
<p>In a functional organisation</p>,quality of work is better,wastage of material is minimum,specialised knowledge and guidance to individual worker is provided,all of the above,,D,
<p>The purpose of micromotion study is to</p>,assist in finding out the most efficient way of doing work,train the individual operator regarding the motion economy principles,help in collecting the motion time data for synthetic time standards,all of the above,,D,
"<p>A PERT network has three activities on critical path with mean time 3, 8 and 6 and standard deviations 1, 2 and 2 respectively. The probability that the project will be completed in 20 days is</p>",0.50,0.66,0.84,0.95,,C,
<p>Scheduling</p>,prescribes the sequence of operations to be followed,determines the programme for the operations,is concerned with starting of processes,regulates the progress of job through various processes,,B,
<p>F. W. Taylor introduced a system of organisation known as</p>,line organisation,functional organisation,line and staff organisation,"line, staff and functional organisation",,B,
<p>The correct sequence of phases in value engineering is</p>,"creative phase, information phase, investigation phase, evaluation phase","information phase, creative phase, investigation phase, evaluation phase","investigation phase, information phase, creative phase, evaluation phase","creative phase, investigation phase, evaluation phase, information phase",,A,
<p>Micromotion study is</p>,analysis of one stage of motion chart,"motion study, when seen on a time chart",subdivision of an operation into therbligs and their analysis,enlarged view of motion study,,C,
<p>Valve analysis is particularly of interest when</p>,jobbing work economics are involved,production is on large scale,only few components are involved,costly equipment is used,,B,
"<p>The type of layout used for manufacturing steam turbines, is</p>",product layout,process layout,fixed position layout,any one of these,,C,
"<p>For material transportation, conveyors are used when the prevailing conditions include</p>",loads are uniform,routes do not vary,materials move relatively continuously,all of these,,D,
<p>The planning and scheduling of job order manufacturing differ from planning and scheduling of mass production manufacturing.</p>,Correct,Incorrect,,,,A,
<p>Gantt chart gives information about</p>,scheduling and routing,sales,production schedule,machine utilisation,,C,
<p>Merit rating is the method of determining the</p>,relative values of a job,worker's performance on a job,worth of a machine,value of overall production,,B,
<p>PERT stands for</p>,Programme Estimation and Reporting Technique,Process Estimation and Review Technique,Programme Evaluation and Review Technique,Planning Estimation and Resulting Technique,,C,
"<p>In Emerson's efficiency plan of wage incentive system, bonus is paid to a worker</p>",whose output exceeds 67% efficiency,on the percentage of time saved,on the percentage of time worked,on the percentage of standard time,,A,
<p>M.T.M. is used to</p>,improve existing methods,establish time standards,develop effective methods in advance of the beginning of production,all of the above,,D,
<p>A dummy activity in a net work diagram</p>,is represented by a dotted line,is an artificial activity,does not consume time or resources,all of these,,D,
<p>The production scheduling is simpler and high volume of output and high labour efficiency are achieved in the case of</p>,product layout,process layout,fixed position layout,a combination of line and process layout,,A,
<p>Standard time is equal to</p>,normal time <i>minus</i> allowances,normal time <i>plus</i> allowances,representative time multiplied by rating factor,normal time taken by an operation,,B,
"<p>In inventory control, the economic ordering quantity is obtained by the quantity whose procurement cost is equal to inventory carrying cost.</p>",True,False,,,,A,
<p>The essential condition for the decompression of an activity is that</p>,the project time should change due to decompression,after decompression the time of an activity invariably exceeds its normal time,an activity could be decompressed to the maximum extent of its normal time,none of the above,,C,
<p>Time study is carried out</p>,"by finding all the significant informations regarding the job, work place and machine tool etc.",by breaking up each operation into small elements which are measurable with the help of the measuring device accurately,by observing and recording the time taken by the operator for an operation,all of the above,,D,
<p>Two alternatives can produce a product. First has a fixed cost of Rs. 2000 and a variable cost of Rs. 20 per piece. The second method has a fixed cost of Rs. 1500 and a variable cost of Rs. 30. The break even quantity between the two alternatives is</p>,25,50,75,100,,B,
<p>Which of the following are the principles of material handling?</p>,keep all the handling to the minimum,select only efficient handling equipment,move the heaviest weight to the least distance,all of the above,,D,
