question,A,B,C,D,E,answer,explanation
"<p>If a bearing is designated by the number 305, it means that the bearing is of</p>",light series whose bore is 5 mm,light series whose bore is 25 mm,medium series whose bore is 5 mm,medium series whose bore is 25 mm,,D,
<p>Tapered roller bearings can take</p>,radial load only,axial load only,both radial and axial loads and the ratio of these being less than unity,both radial and axial loads and the ratio of these being greater than unity,,D,
"<p>In order to remove internal stresses produced by hardening the steel, the process usually adopted is</p>",tempering,annealing,normalising,spheroidising,,A,
"<p>A pressure vessel is said to be a thin shell, if the ratio of wall thickness to its diameter is equal to 1/10.</p>",Yes,No,,,,B,
<p>A bolt of uniform strength can be developed by</p>,keeping the core diameter of threads equal to the diameter of unthreaded portion of the bolt,keeping the core diameter smaller than the diameter of the unthreaded portion,keeping the nominal diameter of threads equal to the diameter of unthreaded portion of the bolt,none of the above,,A,
<p>The ratio of endurance limit in shear to the endurance limit in flexure is</p>,0.25,0.40,0.55,0.70,,C,
<p>The lower deviation is the algebraic difference between the</p>,minimum limit and the basic size,maximum limit and the basic size,actual size and the corresponding basic size,none of the above,,A,
"<p>When plates are fastened by a rivet, the holes in the plates should be made by punching and reaming.</p>",Correct,Incorrect,,,,B,
"<p>When carbon in the cast iron is principally in the form of graphite, the cast iron will be of</p>",grey colour,white colour,yellow colour,brown colour,,A,
<p>A shoe brake is commonly used in railway trains.</p>,Yes,No,,,,A,
<p>The rivet head used for boiler plate riveting is usually</p>,snap head,pan head,counter sunk head,conical head,,A,
<p>A single strap butt joint is always in __________ shear.</p>,single,double,,,,A,
<p>18/8 steel contains</p>,18% nickel and 8% chromium,18% chromium and 8% nickel,18% nickel and 8% vanadium,18% vanadium and 8% nickel,,B,
<p>The module in the reciprocal of diametral pitch.</p>,Yes,No,,,,A,
<p>The velocity factor for carefully cut gears operating at velocities upto __________ is equal to 4.5/4.5 + <i>v</i>.</p>,10 m/s,12.5 m/s,15 m/s,20 m/s,,B,
<p>A localised compressive stress at the area of contact between two members is known as</p>,tensile stress,bending stress,bearing stress,shear stress,,C,
<p>The metal suitable for bearings subjected to heavy loads is</p>,silicon bronze,white metal,monel metal,phosphor bronze,,B,
<p>The V-belts are particularly suitable for __________ drives.</p>,short,long,,,,A,
"<p>For hardening alloy steels and high speed steels, they are heated to</p>",500 to 600°C,700 to 900°C,1100 to 1300°C,1300 to 1500°C,,C,
<p>An universal coupling is used to connect two shafts</p>,which are perfectly aligned,which are not in exact alignment,have lateral misalignment,whose axes intersect at a small angle,,D,
<p>Euler's formula for a mild steel column is not valid if the slenderness ratio is</p>,60,90,100,120,,A,
<p>The standard length of the shaft is</p>,5 m,6 m,7 m,all of these,,D,
"<p>According to I.B.R., when the thickness of boiler shell (<i>t</i>) is greater than 8 mm, then the diameter of rivet hole (<i>d</i>) is obtained by</p>",equating tearing resistance of the plate to the shearing resistance of the rivets,equating tearing resistance of the plate to the crushing resistance of the rivets,equating shearing resistance to the crushing resistance of the rivets,none of the above,,D,
"<p>When the shaft rotates in anticlockwise direction at slow speed in a bearing, it will</p>",have contact at the bottom most of the bearing,move towards right of the bearing making the metal to metal contact,move towards right of the bearing making no metal to metal contact,move towards left of the bearing making metal to metal contact,,D,
"<p>A taper key which fits half in the key way of the hub and half in the key way of shaft, is known as</p>",sunk key,flat saddle key,hollow saddle key,tangent key,,A,
"<p>When bevel gears having equal teeth and equal pitch angles connect two shafts whose axes intersect at right angle, then they are known as</p>",angular bevel gears,crown bevel gears,internal bevel gears,mitre gears,,D,
"<p>A sliding bearing which can support steady loads without any relative motion between the journal and the bearing, is called</p>",zero film bearing,boundary lubricated bearing,hydrodynamic lubricated bearing,hydrostatic lubricated bearing,,D,
"<p>In case of pressure vessels having closed ends, the fluid pressure induces</p>",longitudinal stress,circumferential stress,shear stress,none of these,,D,
<p>A machine part subjected to __________ is called a strut.</p>,an axial tensile force,an axial compressive force,a tangential force,any one of these,,B,
