question,A,B,C,D,E,answer,explanation
<p>A nozzle is said to be a convergent nozzle</p>,when the cross-section of the nozzle increases continuously from entrance to exit,when the cross-section of the nozzle decreases continuously from entrance to exit,when the cross-section of the nozzle first decreases from entrance to throat and then increases from its throat to exit,none of the above,,B,
<p>A turbine is said to have an axial discharge when the steam leaves the blade tip at __________ to the direction of the blade motion.</p>,60°,90°,180°,270°,,B,
<p>The flow through a nozzle is regarded as</p>,constant volume flow,constant pressure flow,isothermal flow,isentropic flow,,D,
"<p>The ratio of total useful heat drop to the total isentropic heat drop, is called</p>",stage efficiency,internal efficiency,Rankine efficiency,none of these,,B,
<p>The pressure at which the steam leaves the nozzle is known as back pressure.</p>,Correct,Incorrect,,,,A,
<p>The discharge of steam in a convergent-divergent nozzle __________ after the throat (i.e. in the divergent portion of the nozzle)</p>,remains constant,decreases,increases,,,A,
<p>The rate of discharge through the nozzle __________ when the exit pressure is gradually reduced.</p>,remains same,decreases,increases,,,C,
"<p>The velocity of steam leaving the nozzle (<i>V</i>) is given by (where <i>K</i> = Nozzle coefficient or nozzle efficiency, and <i>h<sub>d</sub></i> = Enthalpy or heat drop during expansion of steam in a nozzle)</p>","<i>V</i> = 44.72 <i>h<sub>d</sub></i> <span class=""root""><i>K</i></span>","<i>V</i> = 44.72 <i>K</i> <span class=""root""><i>h<sub>d</sub></i></span>","<i>V</i> = 44.72 <span class=""root""><i>K h<sub>d</sub></i></span>",<i>V</i> = 44.72 <i>K</i> <i>h<sub>d</sub></i>,,C,
"<p>In a nozzle, whole frictional loss is assumed to occur between</p>",inlet and thoroat,inlet and outlet,throat and exit,all of these,,C,
<p>The critical pressure ratio for initially wet steam is</p>,0.546,0.577,0.582,0.601,,C,
<p>The isentropic enthalpy drop in moving blade is two-third of the isentropic enthalpy drop in fixed blades of a turbine. The degree of reaction will be</p>,0.4,0.56,0.67,1.67,,A,
<p>The impulse reaction turbine has its driving force</p>,as an impulsive force,as a reaction force,partly as an impulsive force and partly as a reaction force,none of the above,,C,
<p>The efficiency of reaction turbine is maximum when (where α = Angle made by the absolute velocity (<i>V</i>) at inlet)</p>,<i>V<sub>b</sub></i> = 0.5 <i>V</i> cos α,<i>V<sub>b</sub></i> = <i>V</i> cos α,<i>V<sub>b</sub></i> = 0.5 <i>V</i><sup>2</sup> cos α,<i>V<sub>b</sub></i> = <i>V</i><sup>2</sup> cos α,,B,
<p>A regenerative steam cycle renders</p>,increased work output per unit mass of steam,decreased work output per unit mass of steam,increased thermal efficiency,decreased work output per unit mass of steam as well as increased thermal efficiency,,D,
<p>De-Laval turbine is a</p>,single rotor impulse turbine,multi-rotor impulse turbine,impulse reaction turbine,none of these,,A,
"<p>The turbine, in which the general direction of the steam flow is parallel to the turbine axis, is called axial flow turbines</p>",True,False,,,,A,
<p>The critical pressure gives the velocity of steam at the throat equal to the velocity of sound.</p>,Agree,Disagree,,,,A,
<p>The reheat factor is the ratio of the</p>,cumulative heat drop to the isentropic heat drop,isentropic heat drop to the heat supplied,total useful heat drop to the total isentropic heat drop,none of the above,,A,
<p>The turbine blades do not change the direction of steam issuing from the nozzle.</p>,True,False,,,,B,
<p>Thermal equilibrium means that the flow of steam is</p>,isothermal,isentropic,hyperbolic,polytropic,,B,
"<p>When the back pressure of a nozzle is below the designed value of pressure at exit of nozzle, the nozzle is said to be</p>",choked,underdamping,overdamping,none of these,,B,
"<p>The ratio of the workdone on the blades to the energy supplied to the blades, is called</p>",blading efficiency,nozzle efficiency,gross or stage efficiency,mechanical efficiency,,A,
<p>The discharge is __________ at critical pressure.</p>,zero,minimum,maximum,,,C,
"<p>The supersaturated flow of steam through a nozzle as compared to a stable flow, the available heat drop</p>",remains the same,increases,decreases,is unpredictable,,C,
<p>The steam leaves the nozzle at a</p>,high pressure and a low velocity,high pressure and a high velocity,low pressure and a low velocity,low pressure and a high velocity,,D,
<p>The critical pressure gives the velocity of steam at the throat</p>,equal to the velocity of sound,less than the velocity of sound,more than the velocity of sound,none of these,,A,
<p>The Parsons' reaction turbine has</p>,only moving blades,only fixed blades,identical fixed and moving blades,fixed and moving blades of different shape,,C,
<p>The action of steam in a steam turbine is</p>,static,dynamic,static and dynamic,neither static nor dynamic,,B,
<p>The blade velocity coefficient is ratio of relative velocity of steam at outlet tip of the blade to the relative velocity of steam at inlet tip of the blade.</p>,True,False,,,,A,
<p>Multi-stage steam turbines are of the</p>,velocity compounded type,reaction type,pressure compounded type,all of these,,D,
<p>The critical pressure ratio (<i>p</i><sub>2</sub>/<i>p</i><sub>1</sub>) is given by</p>,"<img src=""/_files/images/mechanical-engineering/steam-nozzles-and-turbines/313-26-1.png""/>","<img src=""/_files/images/mechanical-engineering/steam-nozzles-and-turbines/313-26-2.png""/>","<img src=""/_files/images/mechanical-engineering/steam-nozzles-and-turbines/313-26-3.png""/>","<img src=""/_files/images/mechanical-engineering/steam-nozzles-and-turbines/313-26-4.png""/>",,B,
"<p>In reaction turbines, the axial thrust is due to</p>",pressure drop across the rotor,change in axial velocity,both (a) and (b),none of these,,C,
<p>Which of the following statement is correct?</p>,The expansion of steam in a nozzle follows Rankine cycle.,The friction in the nozzle increases the dryness fraction of steam.,The pressure of steam at throat is called critical pressure.,all of the above,,D,
<p>A binary vapour plant consists of</p>,steam turbine,steam condenser,mercury boiler,all of these,,D,
"<p>In a De-Laval nozzle expanding superheated steam from 10 bar to 0.1 bar, the pressure at the minimum cross-section (i. e. pressure at throat, <i>p</i><sub>2</sub>) will be</p>",3.3 bar,5.46 bar,8.2 bar,9.9 bar,,B,
"<p>The stage efficiency (η<sub>S</sub>) is given by (where η<sub>B</sub> = Blading efficiency, and η<sub>N</sub> = Nozzle efficiency)</p>",η<sub>S</sub> = η<sub>B</sub> x η<sub>N</sub>,η<sub>S</sub> = η<sub>B</sub>/η<sub>N</sub>,η<sub>S</sub> = η<sub>N</sub>/η<sub>B</sub>,none of these,,A,
<p>The critical pressure ratio for initially dry saturated steam is more as compared to initially wet steam.</p>,Yes,No,,,,B,
"<p>In a convergent divergent nozzle, the discharge depends upon the initial conditions of steam and the area of nozzle at throat.</p>",Correct,Incorrect,,,,A,
<p>Parson's reaction turbine is a __________ reaction turbine.</p>,40 percent,50 percent,60 percent,70 percent,,B,
<p>The turbine blades are</p>,straight,circular,curved,,,C,
<p>The variation of steam pressure in the nozzle depends upon</p>,velocity of steam,specific volume of steam,dryness fraction of steam,all of these,,D,
<p>Steam turbines are used for</p>,large marine propulsion,electric power generation,"direct drive of fans, compressors, pumps",all of these,,D,
<p>Parson's turbine is a</p>,simple impulse turbine,simple reaction turbine,impulse-reaction turbine,none of these,,B,
<p>The value of the reheat factor varies from</p>,1.02 to 1.06,1.08 to 1.l0,1.2 to 1.6,1.6 to 2,,A,
<p>The steam enters the nozzle at a</p>,high pressure and a low velocity,high pressure and a high velocity,low pressure and a low velocity,low pressure and a high velocity,,A,
<p>The difference of supersaturated temperature and saturation temperature at that pressure is called</p>,degree of supersaturation,degree of superheat,degree of undercooling,none of these,,C,
<p>The maximum efficiency of a reaction turbine is</p>,"<img src=""/_files/images/mechanical-engineering/steam-nozzles-and-turbines/321-111-1.png""/>","<img src=""/_files/images/mechanical-engineering/steam-nozzles-and-turbines/321-111-2.png""/>","<img src=""/_files/images/mechanical-engineering/steam-nozzles-and-turbines/321-111-3.png""/>","<img src=""/_files/images/mechanical-engineering/steam-nozzles-and-turbines/321-111-4.png""/>",,B,
<p>The ratio of the useful heat drop to the isentropic heat drop is called</p>,condenser efficiency,nozzle efficiency,boiler efficiency,vacuum efficiency,,B,
