question,A,B,C,D,E,answer,explanation
<p>A pressure vessel is said to be a thin shell when the ratio of wall thickness of the vessel to its diameter is __________ 1/10.</p>,equal to,less than,greater than,,,B,
"<p>According to Euler's column theory, the crippling load of a column is given by <i>p</i> = π<sup>2</sup> <i>EI</i>/<i>Cl</i><sup>2</sup>. In the Euler's formula, the value of <i>C</i> for a column with one end fixed and the other end hinged, is 1/2.</p>",True,False,,,,A,
<p>A tensile test is performed on a mild steel round bar. Its diameter after fracture will</p>,remain same,increase,decrease,depend upon rate of loading,,C,
<p>Two closely coiled helical springs '<i>A</i>' and '<i>B</i>' are equal in all respects but the diameter of wire of spring '<i>A</i>' is double that of spring '<i>B</i>' The stiffness of spring '<i>B</i>' will be __________ that of spring '<i>A</i>'</p>,one-sixteenth,one-eighth,one-fourth,one-half,,A,
"<p>When a closely-coiled helical spring of mean diameter (<i>D</i>) is subjected to an axial load (<i>W</i>), the stiffness of the spring is given by</p>","<img src=""/_files/images/mechanical-engineering/strength-of-materials/113-316-1.png""/>","<img src=""/_files/images/mechanical-engineering/strength-of-materials/113-316-2.png""/>","<img src=""/_files/images/mechanical-engineering/strength-of-materials/113-316-3.png""/>","<img src=""/_files/images/mechanical-engineering/strength-of-materials/113-316-4.png""/>",,D,
"<p>When a body is subjected to a direct tensile stress (σ<i><sub>x</sub></i>) in one plane accompanied by a simple shear stress (τ<i><sub>xy</sub></i> ), the maximum normal stress is</p>","<img src=""/_files/images/mechanical-engineering/strength-of-materials/90-86-1.png""/>","<img src=""/_files/images/mechanical-engineering/strength-of-materials/90-86-2.png""/>","<img src=""/_files/images/mechanical-engineering/strength-of-materials/90-86-3.png""/>","<img src=""/_files/images/mechanical-engineering/strength-of-materials/90-86-4.png""/>",,A,
"<p>The strain energy stored in a body, when suddenly loaded, is __________ the strain energy stored when same load is applied gradually.</p>",equal to,one-half,twice,four times,,D,
"<p>The shear force at the centre of a simply supported beam with a gradually varying load from zero at both ends to <i>w</i> per metre at the centre, is</p>",zero,<i>wl</i>/4,<i>wl</i>/2,<i>wl</i><sup>2</sup>/2,,A,
<p>The proof resilience per unit volume of a material is known as modulus of resilience.</p>,True,False,,,,A,
"<p>According to Unwin's formula, the relation between diameter of rivet hole (<i>d</i>) and thickness of plate (<i>t</i>) is given by (where <i>d</i> and <i>t</i> are in mm)</p>",<i>d</i> = <i>t</i>,"<i>d</i> = 1.6 <span class=""root""><i>t</i></span>",<i>d</i> = 2<i>t</i>,"<i>d</i> = 6 <span class=""root""><i>t</i></span>",,D,
<p>The relation between equivalent length (<i>L</i>) and actual length (<i>l</i>) of a column for one end fixed and the other end hinged is</p>,<i>L</i> = <i>l</i>/2,"<i>L</i> = <i>l</i>/<span class=""root"">2</span>",<i>L</i> = <i>l</i>,<i>L</i> = 4<i>l</i>,,B,
<p>The total strain energy stored in a body is called proof resilience.</p>,Agree,Disagree,,,,B,
<p>The thermal stress in a bar is __________ proportional to the change in temperature.</p>,directly,indirectly,,,,A,
"<p>The section modulus of a circular section about an axis through its C.G., is</p>",π<i>d</i><sup>2</sup>/4,π<i>d</i><sup>2</sup>/16,π<i>d</i><sup>3</sup>/16,π<i>d</i><sup>3</sup>/32,,D,
"<p>In the above question, the normal stress on an oblique section will be maximum, when θ is equal to</p>",0°,30°,45°,90°,,A,
"<p>In the below figure, curve <i>D</i> represents mild steel. <br/><img src=""/_files/images/mechanical-engineering/strength-of-materials/126-471-1.png""/></p>",Yes,No,,,,A,
