question,A,B,C,D,E,answer,explanation
"<p>The natural frequency of free torsional vibrations of a shaft is equal to (where <i>q</i> = Torsional stiffness of the shaft, and <i>I</i> = Mass moment of inertia of the disc attached at the end of a shaft)</p>","<img src=""/_files/images/mechanical-engineering/theory-of-machines/518-508-1.png""/>","2π <span class=""root""><i>qI</i></span>","<img src=""/_files/images/mechanical-engineering/theory-of-machines/518-508-2.png""/>","<img src=""/_files/images/mechanical-engineering/theory-of-machines/518-508-3.png""/>",,C,
"<p>If the rotating mass of a rim type flywheel is distributed on another rim type flywheel whose mean radius is half the mean radius of the former, then energy stored in the latter at the same speed will be</p>",four times the first one,same as the first one,one fourth of the first one,one and a half times the first one,,C,
"<p>The Grubler's criterion for determining the degrees of freedom (<i>n</i>) of a mechanism having plane motion is (where <i>l</i> = Number of links, and <i>j</i> = Number of binary joints)</p>",<i>n</i> = (<i>l</i> - 1) - <i>j</i>,<i>n</i> = 2(<i>l</i> - 1) - 2<i>j</i>,<i>n</i> = 3(<i>l</i> - 1) - 2<i>j</i>,<i>n</i> = 4(<i>l</i> - 1) - 3<i>j</i>,,C,
"<p>In a Hartnell governor, if a spring of greater stiffness is used, then the governor will be</p>",less sensitive,more sensitive,unaffected of sensitivity,isochronous,,A,
<p>The included angle for the V-belt is usually</p>,10° to 20°,20° to 30°,30° to 40°,60° to 80°,,C,
"<p>When two pulleys are connected by means of an open belt drive, then both the pulleys will rotate is opposite directions.</p>",Right,Wrong,,,,B,
<p>A mechanism consisting of four links is called a __________ mechanism.</p>,simple,compound,,,,A,
<p>The amplitude of vibration is always __________ the radius of the circle.</p>,equal to,less than,greater than,,,A,
"<p>An involute pinion and gear are in mesh. If both have the same size of addendum, then there will be an interference between the</p>",tip of the gear tooth and flank of pinion,tip of the pinion and flank of gear,flanks of both gear and pinion,tip of both gear and pinion,,A,
"<p>In vibration isolation system, if ω/ω<sub><i>n</i></sub> &gt; 1, then the phase difference between the transmitted force and the disturbing force is</p>",0°,90°,180°,270°,,C,
<p>Which of the following is an inversion of a single slider crank chain?</p>,Pendulum pump,Oscillating cylinder engine,Rotary internal combustion engine,all of these,,D,
<p>A very sensitive governor will cause hunting.</p>,True,False,,,,A,
"<p>In a radial cam, the follower moves</p>",in a direction perpendicular to the cam axis,in a direction parallel to the cam axis,in any direction irrespective of the cam axis,along the cam axis,,A,
<p>The piston slide valve is an inside admission valve.</p>,Yes,No,,,,A,
<p>The critical speed of a shaft in revolution per second is __________ as that of natural frequency of transverse vibration.</p>,same,different,,,,A,
<p>Which of the following is a turning pair?</p>,Piston and cylinder of a reciprocating steam engine,Shaft with collars at both ends fitted into a circular hole,Lead screw of a lathe with nut,Ball and a socket joint,,B,
"<p>In a simple train of wheels, the velocity ratio __________ the intermediate wheels.</p>",depends upon,is independent of,,,,B,
"<p>The two elements of a pair are said to form a higher pair, when they</p>",have a surface contact when in motion,have a line or point contact when in motion,"are kept in contact by the action of external forces, when in motion",permit relative motion,,B,
<p>The maximum fluctuation of energy is the</p>,difference between the maximum and minimum energies,sum of the maximum and minimum energies,variations of energy above and below the mean resisting torque line,ratio of the mean resisting torque to the workdone per cycle,,A,
"<p>The method of obtaining different mechanisms by fixing in turn different links in a kinematic chain, is known as</p>",structure,machine,inversion,compound mechanism,,C,
"<p>In a steam engine, the link constitutes a</p>","piston, piston rod and crosshead","connecting rod with big and small end brasses, caps and bolts","crank pin, crankshaft and flywheel",all of the above,,D,
<p>The secondary unbalanced force is maximum when the angle of inclination of the crank with the line of stroke is</p>,0° and 90°,180° and 360°,both (a) and (b),none of these,,C,
"<p>In a kinematic chain, a quaternary joint is equivalent to</p>",one binary joint,two binary joints,three binary joints,four binary joints,,C,
<p>For dynamic balancing of a shaft</p>,the net dynamic force acting on the shaft is equal to zero,the net couple due to the dynamic forces acting on the shaft is equal to zero,both (a) and (b),none of the above,,C,
"<p>The frictional torque transmitted in a conical pivot bearing, considering uniform pressure, is (where <i>R</i> = Radius of shaft, and α = Semi-angle of the cone)</p>","<img src=""/_files/images/mechanical-engineering/theory-of-machines/473-39-1.png""/> μ <i>W R</i> cosec α","<img src=""/_files/images/mechanical-engineering/theory-of-machines/473-39-2.png""/> μ <i>W R</i> cosec α","<img src=""/_files/images/mechanical-engineering/theory-of-machines/473-39-3.png""/> μ <i>W R</i> cosec α",μ <i>W R</i> cosec α,,B,
<p>A railway bridge is an example of a machine.</p>,True,False,,,,B,
<p>Scott Russell's mechanism is made up of sliding pair.</p>,Correct,Incorrect,,,,A,
<p>Which of the following is an example of a higher pair ?</p>,Toothed gearing,Belt and rope drive,Ball and roller bearing,all of these,,D,
"<p>The velocity of a flat-faced follower when it has contact with the flank of a circular arc cam, is given by</p>",ω<i>R</i> cos θ,ω(<i>R</i> - <i>r</i><sub>1</sub>)cos θ,ω(<i>R</i> - <i>r</i><sub>1</sub>)sin θ,ω<i>r</i><sub>1</sub> sin θ,,C,
<p>Which of the following property of the instantaneous centre is correct ?</p>,A rigid link rotates instantaneously relative to another link at the instantaneous centre for the configuration of the mechanism considered.,The two rigid links have no linear velocity relative to each other at the instantaneous centre.,The velocity of the instantaneous centre relative to any third rigid link is same whether the instantaneous centre is regarded as a point on the first rigid link or on the second rigid link.,all of the above,,D,
<p>Whitworth quick return motion mechanism is an inversion of a double slider crank chain.</p>,Correct,Incorrect,,,,B,
<p>The maximum gyroscopic couple acting on the ship tends to shear the holding down bolts.</p>,Correct,Incorrect,,,,A,
"<p>In a multiple V-belt drive, when a single belt is damaged, it is preferable to change the complete set to</p>",reduce vibration,reduce slip,ensure uniform loading,ensure proper alignment,,C,
<p>A force acting in the opposite direction to the motion of the body is called force of friction.</p>,True,False,,,,A,
"<p>A shaft has two heavy rotors mounted on it. The transverse natural frequencies, considering each of the rotor separately, are 100 Hz and 200 Hz respectively. The lowest critical speed is</p>",5367 r.p.m.,6000 r.p.m.,9360 r.p.m.,12000 r.p.m.,,A,
"<p>The acceleration of piston in a reciprocating steam engine is given by (where ω = Angular velocity of crank, <i>r</i> = Radius of crank pin circle, θ = Angle turned by crank from inner dead centre, and <i>n</i> = Ratio of length of connecting rod to the radius of crank)</p>","<img src=""/_files/images/mechanical-engineering/theory-of-machines/495-281-1.png""/>","<img src=""/_files/images/mechanical-engineering/theory-of-machines/495-281-2.png""/>","<img src=""/_files/images/mechanical-engineering/theory-of-machines/495-281-3.png""/>","<img src=""/_files/images/mechanical-engineering/theory-of-machines/495-281-4.png""/>",,D,
<p>Torsional vibrations are said to occur when the particles of a body moves</p>,perpendicular to its axis,parallel to its axis,in a circle about its axis,none of these,,C,
<p>A body is said to vibrate with simple harmonic motion if its acceleration is proportional to the distance from the mean position.</p>,Yes,No,,,,A,
"<p>For the isochronous Porter governor, the controlling force curve is a straight line passing through the origin.</p>",Correct,Incorrect,,,,A,
"<p>The virtual or equivalent eccentric for the Meyer's expansion valve is defined as an eccentric having such a length and angle of advance that will cause cut-off to take place at the same position, as is caused by the combined effect of main eccentric and expansion eccentric.</p>",Right,Wrong,,,,A,
<p>The uniform pressure theory gives a higher frictional torque than the uniform wear theory.</p>,Agree,Disagree,,,,A,
<p>The centrifugal tension on the belt has no effect on the power transmitted.</p>,Correct,Incorrect,,,,A,
<p>The train value of a gear train is</p>,equal to velocity ratio of a gear train,reciprocal of velocity ratio of a gear train,always greater than unity,always less than unity,,B,
"<p>In the below figure, <i>PC</i> is the connecting rod and <i>OC</i> is the crank making an angle θ with the line of stroke <i>PO</i> and rotates with uniform angular velocity at ω rad/s. The Klien's acceleration diagram for determining the acceleration of the piston <i>P</i> is shown by quadrilateral <i>C</i> <i>Q</i> <i>NO</i>. The acceleration of the piston <i>P</i> with respect to the crankpin <i>C</i> is given by <br/><img src=""/_files/images/mechanical-engineering/theory-of-machines/497-293-1.png""/></p>",ω<sup>2</sup> x <i>NO</i>,ω<sup>2</sup> x <i>CO</i>,ω<sup>2</sup> x <i>CN</i>,ω<sup>2</sup> x <i>QN</i>,,C,
"<p>The driving and driven shafts connected by a Hooke's joint will have equal speeds, if</p>",cos θ = sin α,"sin θ = ±<span class=""root"">tan α</span>","tan θ = ±<span class=""root"">cos α</span>",cot θ = cos α,,C,
<p>The product of the diametral pitch and circular pitch is equal to</p>,1,1/π,π,2 π,,C,
<p>The coriolis component of acceleration is taken into account for</p>,slider crank mechanism,four bar chain mechanism,quick return motion mechanism,all of these,,C,
<p>The flank of the tooth is the surface of the tooth __________ the pitch surface.</p>,above,below,,,,B,
