question,A,B,C,D,E,answer,explanation
"<p>In a unilateral system of tolerance, the tolerance is allowed on</p>",one side of the actual size,one side of the nominal size,both sides of the actual size,both sides of the nominal size,,B,
<p>A two high rolling mill consists of two rolls which rotate</p>,at the same speed and in the same direction,at the same speed but in opposite direction,at different speeds and in the same direction,at different speeds and in the opposite direction,,B,
<p>Carburising flame is used to weld</p>,"steel, cast iron, copper, aluminium etc",brass and bronze,hard surfacing materials such as stellite,all of these,,C,
<p>The electrode tip diameter (<i>d</i>) in spot welding should be equal to (where <i>t</i> = Thickness of plate to be welded)</p>,"<span class=""root""><i>t</i></span>","1.5 <span class=""root""><i>t</i></span>","3 <span class=""root""><i>t</i></span>","6 <span class=""root""><i>t</i></span>",,D,
"<p>For obtaining a cup of diameter 25 mm and height 15 mm by drawing, the size of the round blank should be approximately</p>",42 mm,44 mm,46 mm,48 mm,,C,
<p>Cores are used to</p>,form internal cavities in the casting,improve mould surface,form a part of a green sand mould,all of these,,D,
<p>The drawing down is a process of __________ the cross-section of a bar.</p>,increasing,reducing,,,,B,
<p>During hot working of metals</p>,poor surface finish is produced,scale is formed on the metal surface,close tolerances can not be maintained,all of these,,D,
"<p>When a pattern is made in three parts, the __________ is known as a drag.</p>",bottom part,middle part,top part,,,A,
<p>Shrinkage allowance is made by adding to external dimensions and subtracting from internal dimensions.</p>,Agree,Disagree,,,,A,
<p>A jolt machine is used to</p>,ram the sand harder at the pattern face with decreasing hardness towards the back of the mould,ram the sand harder at the back of the mould and softer on the pattern face,produce uniform sand hardness throughout the mould,produce uniform packing of sand in the mould,,A,
"<p>If the sand is too fine, its permeability will be high.</p>",True,False,,,,B,
<p>Which of the following statement is wrong?</p>,The mortise gauge has two scribing pins.,The gouges are chisels with a hollow shaped blade.,An auger is a planing tool,all of these,,C,
<p>In a compound die</p>,only one operation is performed at each stroke of the ram,two or more operations are performed simultaneously at the single stroke of the ram,two or more cutting operations are performed at one station of the press in every stroke of the ram,both cutting and non-cutting operations are performed at one station of the press in every stroke of the ram,,C,
