question,A,B,C,D,E,answer,explanation
"<p>Which of the following statements are true regarding the command <i class=""networking-code"">ip route 172.16.4.0 255.255.255.0 192.168.4.2</i>?
<ol class=""networking-ol-123""><li>  The command is used to establish a static route.
</li><li>  The default administrative distance is used.
</li><li>  The command is used to configure the default route.
</li><li>  The subnet mask for the source address is 255.255.255.0.
</li></ol></p>",1 and 2,2 and 4,3 and 4,All of the above,,A," Although answer D almost seems right, it is not; the mask is the mask used on the remote 
network, not the source network. Since there is no number at the end of the static route, it is 
using the default administrative distance of 1. "
<p>Which command displays RIP routing updates?</p>,"<i class=""networking-code"">show ip route</i>","<i class=""networking-code"">debug ip rip</i>","<i class=""networking-code"">show protocols</i>","<i class=""networking-code"">debug ip route</i>",,B," The <i class=""networking-code"">debug ip rip</i> command is used to show the Internet Protocol (IP) Routing Information Protocol (RIP) updates being sent and received on the router. "
"<p>Which statement is true regarding classless routing protocols?
<ol class=""networking-ol-123""><li>  The use of discontiguous networks is not allowed.
</li><li>  The use of variable length subnet masks is permitted.
</li><li>  RIPv1 is a classless routing protocol.
</li><li>  IGRP supports classless routing within the same autonomous system.
</li><li>  RIPv2 supports classless routing.
</li></ol></p>","1, 3 and 5",3 and 4,2 and 5,None of the above,,C, Classful routing means that all hosts in the internetwork use the same mask. Classless routing means that you can use Variable Length Subnet Masks (VLSMs) and can also support discontiguous networking. 
"<p>You have the following routing table. Which of the following networks will not be placed in the neighbor routing table?
<pre class=""code-pre""><code class=""networking"">R    192.168.30.0/24 [120/1] via 192.168.40.1, 00:00:12, Serial0
C    192.168.40.0/24 is directly connected, Serial0
     172.16.0.0/24 is subnetted, 1 subnets
C    172.16.30.0 is directly connected, Loopback0
R    192.168.20.0/24 [120/1] via 192.168.40.1, 00:00:12, Serial0
R    10.0.0.0/8 [120/15] via 192.168.40.1, 00:00:07, Serial0
C    192.168.50.0/24 is directly connected, Ethernet0</code></pre></p>",172.16.30.0,192.168.30.0,10.0.0.0,All of them will be placed in the neighbor routing table.,,C," The network 10.0.0.0 cannot be placed in the next router's routing table because it already is at 15 hops. One more hop would make the route 16 hops, and that is not valid in RIP networking. "
<p>What is split horizon?</p>,Information about a route should not be sent back in the direction from which the original update came.,It splits the traffic when you have a large bus (horizon) physical network.,It holds the regular updates from broadcasting to a downed link.,It prevents regular update messages from reinstating a route that has gone down.,,A, A split horizon will not advertise a route back to the same router it learned the route from. 
<p>What command is used to stop RIP routing updates from exiting out an interface but still allow the interface to receive RIP route updates?</p>,"<i class=""networking-code"">Router(config-if)# no routing</i>","<i class=""networking-code"">Router(config-if)# passive-interface</i>","<i class=""networking-code"">Router(config-router)# passive-interface s0</i>","<i class=""networking-code"">Router(config-router)# no routing updates</i>",,C," The <i class=""networking-code"">(config-router)#passive-interface</i> command stops updates from being sent out an interface, but route updates are still received. "
<p>Two connected routers are configured with RIP routing. What will be the result when a router receives a routing update that contains a higher-cost path to a network already in its routing table?</p>,The updated information will be added to the existing routing table.,The update will be ignored and no further action will occur.,The updated information will replace the existing routing table entry.,The existing routing table entry will be deleted from the routing table and all routers will exchange routing updates to reach convergence.,,B," When a routing update is received by a router, the router first checks the administrative distance (AD) and always chooses the route with the lowest AD. However, if two routes are received and they both have the same AD, then the router will choose the one route with the lowest metrics, or in RIP's case, hop count. "
"<p>You type <i class=""networking-code"">debug ip rip</i> on your router console and see that 172.16.10.0 is being advertised to you with a metric of 16. What does this mean?</p>",The route is 16 hops away.,The route has a delay of 16 microseconds.,The route is inaccessible.,The route is queued at 16 messages a second.,,C," You cannot have 16 hops on a RIP network by default. If you receive a route advertised with a metric of 16, this means it is inaccessible. "
"<p>The Corporate router receives an IP packet with a source IP address of 192.168.214.20 and a destination address of 192.168.22.3. Looking at the output from the Corporate router, what will the router do with this packet?
<pre class=""code-pre""><code class=""networking"">Corp#sh ip route
[output cut]
R    192.168.215.0 [120/2] via 192.168.20.2, 00:00:23, Serial0/0
R    192.168.115.0 [120/1] via 192.168.20.2, 00:00:23, Serial0/0
R    192.168.30.0 [120/1] via 192.168.20.2, 00:00:23, Serial0/0
C    192.168.20.0 is directly connected, Serial0/0
C    192.168.214.0 is directly connected, FastEthernet0/0</code></pre></p>",The packet will be discarded.,The packet will be routed out the S0/0 interface.,The router will broadcast looking for the destination.,The packet will be routed out the Fa0/0 interface.,,A," Since the routing table shows no route to the 192.168.22.0 network, the router will discard the packet and send an ICMP destination unreachable message out interface FastEthernet 0/0, which is the source LAN where the packet originated from. "
"<p>If your routing table has a static, a RIP, and an IGRP route to the same network, which route will be used to route packets by default?</p>",Any available route,RIP route,Static route,IGRP route,They will all load-balance.,C," Static routes have an administrative distance of 1 by default. Unless you change this, a static route will always be used over any other found route. IGRP has an administrative distance of 100, and RIP has an administrative distance of 120, by default. "
