question,A,B,C,D,E,answer,explanation
"<p>You have your laptop directly connected into a router's Ethernet port. Which of the following are among the requirements for the <i class=""networking-code"">copy flash tftp</i> command to be successful?
<ol class=""networking-ol-123""><li>  TFTP server software must be running on the router.
</li><li>  TFTP server software must be running on your laptop.
</li><li>  The Ethernet cable connecting the laptop directly into the router's Ethernet port must be a straight-through cable.
</li><li>  The laptop must be on the same subnet as the router's Ethernet interface.
</li><li>  The <i class=""networking-code"">copy flash tftp</i> command must be supplied the IP address of the laptop.
</li></ol></p>","1, 3 and 4","2, 4 and 5",3 and 5 only,5 only,,B," Before you back up an IOS image to a laptop directly connected to a router's Ethernet port, make sure the TFTP server software is running on your laptop, that the Ethernet cable is a ""crossover,"" and that the laptop is in the same subnet as the router's Ethernet port, and then you can use the <i class=""networking-code"">copy flash tftp</i> command from your laptop. "
"<p>What information is displayed by the <i class=""networking-code"">show hosts</i> command?
<ol class=""networking-ol-123""><li>  Temporary DNS entries
</li><li>  The names of the routers created using the <i class=""networking-code"">hostname</i> command
</li><li>  The IP addresses of workstations allowed to access the router
</li><li>  Permanent name-to-address mappings created using the <i class=""networking-code"">ip host</i> command
</li><li>  The length of time a host has been connected to the router via Telnet
</li></ol></p>","1, 2 and 3",1 and 4,"3, 4, and 5",All of the above,,B," The <i class=""networking-code"">show hosts</i> command provides information on temporary DNS entries and permanent name-to-address mappings created using the <i class=""networking-code"">ip host</i> command. "
"<p>You are unsuccessful in telnetting into a remote device. What could the problem be?
<ol class=""networking-ol-123""><li>  IP addresses are incorrect.
</li><li>  Access control list is filtering Telnet.
</li><li>  There is a defective serial cable.
</li><li>  The VTY password is missing.
</li></ol></p>",1 only,3 only,2 and 4 only,All of the above,,C," The best answers, the ones you need to remember, are that either an access control list is filtering the Telnet session or the VTY password is not set on the remote device. "
"<p>Which three commands can be used to check LAN connectivity problems on a router?
<ol class=""networking-ol-123""><li> <i class=""networking-code"">show interfaces</i>
</li><li> <i class=""networking-code"">show ip route</i>
</li><li> <i class=""networking-code"">tracert</i>
</li><li> <i class=""networking-code"">ping</i>
</li><li> <i class=""networking-code"">dns lookups</i>
</li></ol></p>","1 ,2 and 4",2 and 5,3 and 5,None of the above,,A," The <i class=""networking-code"">tracert</i> command is a Windows command and will not work on a router! A router uses the <i class=""networking-code"">traceroute</i> command. "
"<p>If you want to have more than one Telnet session open at the same time, what keystroke combination would you use?</p>",Tab+Spacebar,"Ctrl+X, then 6","Ctrl+Shift+X, then 6","Ctrl+Shift+6, then X",,D," To keep open one or more Telnet sessions, use the <i class=""networking-code"">Ctrl+Shift+6</i> and then <i class=""networking-code"">X</i> keystroke combination. "
<p>Which command will copy the IOS to a backup host on your network?</p>,"<i class=""networking-code"">transfer IOS to 172.16.10.1</i>","<i class=""networking-code"">copy run start</i>","<i class=""networking-code"">copy start tftp</i>","<i class=""networking-code"">copy flash tftp</i>",,D," To copy the IOS to a backup host, which is stored in flash memory by default, use the <i class=""networking-code"">copy flash tftp</i> command. "
<p>Which command loads a new version of the Cisco IOS into a router?</p>,"<i class=""networking-code"">copy flash ftp</i>","<i class=""networking-code"">copy ftp flash</i>","<i class=""networking-code"">copy flash tftp</i>","<i class=""networking-code"">copy tftp flash</i>",,D," The command <i class=""networking-code"">copy tftp flash</i> will allow you to copy a new IOS into flash memory on your router. "
<p>You are troubleshooting a connectivity problem in your corporate network and want to isolate the problem. You suspect that a router on the route to an unreachable network is at fault. What IOS user exec command should you issue?</p>,"<i class=""networking-code"">Router&gt; ping</i>","<i class=""networking-code"">Router&gt; trace</i>","<i class=""networking-code"">Router&gt; show ip route</i>","<i class=""networking-code"">Router&gt; show interface</i>",,B," The command <i class=""networking-code"">traceroute</i> (trace for short), which can be issued from user mode or privileged mode, is used to find the path a packet takes through an internetwork and will also show you where the packet stops because of an error on a router. "
<p>The configuration register setting of 0x2102 provides what function to a router?</p>,Tells the router to boot into ROM monitor mode,Provides password recovery,Tells the router to look in NVRAM for the boot sequence,Boots the IOS from a TFTP server,,C, The default configuration setting of 0x2102 tells the router to look in NVRAM for the boot sequence. 
<p>You telnet to a router and make your necessary changes; now you want to end the Telnet session. What command do you type in?</p>,"<i class=""networking-code"">close</i>","<i class=""networking-code"">disable</i>","<i class=""networking-code"">disconnect</i>","<i class=""networking-code"">exit</i>",,D," Since the question never mentioned anything about a suspended session, you can assume that the Telnet session is still open, and you would just type <i class=""networking-code"">exit</i> to close the session. "
<p>Which command displays the configuration register setting?</p>,"<i class=""networking-code"">show ip route</i>","<i class=""networking-code"">show boot version</i>","<i class=""networking-code"">show version</i>","<i class=""networking-code"">show flash</i>",,C," The <i class=""networking-code"">show version</i> command provides you with the current configuration register setting. "
<p>What should the configuration register value be after you successfully complete the password recovery procedure and return the router to normal operation?</p>,"<i class=""networking-code"">0x2100</i>","<i class=""networking-code"">0x2101</i>","<i class=""networking-code"">0x2102</i>","<i class=""networking-code"">0x2142</i>",,C," All Cisco routers have a default configuration register setting of <i class=""networking-code"">0x2102</i>, which tells the router to load the IOS from flash memory and the configuration from NVRAM. "
