question,A,B,C,D,E,answer,explanation
"<p>Your router has the following IP address on Ethernet0: 172.16.2.1/23. Which of the following can be valid host IDs on the LAN interface attached to the router?
<ol class=""networking-ol-123""><li>  172.16.1.100
</li><li>  172.16.1.198
</li><li>  172.16.2.255
</li><li>  172.16.3.0
</li></ol></p>",1 only,2 and 3 only,3 and 4 only,None of the above,,C," The router's IP address on the E0 interface is 172.16.2.1/23, which is 255.255.254.0. This makes the third octet a block size of 2. The router's interface is in the 2.0 subnet, and the broadcast address is 3.255 because the next subnet is 4.0. The valid host range is 2.1 through 3.254. The router is using the first valid host address in the range. "
"<p>Which two statements describe the IP address 10.16.3.65/23?
<ol class=""networking-ol-123""><li>  The subnet address is 10.16.3.0 255.255.254.0.
</li><li>  The lowest host address in the subnet is 10.16.2.1 255.255.254.0.
</li><li>  The last valid host address in the subnet is 10.16.2.254 255.255.254.0.
</li><li>  The broadcast address of the subnet is 10.16.3.255 255.255.254.0.
</li></ol></p>",1 and 3,2 and 4,"1, 2 and 4","2, 3 and 4",,B," The mask 255.255.254.0 (/23) used with a Class A address means that there are 15 subnet bits and 9 host bits. The block size in the third octet is 2 (256 - 254). So this makes the subnets in the interesting octet 0, 2, 4, 6, etc., all the way to 254. The host 10.16.3.65 is in the 2.0 subnet. The next subnet is 4.0, so the broadcast address for the 2.0 subnet is 3.255. The valid host addresses are 2.1 through 3.254. "
"<p>A network administrator is connecting hosts A and B directly through their Ethernet interfaces, as shown in the illustration. Ping attempts between the hosts are unsuccessful. What can be 
done to provide connectivity between the hosts?
<br/><img src=""/_files/images/networking/203-1.png""/>
<ol class=""networking-ol-123""><li>  A crossover cable should be used in place of the straight-through cable.
</li><li>  A rollover cable should be used in place of the straight-through cable.
</li><li>  The subnet masks should be set to 255.255.255.192.
</li><li>  A default gateway needs to be set on each host.
</li><li>  The subnet masks should be set to 255.255.255.0.
</li></ol></p>",1 only,2 only,3 and 4 only,1 and 5 only,2 and 5 only,D," First, if you have two hosts directly connected, as shown in the graphic, then you need 
a crossover cable. A straight-through cable won't work. Second, the hosts have different 
masks, which puts them in different subnets. The easy solution is just to set both masks to 
255.255.255.0 (/24). "
<p>What is the maximum number of IP addresses that can be assigned to hosts on a local subnet that uses the 255.255.255.224 subnet mask?</p>,14,15,16,30,,D," A /27 (255.255.255.224) is 3 bits on and 5 bits off. This provides 8 subnets, each with 30 hosts. Does it matter if this mask is used with a Class A, B, or C network address? Not at all. The number of host bits would never change. "
"<p>You need to subnet a network that has 5 subnets, each with at least 16 hosts. Which classful subnet mask would you use?</p>",255.255.255.192,255.255.255.224,255.255.255.240,255.255.255.248,,B," You need 5 subnets, each with at least 16 hosts. The mask 255.255.255.240 provides 16 subnets with 14 hosts-this will not work. The mask 255.255.255.224 provides 8 subnets, each with 30 hosts. This is the best answer. "
<p>You have a network that needs 29 subnets while maximizing the number of host addresses available on each subnet. How many bits must you borrow from the host field to provide the correct subnet mask?</p>,2,3,4,5,,D," A 240 mask is 4 subnet bits and provides 16 subnets, each with 14 hosts. We need more subnets, so let's add subnet bits. One more subnet bit would be a 248 mask. This provides 5 subnet bits (32 subnets) with 3 host bits (6 hosts per subnet). This is the best answer. "
"<p>If an Ethernet port on a router were assigned an IP address of 172.16.112.1/25, what would be the valid subnet address of this host?</p>",172.16.112.0,172.16.0.0,172.16.96.0,172.16.255.0,,A," A /25 mask is 255.255.255.128. Used with a Class B network, the third and fourth octets are used for subnetting with a total of 9 subnet bits, 8 bits in the third octet and 1 bit in the fourth octet. Since there is only 1 bit in the fourth octet, the bit is either off or on-which is a value of 0 or 128. The host in the question is in the 0 subnet, which has a broadcast address of 127 since 128 is the next subnet. "
"<p>You have an interface on a router with the IP address of 192.168.192.10/29. Including the router interface, how many hosts can have IP addresses on the LAN attached to the router interface?</p>",6,8,30,32,,A," A /29 (255.255.255.248), regardless of the class of address, has only 3 host bits. Six hosts is the maximum number of hosts on this LAN, including the router interface. "
<p>What is the subnetwork number of a host with an IP address of 172.16.66.0/21?</p>,172.16.36.0,172.16.48.0,172.16.64.0,172.16.0.0,,C," A /21 is 255.255.248.0, which means we have a block size of 8 in the third octet, so we just count by 8 until we reach 66. The subnet in this question is 64.0. The next subnet is 72.0, so the broadcast address of the 64 subnet is 71.255. "
<p>The network address of 172.16.0.0/19 provides how many subnets and hosts?</p>,"7 subnets, 30 hosts each","8 subnets, 8,190 hosts each","8 subnets, 2,046 hosts each","7 subnets, 2,046 hosts each",,B," A CIDR address of /19 is 255.255.224.0. This is a Class B address, so that is only 3 subnet bits, but it provides 13 host bits, or 8 subnets, each with 8,190 hosts. "
