question,A,B,C,D,E,answer,explanation
"<p>When setting up Frame Relay for point-to-point subinterfaces, which of the following must not be configured?</p>",The Frame Relay encapsulation on the physical interface,The local DLCI on each subinterface,An IP address on the physical interface,The subinterface type as point-to-point,,C," It is very important to remember when studying the CCNA exam objectives, and when configuring Frame Relay with point-to-point subinterfaces, that you do not put an IP address on the physical interface. "
<p>Which command will display the CHAP authentication process as it occurs between two routers in the network?</p>,"<i class=""networking-code"">show chap authentication</i>","<i class=""networking-code"">show interface serial 0</i>","<i class=""networking-code"">debug ppp authentication</i>","<i class=""networking-code"">debug chap authentication</i>",,C," The command <i class=""networking-code"">debug ppp authentication</i> will show you the authentication process that PPP uses between point-to-point connections. "
"<p>The Acme Corporation is implementing dial-up services to enable remote-office employees to connect to the local network. The company uses multiple routed protocols, needs authentication of users connecting to the network, and since some calls will be long distance, needs callback support. Which of the following protocols is the best choice for these remote services?</p>",802.1,Frame Relay,HDLC,PPP,PAP,D," PPP is your only option, as HDLC and Frame Relay do not support these types of business requirements. PPP provides dynamic addressing, authentication using PAP or CHAP, and callback services. "
<p>You need to configure a router for a Frame Relay connection to a non-Cisco router. Which of the following commands will prepare the WAN interface of the router for this connection?</p>,"Router(config-if)#<i class=""networking-code"">encapsulation frame-relay q933a</i>","Router(config-if)#<i class=""networking-code"">encapsulation frame-relay ansi</i>","Router(config-if)#<i class=""networking-code"">encapsulation frame-relay ietf</i>","Router(config-if)#<i class=""networking-code"">encapsulation frame-relay cisco</i>",,C," If you have a Cisco router on one side of a Frame Relay network and a non-Cisco router on the other side, you would need to use the Frame Relay encapsulation type of IETF. The default is Cisco encapsulation, which means that a Cisco router must be on both sides of the Frame Relay network. "
"<p>Which WAN encapsulations can be configured on an asynchronous serial connection?
<ol class=""networking-ol-123""><li>  PPP
</li><li>  ATM
</li><li>  HDLC
</li><li>  SDLC
</li><li>  Frame Relay
</li></ol></p>",1 and 2,2 and 4,"3, 4 and 5",All of the above,,A," Please do not freak out because ATM is an answer to this question. ATM is not covered in depth on the CCNA exam. PPP is mostly used for dial-up (async) services, but ATM could be used as well, though it typically is not used anymore since PPP is so efficient. "
"<p>Which encapsulations can be configured on a serial interface?
<ol class=""networking-ol-123""><li>  Ethernet
</li><li>  Token Ring
</li><li>  HDLC
</li><li>  Frame Relay
</li><li>  PPP
</li></ol></p>",1 and 4,2 only,"3, 4 and 5",All of the above,,C," Ethernet and Token Ring are LAN technologies and cannot be configured on a serial interface. PPP, HDLC, and Frame Relay are layer 2 WAN technologies that are typically configured on a serial interface. "
<p>Suppose that you have a customer who has a central HQ and six branch offices. They anticipate adding six more branches in the near future. They wish to implement a WAN technology that will allow the branches to economically connect to HQ and you have no free ports on the HQ router. Which of the following would you recommend?</p>,PPP,HDLC,Frame Relay,ISDN,,C," The key is ""there are no free ports"" on your router. Only Frame Relay can provide a connection to multiple locations with one interface, and in an economical manner no less. "
"<p>Which of the following command options are displayed when you use the <i class=""networking-code"">Router# show frame-relay ?</i> command?
<ol class=""networking-ol-123""><li> <i class=""networking-code"">dlci</i>
</li><li> <i class=""networking-code"">neighbors</i>
</li><li> <i class=""networking-code"">lmi</i>
</li><li> <i class=""networking-code"">pvc</i>
</li><li> <i class=""networking-code"">map</i>
</li></ol></p>",1 only,2 and 4,"3, 4 and 5",All of the above,,C," The <i class=""networking-code"">show frame-relay ?</i> command provides many options, but the options available in this question are <i class=""networking-code"">lmi</i>, <i class=""networking-code"">pvc</i>, and <i class=""networking-code"">map</i>. "
<p>In which of the following technologies is the term HFC used?</p>,DSL,PPPoE,Frame Relay,Dedicated T1,,D," In a modern network, hybrid fibre-coaxial (HFC) is a telecommunications industry term for a network that incorporates both optical fiber and coaxial cable to create a broadband network. "
<p>A default Frame Relay WAN is classified as what type of physical network?</p>,Point-to-point,Broadcast multi-access,Non-broadcast multi-access,Non-broadcast multipoint,,C," Frame Relay, by default, is a non-broadcast multi-access (NBMA) network, which means that broadcasts, such as RIP updates, will not be forwarded across the link by default. "
"<p>Which of the following describes the creation of private networks across the Internet, enabling privacy and tunneling of non-TCP/IP protocols?</p>",HDLC,Cable,VPN,IPSec,xDSL,C," A  allows the creation of private networks across the Internet, enabling privacy and tunneling of non-TCP/IP protocols. A VPN can be set up across any type of link. "
<p>Which of the following describes an industry-wide standard suite of protocols and algorithms that allows for secure data transmission over an IP-based network that functions at the layer 3 Network layer of the OSI model?</p>,HDLC,Cable,VPN,IPSec,xDSL,D, IPSec is an industry-wide standard suite of protocols and algorithms that allows for secure data transmission over an IP-based network that functions at the layer 3 Network layer of the OSI model. 
<p>Which of the following uses ATM as the Data Link layer protocol that's terminated at what's known as the DSLAM?</p>,DSL,PPPoE,Frame Relay,Dedicated T1,Wireless,A," ATM is the Data-Link layer protocol that's typically used over the DSL layer 1 connection from the CPE and terminated at what's known as the DSLAM-an ATM switch that contains DSL interface cards, or ATU-Cs. "
"<p>When a router is connected to a Frame Relay WAN link using a serial DTE interface, how is the clock rate determined?</p>",Supplied by the CSU/DSU,By the far end router,"By the <i class=""networking-code"">clock rate</i> command",By the Physical layer bit stream timing,,A," Clocking on a serial interface is always provided by the CSU/DSU (DCE device). However, if you do not have a CSU/DSU in your nonproduction test environment, then you need to supply clocking with the <i class=""networking-code"">clock rate</i> command on the serial interface of the router with the DCE cable attached. "
<p>Which command is required for connectivity in a Frame Relay network if Inverse ARP is not operational?</p>,"<i class=""networking-code"">frame-relay arp</i>","<i class=""networking-code"">frame-relay map</i>","<i class=""networking-code"">frame-relay interface-dci</i>","<i class=""networking-code"">frame-relay lmi-type</i>",,B," If you have a router in your Frame Relay network that does not support IARP, you must create Frame Relay maps on your router, which provide known DLCI-to-IP address mappings. "
