question,choices,answer
"Differentiate y = e<sup>x</sup> cos x<sup>2</sup>","[""\u2013e<sup>x<\/sup> sin x<sup>2<\/sup>"",""e<sup>x<\/sup> (cos x<sup>2<\/sup> \u2013 2x sin x<sup>2<\/sup>)"",""e<sup>x<\/sup> cos x<sup>2<\/sup> \u2013 2x sin x<sup>2<\/sup>"",""-2xe<sup>x<\/sup> sin x""]",1
"Differentiate y = sec (x<sup>2</sup> + 2)","[""2x cos (x<sup>2<\/sup> + 2)"",""\u2013cos (x<sup>2<\/sup> + 2) cot (x<sup>2<\/sup> + 2)"",""2x sec (x<sup>2<\/sup> + 2) tan (x<sup>2<\/sup> + 2)"",""cos (x<sup>2<\/sup> +2)""]",2
"What is the derivative with respect to x of (x + 1)<sup>3</sup> – x<sup>3</sup>?","[""3x + 6"",""3x \u2013 3"",""6x \u2013 3"",""6x + 3""]",3
"Differentiate y = log<sub>10</sub> (x<sup>2</sup> + 1)<sup>2</sup>","[""4x (x<sup>2<\/sup> + 1)"",""(4x log<sub>10<\/sub> e) \/ (x<sup>2<\/sup> + 1)"",""log e(x) (x<sup>2<\/sup> + 1)"",""2x (x<sup>2<\/sup> + 1)""]",1
"Differentiate (x<sup>2</sup> + 2)<sup>1/2</sup>","[""((x<sup>2<\/sup> + 2)<sup>1\/2<\/sup>) \/ 2"",""x \/ (x<sup>2<\/sup> + 2)<sup>1\/2<\/sup>"",""(2x) \/ (x<sup>2<\/sup> + 2)<sup>1\/2<\/sup>"",""(x<sup>2<\/sup> + 2)<sup>3\/2<\/sup>""]",1
"If y = (t<sup>2</sup> + 2)<sup>2</sup> and t = x<sup>1/2</sup>, determine dy/dx","[""3\/2"",""(2x<sup>2<\/sup> + 2x) \/ 3"",""2(x + 2)"",""x<sup>5\/2<\/sup> + x<sup>1\/2<\/sup>""]",2
"What is the first derivative of the expression (xy)<sup>x</sup> = e?","[""0"",""x\/y"",""\u2013y [(1 + ln xy) \/ x)]"",""\u2013y [(1 \u2013 ln xy) \/ x<sup>2<\/sup>)]""]",2
"Find the derivative with respect to x function √(2 – 3x<sup>2</sup>)","[""(-2x<sup>2<\/sup>) \/ \u221a(2 \u2013 3x<sup>2<\/sup>)"",""(-3x) \/ \u221a(2 \u2013 3x<sup>2<\/sup>)"",""(-3x<sup>2<\/sup>) \/ \u221a(2 \u2013 3x<sup>2<\/sup>)"",""(3x) \/ \u221a(2 \u2013 3x<sup>2<\/sup>)""]",1
"Find y’ if y = arc sin cos x","[""-1"",""-2"",""1"",""2""]",0
"Find the derivative of arc cos 4x.","[""-4 \/ (1 \u2013 16x<sup>2<\/sup>)<sup>0.5<\/sup>"",""4 \/ (1 \u2013 16x<sup>2<\/sup>)<sup>0.5<\/sup>"",""-4 \/ (1 \u2013 4x<sup>2<\/sup>)<sup>0.5<\/sup>"",""4 \/ (1 \u2013 4x<sup>2<\/sup>)<sup>0.5<\/sup>""]",0
"Find the derivative of (x + 1)<sup>3</sup> / x","[""((x + 1)<sup>2<\/sup> \/ x) \u2013 ((x + 1)<sup>3<\/sup> \/ x)"",""(4(x + 1)<sup>2<\/sup> \/ x) \u2013 (2(x + 1)<sup>3<\/sup> \/ x)"",""(2(x + 1)<sup>3<\/sup> \/ x) \u2013 ((x + 1)<sup>3<\/sup> \/ x<sup>3<\/sup>)"",""(3(x + 1)<sup>2<\/sup> \/ x) \u2013 ((x + 1)<sup>3<\/sup> \/ x<sup>2<\/sup>)""]",3
"Differentiate the equation y = x<sup>2</sup> / (x + 1)","[""(x<sup>2<\/sup> + 2x) \/ (x + 1)<sup>2<\/sup>"",""x \/ (x + 1)"",""2x"",""(2x<sup>2<\/sup>) \/ (x + 1)""]",0
"The derivative with respect to x of 2cos<sup>2</sup> (x<sup>2</sup> + 2) is","[""2sin (x<sup>2<\/sup> + 2) cos (x<sup>2<\/sup> + 2)"",""-2sin (x<sup>2<\/sup> + 2) cos (x<sup>2<\/sup> + 2)"",""8x sin (x<sup>2<\/sup> + 2) cos (x<sup>2<\/sup> + 2)"",""-8x sin (x<sup>2<\/sup> + 2) cos (x<sup>2<\/sup> + 2)""]",2
"Find the second derivative of y by implicit differentiation from the equation 4x<sup>2</sup> + 8y<sup>2</sup> = 36","[""64x<sup>2<\/sup>"",""(\u2013 9\/4) y<sup>3<\/sup>"",""32xy"",""(- 16\/9) y<sup>3<\/sup>""]",1
"Find the partial derivative with respect to x of the function xy<sup>2</sup> – 5y + 6.","[""y<sup>2<\/sup> \u2013 5"",""y<sup>2<\/sup>"",""xy \u2013 5y"",""2xy""]",1
"Find the second derivative of x<sup>3</sup> – 5x<sup>2</sup> + x = 0","[""10x \u2013 5"",""6x \u2013 10"",""3x + 10"",""3x<sup>2<\/sup> \u2013 5x""]",1
"Given the function f(x) = x to the 3rd power – 6x + 2. Find the first derivative at x = 2.","[""6"",""7"",""3x<sup>2<\/sup> \u2013 5"",""8""]",0
"Find the slope of the ellipse x<sup>2</sup> + 4y<sup>2</sup> – 10x – 16y + 5 = 0 at the point where y = 2 + 80.5 and x = 7.","[""-0.1463"",""-0.1538"",""-0.1654"",""-0.1768""]",3
"If y = 4cos x + sin 2x, what is the slope of the curve when x = 2 radians?","[""-2.21"",""-4.94"",""-3.95"",""2.21""]",1
"Find the slope of the line tangent to the curve y = x<sup>3</sup> – 2x + 1 at x = 1.","[""1"",""1\/2"",""1\/3"",""1\/4""]",0
"Given the slope of the curve at the point (1, 1): y = (x<sup>3</sup>/4) – 2x + 1","[""1\/4"",""-1\/4"",""1 1\/4"",""-1 1\/4""]",3
"Find the slope of x<sup>2</sup>y = 8 at the point (2, 2)","[""2"",""-1"",""-1\/2"",""-2""]",3
"Find the slope of the curve x<sup>2</sup> + y<sup>2</sup> – 6x + 10y + 5 + 0 at point (1, 0).","[""1\/5"",""2\/5"",""1\/4"",""2""]",1
"Find the slope of the tangent to the curve, y = 2x – x<sup>2</sup> + x<sup>3</sup> at (0, 2).","[""1"",""2"",""3"",""4""]",1
"Find the coordinates of the vertex of the parabola y = x<sup>2</sup> – 4x + 1 by making use of the fact that at the vertex, the slope of the tangent is zero.","[""(2, -3)"",""(3, -2)"",""(-1, -3)"",""(-2, -3)""]",0
"Find the equation of the normal to x<sup>2</sup> + y<sup>2</sup> = 5 at the point (2, 1)","[""y = 2x"",""x = 2y"",""2x + 3y = 3"",""x + y = 1""]",1
"What is the equation of the normal to the curve x<sup>2</sup> + y<sup>2</sup> = 25 at (4, 3)?","[""5x + 3y = 0"",""3x \u2013 4y = 0"",""3x + 4y = 0"",""5x \u2013 3y = 0""]",1
"Locate the points of inflection of the curve y = f(x) = x<sup>2</sup> e<sup>x</sup>.","[""-2 \u00b1 \u221a3"",""2 \u00b1 \u221a2"",""-2 \u00b1 \u221a2"",""2 \u00b1 \u221a3""]",2
"In the curve 2 + 12x – x<sup>3</sup>, find the critical points.","[""(2, 18) and (-2, -14)"",""(2, 18) and (2, -14)"",""(-2, 18) and (2, -14)"",""(-2, 18) and (-2, 14)""]",0
"Find the radius of curvature of a parabola y<sup>2</sup> – 4x = 0 at point (4, 4).","[""22.36 units"",""25.78 units"",""20.33 units"",""15.42 units""]",0
"Find the radius of curvature at any point in the curve y + ln cos x = 0.","[""cos x"",""1.5707"",""sec x"",""1""]",2
"Evaluate the limit ( x – 4 ) / (x2 – x – 12) as x approaches 4.","[""0"",""undefined"",""1\/7"",""infinity""]",2
"Evaluate the limit (1n x ) / x as x approaches positive infinity.","[""1"",""0"",""e"",""infinity""]",1
"Find dy/dx if y = 52x – 1","[""52x \u2013 1 ln 5"",""52x \u2013 1 ln 25"",""52x \u2013 1 ln 10"",""52x \u2013 1 ln 2""]",1
"Find dy/dx if y = e√x","[""e\u221ax \/ 2\u221ax"",""e\u221ax \/ \u221ax"",""ex \/ \u221ax"",""e\u221ax \u2013 2\u221ax""]",0
"Find dy/dx if y = x<sup>2</sup> + 3x + 1 and x = t<sup>2</sup> + 2.","[""4t<sup>3<\/sup> + 14t<sup>2<\/sup>"",""t<sup>3<\/sup> + 4t"",""4t<sup>3<\/sup> + 14t"",""4t<sup>3<\/sup> + t""]",2
