question,choices,answer
"Evaluate the limit (x – 4)/(x<sup>2</sup> – x – 12) as x approaches 4.","[""undefined"",""0"",""infinity"",""1\/7""]",3
"What is the limit of cos (1/y) as y approaches infinity?","[""0"",""-1"",""infinity"",""1""]",3
"Evaluate the limits of lim (x<sup>3</sup> – 2x + 9) /(2x<sup>3</sup> – 8).","[""0"",""-9\/8"",""\u03b1"",""\u00bd""]",3
"Evaluate the limit of (x<sup>3</sup> – 2x<sup>2</sup> – x + 2) /(x<sup>2 </sup>– 4) as x approaches 2.","[""\u03b1"",""\u00be"",""2\/5"",""4\/7""]",1
"Evaluate the limit of √(x – 4)/√(x<sup>2</sup> – 16) as x approaches 4.","[""0.262"",""0.354"",""0"",""\u03b1""]",1
"Evaluate the limit of (x<sup>2</sup> – x – 6)/(x<sup>2</sup> – 4x + 3) as x approaches 3.","[""3\/2"",""3\/5"",""0"",""5\/2""]",3
"Evaluate the limit of (4x<sup>2</sup> – x)/ (2x<sup>2</sup> + 4) as x approaches α.","[""2"",""4"",""\u03b1"",""0""]",0
"Evaluate the limit of (x – 2)/(x<sup>3</sup> – 8) as x approaches 2.","[""\u03b1"",""1\/12"",""0"",""2\/3""]",1
"Evaluate the limit of θ/(2 sinθ) as θ approaches 0.","[""2"",""\u00bd"",""0"",""\u03b1""]",1
"Evaluate the limit of (1 – sec<sup>2</sup> (x)/cos (x) – 1 as x approaches 0.","[""-2"",""\u03b1"",""0"",""1""]",0
"Evaluate the limit (x<sup>3</sup> – 27)/(x – 3) as x approaches to 3.","[""0"",""infinity"",""9"",""27""]",3
"Evaluate the limit (3x<sup>3</sup> – 4x<sup>2</sup> – 5x + 2)/(x<sup>2</sup> – x – 2) as x approaches to 2.","[""\u03b1"",""5"",""0"",""7\/3""]",1
"Evaluate the limit of (4 tan<sup>3</sup> (x)/ 2sin(x) – x as x approaches 0.","[""1"",""0"",""2"",""\u03b1""]",1
"Evaluate the limit of 8x/(2x – 1) as x approaches α.","[""4"",""3"",""2"",""-1""]",0
"Evaluate the limit of (x<sup>2</sup> – 1)/ (x<sup>2</sup> + 3x – 4) as x approaches 1.","[""2\/5"",""1\/5"",""3\/5"",""4\/5""]",0
"Evaluate the limit of (x + 2)/(x – 2) as x approaches α.","[""\u03b1"",""-1"",""1"",""4""]",1
"Evaluate the limit of (1 – cosx)/(x<sup>2</sup>) as x approaches 0.","[""\u03b1"",""\u00bd"",""1"",""0""]",1
"Find the limit of [sqrt(x + 4) – 2]/x as x approaches 0.","[""\u03b1"",""\u00bc"",""0"",""\u00bd""]",1
"Find the limit [sqrt(x + 9) – 3]/x as x approaches 0.","[""\u03b1"",""1\/6"",""0"",""1\/3""]",1
"Evaluate the limit (x<sup>2</sup> + x – 6)/(x<sup>2</sup> – 4) as x approaches to 2.","[""6\/5"",""5\/4"",""4\/3"",""3\/2""]",1
"Evaluate the limit (x<sup>2</sup> + x – 6)/(x<sup>2</sup> – 4) as x approaches to 2.","[""6\/5"",""5\/4"",""4\/3"",""3\/2""]",0
"Evaluate the limit (x<sup>4</sup> – 81)/(x – 3) as x approaches to 3.","[""108"",""110"",""122"",""100""]",0
"Evaluate the limit (x + sin2x)/ (x – sin2x) as x approaches to 0.","[""-5"",""-3"",""4"",""-1""]",1
"Evaluate the limit (ln sin x)/(ln tan x) as x approaches to 0.","[""1"",""2"",""\u00bd"",""\u03b1""]",0
