question,choices,answer
"Round off 0.003086 to three significant figures.","[""0.003"",""0.00308"",""0.0031"",""0.00308""]",1
"Round off 34.2841 to four significant figures.","[""34.2814"",""34.281"",""34.28"",""34.0""]",2
"Which number has three significant figures?","[""0.0014"",""1.4141"",""0.01414"",""0.0141""]",3
"Round off 149.691 to the nearest integer","[""149.69"",""149.7"",""150"",""149""]",2
"Round off 2.371 x 10<sup>-8</sup> to two significant figures","[""2.4 x 10<sup>-8<\/sup>"",""2.37 x1 0<sup>-8<\/sup>"",""0.2371 x 10<sup>-9<\/sup>"",""0.002371 x 10<sup>-11<\/sup>""]",0
"7 + 0i is","[""irrational number"",""real number"",""imaginary number"",""a variable""]",1
"The number 0.123123123123……… is","[""irrational"",""surd"",""rational"",""transcendental""]",2
"Round off 6785768.342 to the nearest one-tenth.","[""6785768"",""6785768.4"",""6785768.3"",""None of these""]",2
"Express decimally: Fourteen Ten thousandths","[""0.0014"",""0.00014"",""0.014"",""0.14""]",0
"MCMXCIV is equivalent to what number?","[""1964"",""1994"",""1984"",""1974""]",1
"Express decimally: Forty-Seven millionth","[""0.00000047"",""0.0000047"",""0.000047"",""0.000000047""]",2
"Express decimally: Seven hundred twenty-five hundred thousandths","[""0.000725"",""0.00725"",""0.0725"",""0.725""]",1
"Express decimally: Four and two tenth","[""0.042"",""4.02"",""4.2"",""0.42""]",2
"Express 45o in mils","[""80 mils"",""800 mils"",""8000 mils"",""80000 mils""]",1
"What is the value in degrees of 1 radian?","[""90"",""57.3"",""100"",""45""]",1
"3200 mils is equivalent to how many degrees?","[""45"",""90"",""180"",""270""]",2
"An angular unit equivalent to 1/400 of the circumference of a circle is called","[""mil"",""degree"",""radian"",""grad""]",3
"4800 mils is equivalent to ____ degrees.","[""135"",""270"",""235"",""142""]",1
"How many degrees Celsius is 100 degrees Fahrenheit?","[""2.667\u00b0C"",""1.334\u00b0C"",""13.34\u00b0C"",""37.8\u00b0C""]",3
"What is the absolute temperature of the freezing point of water in degree Rankine?","[""492"",""0"",""460"",""273""]",0
"What is the Fahrenheit equivalent of 100 degrees Celsius?","[""200"",""180"",""212"",""100""]",2
"The Temperature 45°C is equal to","[""45\u00b0F"",""113\u00b0F"",""57\u00b0F"",""81\u00b0F""]",2
"How many degrees Celsius is 80 degrees Fahrenheit?","[""13.34"",""1.334"",""26.67"",""2.667""]",1
"10 to the 12th power is the value of the prefix","[""Micro"",""Femto"",""Tera"",""Atto""]",2
"The micro of m means","[""10<sup>-2<\/sup>"",""10<sup>-6<\/sup>"",""10<sup>-3<\/sup>"",""10<sup>-12<\/sup>""]",1
"The prefix pico means","[""10<sup>-12<\/sup> of a unit"",""10<sup>-6<\/sup> of a unit"",""10<sup>-15<\/sup> of a unit"",""10<sup>-9<\/sup> of a unit""]",0
"The prefix nano is opposite to","[""mega"",""giga"",""tera"",""hexa""]",1
"1 foot is to 12 inches as 1 yard is to ____ spans","[""4"",""6"",""9"",""24""]",0
"A one-inch diameter conduit is equivalent to","[""254 mm"",""25.4 mm"",""100 mm"",""2.54 mm""]",1
"If a foot has 12 inches, then how many hands are there in one foot?","[""3"",""4"",""6"",""8""]",0
"How many feet difference is 1 nautical mile and 1 statute mile?","[""100 feet"",""200 feet"",""400 feet"",""800 feet""]",3
"In a hydrographic survey, a certain point below the surface of the water measures 12 fathoms. It is equivalent to a deep of how many feet?","[""72"",""60"",""48"",""36""]",0
"The legendary ship, Titanic that sunk in 1912 was estimated to be at the sea bottom at a deep of 18 cables. How deep it is in feet?","[""12,000"",""12,343"",""12,633"",""12,960""]",3
"How many square feet is 100 square meters?","[""328.1"",""929"",""32.81"",""1076""]",3
"A certain luxury ship cruises Cebu to Manila at 21 knots. If it will take 21 hours to reach Manila from Cebu, the distance traveled by the ship is nearly","[""847.5 km"",""507.15 statute mile"",""441 statute mile"",""414 nautical mile""]",1
"Carry out the following multiplication and express your answer in cubic meter: 8 cm x 5 mm x 2 m.","[""8 x 10<sup>-2<\/sup>"",""8 x 10<sup>2<\/sup>"",""8 x 10<sup>-3<\/sup>"",""8 x 10<sup>-4<\/sup>""]",3
"Which of the following is equivalent to 1 hectare?","[""100 acres"",""2 acres"",""100 square meters"",""60000 square feet""]",0
"Ten square statute mile is equivalent to _____ sections.","[""100"",""5"",""10"",""20""]",2
"The land area of the province of Cebu is 5088.39 sq. km. This is equivalent to","[""5088.39 hectares"",""1964.64 sq. miles"",""2257907.2 acres"",""5.08839 acres""]",1
"How many cubic feet is 100 gallons of liquid?","[""74.80"",""1.337"",""13.37"",""133.7""]",2
"How many cubic meters is 100 gallons of liquid?","[""1.638"",""3.785"",""0.164"",""0.378""]",3
"How many cubic meters is 100 cubic feet","[""3.785"",""28.31"",""37.85"",""2.831""]",3
"Ten (10) cubic meters is equivalent to how many stare?","[""5"",""10"",""20"",""100""]",1
"The standard acceleration due to gravity is","[""32.2 ft.\/s<sup>2<\/sup>"",""980 ft.\/s<sup>2<\/sup>"",""58.3 ft.\/s<sup>2<\/sup>"",""35.3 ft.\/s<sup>2<\/sup>""]",0
"A 7 kg mass is suspended in a rope. What is the tension is the rope is SI?","[""68.67 N"",""70 N"",""71 N"",""72 N""]",0
"A 10-liter pail is full of water. Neglecting the weight of the pail, how heavy is its water content?","[""5 kg"",""6.67 kg"",""10 kg"",""12.5 kg""]",2
"The unit of work in mks system is known as Joules (J) and the unit of work in the cgs system is erg. How many ergs are there in 1 J?","[""106"",""107"",""105"",""104""]",1
"One horsepower is equivalent to","[""746 watts"",""7460 watts"",""74.6 watts"",""7.46 watts""]",0
"How many horsepower is 746 kilowatts","[""500"",""74.6"",""100"",""1000""]",3
"An equipment costs P50,000.00 and depreciates 20% of the original costs during the first year, 16% during the second year, 12% during the third year, and so on, for 5 years. What is the value at the end of 5 years?","[""15,000"",""25,000"",""30,000"",""20,000""]",3
"Find the sum of the first 100 positive integers that is exactly divisible by 7.","[""35,350"",""25,053"",""53,350"",""25,536""]",0
"Find the 50th term of a geometric progression if the 20th term is 1200 and the 30th term is also 1200.","[""1200"",""2400"",""1400"",""4100""]",0
"A woman started a chain letter by writing to four friends and requesting each to copy the letter and send it to four other friends. If the chain was unbroken until the 5th set of letters was mailed, how much was spent for postage at P8.00 per letter?","[""16,219"",""10,912"",""21,835"",""13,291""]",1
"A soccer ball is dropped from height of 6 meters. On each rebound it rises 2/3 of the height from which it last fell. What distance has it traveled at the instant it strikes the ground for the 7th time?","[""27.89 m"",""19.86 m"",""20.87 m"",""24.27 m""]",0
"The arithmetic mean of two numbers is 4, and their harmonic mean is 15/4. Find the numbers.","[""3 &amp; 5"",""1 &amp; 7"",""2 &amp; 6"",""0 &amp; 8""]",0
"Find the real values of x and y satisfying the given equation: (2x + 3y) + i(3x – 5y) = 8 – i7.","[""x = 1, y = -2"",""x = -2, y = -1"",""x = 2, y = 1"",""x = 1, y = 2""]",3
"From the equation 12x<sup>3</sup> – 8x<sup>2</sup> + kx + 18 = 0, find the value of k if one root is the negative of the other.","[""-17"",""-12"",""-27"",""-36""]",2
"In how many ways can a group of 6 people be seated on a row of 6 seats if a certain 2 refuse to sit next to each other?","[""240 ways"",""480 ways"",""180 ways"",""320 ways""]",1
"How many different 8-digit numbers can be formed from the digits 2, 2, 2, 5, 5, 7, 7, 7?","[""320"",""560"",""520"",""480""]",1
"In how many ways can 10 different magazines be divide among A, B, and C so that A gets 5 magazines, B 3 magazines and C 2 magazines?","[""2,520"",""2,250"",""2,050"",""2,052""]",0
"What is the probability of drawing 6 white balls from a jar containing 9 white, 4 red, and 3 blue balls?","[""0.01"",""0.02"",""0.10"",""0.03""]",0
"Ten books consisting of 5 mathematics books, 3 physics books, and 2 chemistry books are placed in a bookcase at random. What is the probability that the same books are all together?","[""1\/420"",""3\/520"",""2\/241"",""5\/2463""]",0
"In a racing contest, there are 240 vehicles which will have provisions that will last for 15 hours. Assuming constant hourly consumption for each vehicle, how long will the fuels provisions last if 8 vehicles withdraw from the race every hour after the first?","[""63"",""18"",""20"",""25""]",3
"A clerk submitted the following reports. The average rate of production of radios is 1.5 units for every 1.5 hrs. work by 1.5 workers. How many radios were produce in one month by 30 men working 200 hrs. during the month?","[""4000"",""3800"",""5000"",""4200""]",0
"A piece of rod of length 52 cm. is cut into two unequal parts. Each part is then bent to form a square. It is found that the total area of the two squares is 97cm2. Find the difference between the sides of each square.","[""3"",""5"",""4"",""6""]",1
"Solve the trigonometric equation: 3sec2x – 4 = 0","[""Pi \/ 3 + 2n*Pi , 5Pi \/ 3 + 2n*Pi"",""Pi \/ 6 + 2n*Pi , 11 Pi \/ 6 + 2n*Pi"",""Pi \/ 3 + n*Pi , 5Pi \/ 3 + n*Pi"",""Pi \/ 6 + n*Pi , 11 Pi \/ 6 + n*Pi""]",3
"In what quadrant will the angle Ө terminate, if sin Ө is positive and sec Ө is negative?","[""I"",""III"",""II"",""IV""]",2
"If sec (2x – 3) = 1 / [sin(5x – 9)], determine the value x in degrees.","[""14.57\u00b0"",""16.36\u00b0"",""18.65\u00b0"",""14.61\u00b0""]",0
"What is the maximum value of 3 – 2 cos Ө?","[""2"",""3"",""4"",""5""]",3
"Solve the trigonometric equation: 2cosx + 1 = 0","[""Pi \/ 3 + 2n*Pi , 5Pi \/ 3 + 2n*Pi"",""-1\/2"",""2Pi \/ 3 + 2n*Pi , 4Pi \/ 3 + 2n*Pi"",""Pi \/ 2 + n*Pi""]",2
"If log x + log5 = log (x + 5), what is the value of x?","[""0"",""1.25"",""1.5"",""2""]",1
"If the angles of the triangle are 2x, x + 15, and 2x + 15, find the smallest of the angle in mills.","[""500 mils"",""600 mils"",""800 mils"",""900 mils""]",2
"If (log10x)<sup>2</sup> = 3 – log10x<sup>2</sup>. Which of the following choices can be a value of x?","[""10<sup>-3<\/sup>"",""10<sup>2<\/sup>"",""x<sup>10<\/sup>"",""10x""]",0
"Find the value of x in the equation (√5)2cosx = 5.","[""0\u00b0"",""45\u00b0"",""30\u00b0"",""60\u00b0""]",0
"If ax = by and bp = aq , then","[""px = qy"",""xy = pq"",""xp = yq"",""qx = py""]",0
"Solve the trigonometric equation: (3cosx + 7) (-2sinx – 1) = 0","[""7Pi \/ 6 + 2n*Pi , 11Pi \/ 6 + 2n*Pi"",""Pi \/ 3 + 2n*Pi , 2Pi \/ 3 + 2n*Pi"",""7Pi \/ 6 + n*Pi , 11Pi \/ 6 + n*Pi"",""-7 \/ 3 , -1 \/ 2""]",0
"If the bearing of point A from B is S 40° W, then the bearing of B from A is:","[""N40\u00b0 E"",""S40\u00b0 W"",""N50\u00b0 W"",""N50\u00b0 E""]",0
"A clock has a dial face of 12 in. radius. The minute hand is 9 inches while the hour hand is 6 inches. The plane of rotation of the hour hand is 2 inches above the plane of rotation of the minute hand. Find the distance between the tips of the minute and hour hand at 5:40 a.m.","[""7.48 in"",""6.48 in"",""9.17 in"",""10.16 in""]",2
"Two towers are 60 m apart from each other. From the top of the shorter tower, the angle of elevation of the top of the taller tower is 40°. How high is the taller tower if the height of the smaller tower is 40 m?","[""90 m"",""100 m"",""80 m"",""70 m""]",0
"Considering the earth to be a sphere of radius 6400 km, find the radius of the 60th parallel of latitude.","[""3,200 km"",""1,300 km"",""2,300 km"",""3,100 km""]",0
"Solve the trigonometric equation: (6tan2x – 2) (2tan2x – 6) = 0","[""Pi \/ 6 + n*Pi , 5Pi \/ 6 + 2n*Pi , Pi \/ 3 + n*Pi , 2Pi \/ 3 + n*Pi"",""Pi \/ 6 , 5Pi \/ 6"",""sqrt(3) , sqrt(3)"",""Pi \/ 3 + n*Pi , 2Pi \/ 3 + n*Pi""]",0
"From a point on a level ground, the angles of elevation of the top and bottom of the ABS-CBN tower situated on the top of the hill are measured as 48° and 40°, respectively. Find the height of the hill if the height of the tower is 116 feet.","[""348.56 m"",""368.36 m"",""258.96 m"",""358.49 m""]",3
"A ladder, with its foot in the street, makes an angle of 30° with the street when its top rests on a building on one side of the street and makes an angle of 40° with the street when its top rests on a building on the other side of the street. If the ladder is 50 ft. long, how wide is the street?","[""96.2 ft."",""81.6 ft."",""78.5 ft."",""64.3 ft.""]",1
"A wall is 15 ft. high and 10 ft. from a building. Find the length of the shortest ladder which will just touch the top of the wall and reach a window 20.5 ft. above.","[""42.54 m"",""35.54 m"",""54.45 m"",""47.45 m""]",0
"A poll tilts toward the sun at an angle 10° from the vertical casts a shadow 9 meters long. If the angle of elevation from the tip of the shadow to the top of the pole is 43°, how tall is the pole?","[""10.2"",""7.54"",""10.45"",""8.25""]",0
"If cos ϴ =√3 / 2, find 1 – tan2Ө..","[""-1"",""-1\/2"",""2\/3"",""2""]",2
"Solve the trigonometric equation “-2sec2x + 4 = -2secx” in the interval [0, 2Pi].","[""Pi \/ 3 , 5Pi \/ 3 , Pi"",""Pi"",""-1 , 2"",""Pi \/ 6 , 5Pi \/ 6 , Pi""]",0
"Solve the trigonometric equation 2sinx cos(-x) = 2sin(-x)sin(x)” in the interval [0, 2Pi].","[""0 , Pi , 3Pi \/ 4 , 7Pi \/ 4"",""3Pi \/ 4 , 7Pi \/ 4"",""0 , Pi \/ 2"",""Pi \/ 6 , 4Pi \/ 3""]",0
"From a helicopter flying at 30,000 feet, the angles of depression of two cities are 28° and 55°. How far apart are the two cities?","[""35,415.56 ft."",""23,587.67 ft."",""53,452.67 ft."",""43,254.76 ft.""]",0
"Two angles are adjacent and form an angle of 120°. If the larger angle is 20° less than three times the smaller angle, find the larger angle.","[""75\u00b0"",""30\u00b0"",""85\u00b0"",""65\u00b0""]",2
"A pine tree broken over by the wind forms a right triangle with the ground. If the broken part makes an angle of 50° with the ground and the top of the tree is now 20 ft. from its base, how tall was the pine tree?","[""55 ft."",""65 ft."",""45 ft."",""35 ft.""]",0
"A ball, 5 ft. in diameter, rolls up an incline of 18°20’. What is the height of the center of the ball above the base of the incline when the ball has rolled up 5 ft. up the incline?","[""3 ft."",""5 ft."",""4 ft."",""6 ft.""]",2
"If coversed Sin Ө = 0.134, find the value of versed Sin Ө.","[""0.8"",""0.3"",""0.5"",""0.2""]",2
"A vertical pole consists of two parts, each one half of the whole pole. At a point in the horizontal plane which passes through the foot of the pole and 36 m from it, the upper half of the pole subtend an angle whose tangent is 1/3. How high is the pole?","[""72"",""25"",""46"",""66""]",0
"Solve the trigonometric equation “sin2x = -sin(-x)” in the interval [0, 2Pi].","[""0 , 2Pi"",""0 , Pi \/ 3 , Pi , 5Pi \/ 3"",""0 , Pi"",""Pi \/ 3 , Pi""]",1
"If the sides of the triangle are 2x+3, x<sup>2</sup>+3x+3, and x<sup>2</sup>+2x, find the greatest angle.","[""100 deg."",""130 deg."",""120 deg."",""110 deg.""]",2
"ABDE is a square section and BDC is an equilateral triangle with C outside the square. Compute the value of angle ACE.","[""30 deg."",""60 deg."",""50 deg."",""20 deg.""]",0
"The angle of elevation of the top of a tower from a point A is 23°30’. From another point B, the angle of elevation of the top of the tower is 55°30’. The point A and B are 217.45 m apart and on the same horizontal plane as the foot of the tower. The horizontal angle subtended by A and B at the foot of the tower is 90 degrees. Find the height of the tower.","[""90.6 m"",""86.7 m"",""89.5 m"",""55.9 m""]",0
"What is the smallest positive zero of function f(x) = 1/2 – sin(3x + Pi/3)?","[""Pi\/3"",""Pi\/6"",""Pi\/18"",""Pi\/36""]",1
"A cylinder of radius 5 cm is inserted within a cylinder of radius 10 cm. The two cylinders have the same height of 20 cm. What is the volume of the region between the two cylinders?","[""500Pi"",""1000Pi"",""1500Pi"",""2000Pi""]",2
"A data set has a standard deviation equal to 1. If each data value in the data set is multiplied by 4, then the value of the standard deviation of the new data set is equal to","[""3"",""1"",""2"",""4""]",2
"A cone made of cardboard has a vertical height of 8 cm and a radius of 6 cm. If this cone is cut along the slanted height to make a sector, what is the central angle, in degrees, of the sector?","[""216"",""180"",""90"",""36""]",0
"If sin(x) = -1/3 and Pi ≤ x ≤ 3Pi/2, then cot(2x) = ?","[""4\u221a2"",""2\u221a2"",""\u221a2"",""7\/(4\u221a2)""]",3
"If in a triangle ABC, sin(A) = 1/5, cos(B) = 2/7, then cos(C) = ?","[""(\u221a45 \u2013 2\u221a24)\/35"",""(\u221a45 + 2\u221a24)\/35"",""(7\u221a24 + 10)\/35"",""0.85""]",0
"What value of x makes the three terms x, x/(x + 1) and 3x/[(x + 1)(x + 2)] those of a geometric sequence?","[""1"",""1\/2"",""1\/4"",""-1\/2""]",3
"The sum of the sides of a triangle is equal to 100 cm. If the angles of the triangle are in the continued proportions of 1:2:4. Compute the shortest side of the triangle.","[""17.545"",""19.806"",""18.525"",""14.507""]",1
"The sides of the triangular field which contains an area of 2400 sq. cm. are in continued proportion of 3:5:7. Find the smallest side of the triangle.","[""45.74"",""63.62"",""95.43"",""57.67""]",3
"In triangle ABC, angle A=80 deg. And point D is inside the triangle. If BD and CD are bisectors of angle B and C, solve for the angle BDC.","[""100 deg."",""130 deg."",""120 deg."",""140 deg.""]",1
"Simplify the equation Sin2x (1 + cot2x).","[""0"",""cos2x"",""1"",""sec2xsin2x""]",2
"Assuming the earth to be a sphere of radius 3960 mi, find the distance of point 36° N latitude from the equator.","[""2844 mi"",""2488 mi."",""2484 mi."",""4288 mi.""]",1
"If sinx cosx + sin2x = 1, what are the values of x in degrees?","[""32.2, 69.3"",""-32.2, 69.3"",""20.9, 69.1"",""20.9, -69.1""]",2
"If sin3x = cos6y then:","[""x \u2013 2y = 30"",""x + y = 180"",""x + 2y = 30"",""x + y = 90""]",2
"Evaluate cot<sup>-1</sup> [2cos (sin<sup>-1</sup>0.5)].","[""20\u00b0"",""45\u00b0"",""30\u00b0"",""60\u00b0""]",2
"An airplane can fly at airspeed of 300 mph. if there is a wind blowing towards the east at 50 mph, what should be the planes compass heading in order for its course to be 30 degrees. What will be the planes groundspeed if it flies at this course?","[""21.7\u00b0, 321.86 mph"",""31.6\u00b0, 351.68 mph"",""51.7\u00b0, 121.86 mph"",""12.7\u00b0, 331.86 mph""]",0
"From the given parts of a spherical triangle ABC, compute for angle A. (a = 120°, b = 73°15’, c = 62°45’)","[""127\u00b045\u2019"",""115\u00b026\u2019"",""185\u00b015\u2019"",""137\u00b056\u2019""]",3
"The diagonals of a parallelogram are 18 cm and 30 cm respectively. One side of a parallelogram is 12 cm. Find the area of the parallelogram.","[""214"",""216"",""361"",""108""]",1
"A quadrilateral has sides equal to 12 cm, 20 cm, 8 cm, and 17 cm respectively. If the sum of the two opposite angles is 225°, find the area of the parallelogram.","[""168.18"",""78.31"",""70.73"",""186.71""]",0
"The sides of the cyclic quadrilateral are a = 3 cm, b = 3 cm, c = 4 cm and d = 4 cm. Find the radius of the circle that can be inscribed in it.","[""2.71 cm"",""3.1 cm"",""1.51 cm"",""1.71 cm""]",3
"How many diagonals can be drawn from a 12 sided polygon?","[""66"",""48"",""54"",""36""]",2
"Find the area of a regular polygon whose side is 25 m and apothem is 17.2 m.","[""1075"",""925"",""1175"",""1275""]",0
"Find the area of a pentagon which is circumscribing a circle having an area of 420.60 sq. cm.","[""386.57"",""450.54"",""486.29"",""260.24""]",2
"As x increases from Pi/4 to 3Pi/4, |sin(2x)|","[""always increases"",""always decreases"",""increases then decreases"",""decreases then increases""]",3
