question,choices,answer
"In how many minutes after <strong>7 o’clock</strong> will the hands be directly opposite each other for the first time?","[""5.22 minutes"",""5.33 minutes"",""5.46 minutes"",""5.54 minutes""]",2
"What time after <strong>3 o’clock</strong> will the hands of the clock are together for the first time?","[""3:02.30"",""3:17.37"",""3:14.32"",""3:16.36""]",3
"At what time after <strong>12:00 noon</strong> will the hour hand and minute hand of the clock first form an angle of 120o?","[""12:18.818"",""12:21.818"",""12:22.818"",""12:24.818""]",1
"At what time between <strong>8 and 9 o’clock</strong> will the minute hand coincide with the hour hand?","[""8:42.5"",""8:43.2"",""8:43.6"",""8:43.9""]",2
"A man left his home at past <strong>3:00 o’clock PM</strong> as indicated in his wall clock, between 2 to 3 hours after, he returns home and noticed the hands of the clock interchanged. At what time did the man leave his home?","[""3:31.47"",""3:21.45"",""3:46.10"",""3:36.50""]",0
"Form the time <strong>6:15 PM to the time 7:45 PM</strong> of the same day, the minute hand of a standard clock describes an arc of?","[""60\u00b0"",""90\u00b0"",""180\u00b0"",""540\u00b0""]",3
"A storage battery discharges at a rate which is proportional to the charge. If the charge is reduced by <strong>50%</strong> of its original value at the end of 2 days, how long will it take to reduce the charge to 25% of its original charge?","[""3"",""4"",""5"",""6""]",0
"The resistance of a wire varies directly with its length and inversely with its area. If a certain piece of wire 10 m long and 0.10 cm in diameter has a resistance of 100 ohms, what will its resistance be if its is uniformly stretched so that its length becomes <strong>12 m</strong>?","[""80"",""90"",""144"",""120""]",2
"Given that “<strong>w</strong>” varies directly as the product of “<strong>x</strong>” and “<strong>y</strong>” and inversely as the square of “<strong>z</strong>” and that w = 4 when x = 2, y = 6 and z = 3. Find the value of “w” when x = 1, y = 4 and z = 2.","[""3"",""4"",""5"",""6""]",0
"If <strong>x</strong> varies directly as <strong>y</strong> and inversely as <strong>z</strong>, and x = 14 when y =7 and z = 2, find the value of x when y = 16 and z = 4.","[""14"",""4"",""16"",""8""]",2
