question,choices,answer
"If the antenna increases 3.3 times how much does the radiated power increase?","[""3.3 times"",""10.89 times"",""9.9 times"",""6.6 times""]",1
"When speaking of antennas. ______ is a section which would be a complete antenna by itself.","[""image"",""top loading"",""bay"",""quarterwave""]",2
"In what range of frequencies are most omnidirectional horizontally polarized antennas used?","[""VHF, UHF"",""VLF, LF"",""SH, EHF"",""MF, HF""]",0
"If the current ratios of the two or more elements must be held 5% and the phase angle to 3° the antenna is called a","[""end fire array"",""critical phased array"",""broadband array"",""wideband array""]",1
"A device that converts high frequency current into electromagnetic wave.","[""Antenna"",""Loudspeaker"",""Microphone"",""Transducer""]",0
"Which is a non-resonant antenna?","[""Rhombic antenna"",""Folded dipole"",""End-fire array"",""Yagi-Uda antenna""]",0
"Gain of a half-wave dipole antenna over isotropic.","[""2.15 dB"",""1.76 dB"",""1 dB"",""0 dB""]",0
"Very low signal strength in antenna.","[""Minor lobes"",""Null"",""Antenna patterns"",""Major lobes""]",1
"What is the gain of the Hertzian dipole over isotropic antenna?","[""1.64 dB"",""2.15 dB"",""1.76 dB"",""1.55 dB""]",2
"______ is the measurement of a unilateral antenna properties of directivity","[""Phase angle"",""Antenna gain"",""Beamwidth"",""Bandwidth""]",2
"In testing transmitter to prevent interfering with other stations, which type of antenna must be used?","[""Void antenna"",""Dummy antenna"",""Hertzian antenna"",""Isotropic antenna""]",1
"The best solution to fading is _____.","[""space diversity"",""frequency diversity"",""polarization diversity"",""wavelength diversity""]",0
"_____ is the amount of uncertainty in a system of symbols","[""Bandwidth"",""Enthalpy"",""Entropy"",""Quantum""]",2
"If an antenna has a gain of 3 dB, it increases the output of the transmitter by","[""10,000 times"",""1000 times"",""100 times"",""1 million times""]",1
"Top loading is used in an antenna in order to increase its ______.","[""practical height"",""beamwidth"",""effective height"",""input capacitance""]",2
"A horizontal antenna is _____.","[""vertically polarized"",""horizontally polarized"",""centrally polarized"",""circularly polarized""]",1
"All elements in a beam _____ antennas are in line","[""collinear"",""yagi"",""broadside array"",""log-periodic""]",0
"Which does not use vertical polarization antenna?","[""AM Broadcasting"",""FM Broadcasting"",""Mobile Communications"",""Satellite Communications""]",1
"Lightning rods must be mounted a top structure not less than ___ above the highest point.","[""10 cm"",""20 cm"",""30 cm"",""40 cm""]",2
"_____ is an antenna with a number of half-wave antenna on it.","[""Antenna array"",""Tower"",""Omni-directional"",""Rhombic""]",0
"Which antenna radiates an omnidirectional pattern in the horizontal plane with vertical polarization?","[""Marconi antenna"",""Discone antenna"",""Horn antenna"",""Helical antenna""]",0
"An antenna with very high gain and very narrow beamwidth.","[""Helical antenna"",""Discone antenna"",""Horn antenna"",""Parabolic dish antenna""]",3
"What determines antenna polarization?","[""The frequency of the radiated wave"",""The direction of the radiated wave"",""The direction of the magnetic field vector"",""The direction of the electric field vector""]",3
"_____ is the horizontal pointing angle of an antenna","[""Azimuth"",""Angle of elevation"",""Right angle"",""Beamwidth""]",0
"A dipole antenna requires to be fed with 20 kW of power to produce a given signal strength to a particular distant point. If the addition of a reflector makes the same field strength available with an input power of 11kW. What is the gain in dB, obtained by the use if the reflector. (Gain referred to this particular dipole).","[""4.75"",""2.6"",""1.81"",""4.24""]",1
"What is the estimated medium wind loading in the Philippines for antenna tower design?","[""300 kph"",""100 kph"",""200 kph"",""250 kph""]",2
"Discone radiation pattern is ______.","[""omnidirectional\/vertical polarized"",""unidirectional"",""bidirectional"",""figure of eight""]",0
"_____ is an open-ended slot antenna","[""Helical antenna"",""Rhombic antenna"",""Notch antenna"",""Cassegrain antenna""]",2
"Which antenna is a properly terminated?","[""Marconi"",""Rhombic"",""Dipole"",""Yagi-Uda""]",1
"What is the radiation characteristic of a dipole antenna?","[""Omnidirectional"",""Bidirectional"",""Unidirectional"",""Hemispherical""]",1
"What is the theoretical gain of a Hertzian dipole?","[""1.76 dB"",""2.15 dB"",""3 dB"",""0 dB""]",0
"An antenna with unity gain","[""Rhombic"",""Half-wave dipole"",""Isotropic"",""Whip""]",2
"How will you increase the gain of an antenna?","[""By adding several antennas in parallel"",""By focusing the radiated energy in one desired direction"",""By making antenna rods thicker"",""By making the antenna size larger""]",1
"An antenna which is one-tenth wavelength long","[""Hertzian dipole"",""Loop antenna"",""Marconi antenna"",""Elementary doublet""]",3
"What is the minimum number of turns a helix antenna must have?","[""3"",""5"",""4"",""6""]",0
"What is the gain of isotropic antenna?","[""10"",""1"",""10"",""100""]",1
"Which of the following improves antenna directivity?","[""Driven element"",""Reflector element"",""Director element"",""Parasitic element""]",3
"The antenna radiates _____ polarized waves when the transmitter antenna is horizontally installed.","[""Vertically"",""negatively"",""horizontally"",""circularly""]",2
"The length of a Marconi antenna to operate with 985 kHz is ______.","[""200 ft"",""500 ft"",""250 ft"",""999 ft""]",2
"What is the front-to-back ratio of an antenna which radiates 500 watts in a northernly direction and 50 watts in a southernly direction?","[""25000 dB"",""10 dB"",""100 dB"",""20 dB""]",1
"If 4 kW in antenna produces 50 μV/m in a receiving antenna, a 15 kW will produce _____.","[""200 \u03bcV\/m"",""10 \u03bcV\/m"",""100 \u03bcV\/m"",""20 \u03bcV\/m""]",2
"If the radiated power increase 10.89 times, the antenna current increases by ______.","[""3.3 times"",""6.6 times"",""1.82 times"",""10.89 times""]",0
"The frequency of operation of a dipole antenna cut to a length of 3.4 m.","[""88 MHz"",""44 MHz"",""22 MHz"",""11 MHz""]",1
"Comparing the signal strength arriving at the driven element from the desired direction to the signal strength reaching the driver from the opposite direction.","[""Directivity"",""Sensitivity"",""Beamwidth"",""Front-to-back ratio""]",3
"What is the capture area of a dipole operated at 75 MHz?","[""4 mm"",""2 m^2"",""2.088 m^2"",""4.088 m^2""]",2
"_____ of an antenna is a measure of how the antenna concentrates its radiated power in a given direction.","[""Efficiency"",""Power"",""Gain"",""Polarization""]",2
"Shortening effect of an antenna that makes it appear as if it were 5% longer.","[""End effect"",""Flywheel effect"",""Skin effect"",""Capture effect""]",0
"Harmonic suppressor connected to an antenna.","[""Low-pass filter"",""High-pass filter"",""M-derived filter"",""Constant-K""]",0
"A simple half-wavelength antenna radiates the strongest signal","[""at 45 degrees to its axis"",""parallel to its axis"",""at right angles to its axis"",""at 60 degrees to its axis""]",2
"It is measure of the microwave power radiated from an antenna as a function of angular direction from the antenna axis.","[""Polarization"",""Sidelobes"",""Beamwidth"",""Antenna pattern""]",2
"What is the gain of four identically polarized antennas stacked one above the other fed in phase?","[""4 dB over the gain of one antenna"",""10 dB over the gain of one antenna"",""3 dB over the gain of one antenna"",""6 dB over the gain of one antenna""]",3
"Gain of an isotropic antenna.","[""1 dB"",""-1 dB"",""0 dB"",""2 dB""]",2
"A dipole antenna requires to be fed with 20 kW of power to produce a given signal strength to a particular distant point. If the addition of a reflector makes the same field strength available with an input power of 11 kW, what is the gain in dB obtained by the use of the reflector? (Gain referred to this particular dipole)","[""4. 75"",""1.81"",""4.24"",""2.6""]",3
"Top loading is used in an antenna in order to increase its __________________.","[""Bandwidth"",""Beamwidth"",""Input capacitance"",""Effective height""]",3
