question,choices,answer
"Camera signal output without sync is called","[""Black burst"",""generator lock video"",""composite video"",""noncomposite video""]",3
"A low-contrast picture in which white seems flat and lacking in detail suggest","[""low beam current"",""high gain in the amplifier"",""excessive gamma"",""insufficient scanning width""]",0
"Which of the following camera tubes has minimum lag?","[""Vidicon"",""Plumbicon"",""Saticon"",""Iconoscope""]",1
"The part of the visible spectrum where camera pickup tubes have the greatest output is","[""red"",""blue"",""yellow-green"",""infrared""]",2
"Precise scanning size and linearity are most important in","[""a black-and-white camera"",""a plumbicon"",""a single-tube color pickup"",""a saticon""]",2
"Beam alignment magnets for the camera tube are adjusted while rocking which control?","[""Optical focus"",""Electrical focus"",""Beam current"",""Shading""]",1
"Special effects and production switching are done by the","[""CCU"",""ENG camera"",""SEG"",""Sync generator""]",2
"The gamma of the picture tube is","[""0.4545"",""1.0"",""1.4"",""2.2""]",3
"If the camera cannot be placed far away enough to include everything in the scene, change the lens to one with a","[""lower f rating"",""higher f rating"",""longer focal length"",""shorter focal length""]",3
"A typically value of vidicon dark current is","[""0.2 uA"",""about 200 uA"",""8 mA"",""800 mA""]",0
"A lens has an 8-cm focal and 4-cm diameter. Its f rating is","[""2"",""4"",""8"",""32""]",0
"Which of the following is FALSE?","[""The lens inverts the optical image on the faceplate of the camera tube."",""The composite video signal includes the camera signal and sync not blanking"",""The standard composite video from a camera is 1V p-p with negative sync."",""The plumbicon uses a lead oxide layer for the target plate.""]",1
"Which of the following is TRUE?","[""The diameter of the vidicon image plate is about 5 in. (127 mm)"",""The plumbicon camera tube uses a silicon target plate."",""The composite video signal includes the camera signal and sync but not blanking."",""the lens inverts the optical image on the faceplates of the camera tube.""]",3
"Which of the following produces the signal variations for G4 of the vidicon.","[""Target plate"",""Wire mesh"",""Muzzle"",""Beam control""]",0
"What is the gamma required for the camera tube?","[""2.2"",""0.4545"",""4.545"",""0.22""]",1
"<u></u>is more important for the gamma correction for the camera tube.","[""Color"",""Monochrome"",""Both Color and monochrome"",""Either of Color or monochrome""]",0
"In gamma correction the<u> </u>is stretched by the picture tube.","[""Black"",""gray"",""white"",""red""]",2
"To how many lax units is the illuminator of 3 fs, approximately equal?","[""650"",""225"",""65"",""30""]",3
"What is the diagonal screen size for the 19CP4 picture tube?","[""12 in."",""16 in."",""19 in."",""24 in.""]",2
"To what deflection angle does a maximum deflection angle of 45 deg either side center correspond?","[""30\u00b0"",""90\u00b0"",""120\u00b0"",""360\u00b0""]",1
"What is the usual heater voltage for picture tube?","[""1.6 v"",""5.6 V"",""6.3 V"",""9.3V""]",2
"What is the typical anode voltage for a 25-in color picture tube?","[""10 kV"",""30 kV"",""1 kV"",""30 V""]",1
"Typically, the anode capacitance for a 25-in tube is<u> </u>pT.","[""2"",""20"",""205"",""2000""]",3
"When the TV set was turned on, full power was applied to the heater and the picture appeared within a fraction of a second.","[""Ultor"",""Implosion"",""Instant-on operation"",""Screen persistence""]",2
"What are the phosphor numbers, respectively, for monochrome and color picture tubes?","[""P1 and P4"",""P1 and P22"",""P4 and P22"",""P4 and P1""]",2
"What is the color of P1 screen phosphor?","[""Red"",""Blue"",""White"",""Green""]",3
"Which of the following is the most negative (or least positive) electrode is the electron gun?","[""Cathode"",""Control grid G1"",""Screen grid"",""Focus grid""]",1
"Which is the most position element in the electron gun?","[""Ultor"",""Anode"",""Cathode"",""Ultor or anode""]",3
"Most of the electrons in the beam flow out of which terminal?","[""Ultor"",""Anode"",""Cathode"",""Ultor or anode""]",3
"The crossover point for focusing is formed by the<u> </u>electron lens.","[""first"",""second"",""Cathode"",""fourth""]",0
"In which method in a G3 voltage of 200 V. used for?","[""low-voltage focus"",""high-voltage focus"",""either low or high voltage focus"",""none of these""]",0
"Small magnets embedded in the yoke housing is correct for ____________.","[""yoke position"",""magnetic deflection"",""pinoushion distortion"",""centering adjustments""]",2
"The coils above and below the electron beam of the picture tube are for<u> </u>.","[""V scanning"",""H scanning"",""Either V or H scanning"",""None of these""]",1
"Neck shadow result when the deflection yoke is<u> </u>.","[""too near back"",""too near forward"",""too far back"",""too far forward""]",2
"In color picture tube, degaussing should be done<u> </u>the color purity adjustments.","[""after"",""before"",""either way"",""none at all""]",1
