question,choices,answer
"Is the most common technique where apartment house, hotels, schools, condominiums, and multi-unit buildings distribute TV and FM signals to a number of receivers, using a single head-end.","[""CCTV"",""CATV"",""MATV"",""Antenna""]",0
"TV channel 2, 4 and 5 belong to","[""Low band UHF"",""High band VHF"",""Mid band UHF"",""Low band VHF""]",3
"A mechanism or device which enables the TV camera to move in lateral and tilting motion","[""Panning device"",""Scanner"",""Tilting"",""Pan\/tilt device""]",3
"Which of the following is a solid state imaging device?","[""VIDICON"",""ICONOSCOPE"",""Charge couple device"",""CCTV""]",2
"What class of TV camera lens used to cover short distances?","[""Normal"",""Wide angle"",""Telephoto"",""Zoom""]",1
"What class of TV camera lens used to cover long distances?","[""Normal"",""Wide angle"",""Telephoto"",""Zoom""]",2
"What is the local oscillator frequency in commercial AM broadcast if it is equal to 455 kHz?","[""0 to 1500 kHz"",""0 to 455 kHz"",""540 to 1600 kHz"",""955 to 2055 kHz""]",3
"What is the allowable deviation ratio of commercial FM broadcast?","[""20"",""75"",""5"",""25""]",2
"The maximum power suggested by KBP on 919-1312 AM broadcast station in Metro Manila is","[""5 kW"",""10 kW"",""15 kW"",""20 kW""]",3
"KBP radio code mandates that station must provide a minimum of ___ minutes","[""30"",""45"",""50"",""60""]",1
"What is the chroma subcarrier signal frequency for color television?","[""3.8 MHz"",""6.8 MHz"",""7.8 MHz"",""8.8 MHz""]",0
"What is the frequency tolerance of an FM Radio Broadcast station?","[""\u00b1 20000 Hz"",""\u00b1 20 Hz"",""\u00b1 200 Hz"",""\u00b1 2000 Hz""]",3
"The minimum frequency separation between frequency of AM broadcasting station","[""9 kHz"",""18 kHz"",""36 kHz"",""72 kHz""]",2
"The aspect ratio HDTV is","[""4:3"",""18:5"",""14:8"",""16:9""]",3
"A newscast is a distinct unit of a program with a minimum news content of _____ minute(s) excluding intro, extro, headline and commercial load","[""1"",""2"",""3"",""4""]",0
"In accordance with existing provision of law and the KBP rules and the regulations, all stations shall actively promote the growth ands the development of Filipino music by playing _____ OPM every clock hour.","[""1"",""2"",""3"",""4""]",3
"Commercial load for radio shall not exceed ____ minutes for a one-hour program outside Metro Manila","[""15"",""20"",""25"",""30""]",0
"Commercial load for radio shall not exceed _____ minutes for a one-hour program outside Metro Manila.","[""15"",""16"",""17"",""20""]",2
"Program interruption for airing of commercial in Metro Manila shall not exceed _____ breaks in every program hour","[""5"",""6"",""7"",""8""]",1
"Program interruption for the airing of commercial outside Metro Manila shall not exceed _____ breaks in every program hour","[""5"",""6"",""7"",""8""]",1
"For Metro manila, the classification of prime time blocks for FM shall be","[""6:00 AM to 8:00 PM"",""6:00 AM to 12:00 NN"",""6:00 AM to 6:00 PM"",""12:00 NN to 12:00 MN""]",0
"For provincial station, the classification of prime time blocks for FM radio shall be","[""6:00 AM to 8:00 PM"",""6:00 AM to 12:00 NN"",""6:00 AM to 6:00 PM"",""12:00 NN to 12:00 MN""]",0
"All airtime classifications shall be submitted to and subject for approval by the","[""NTC"",""KBP-SA"",""DOTC"",""CCITT""]",1
"_____ is the time circulation for one horizontal trace","[""52 us"",""62 us"",""48 us"",""50 us""]",0
"Listing of the date and time of events, programs, equipment, tests, malfunctions and corrections in communications system.","[""Reporting"",""Documentation"",""Log"",""File""]",2
"Which of the following is not a low impedance microphone?","[""Dynamic"",""Velocity"",""Condenser"",""Crystal""]",3
"Facsimile permits remote duplications of which of the following items?","[""Map"",""Pictures"",""Printed page"",""All of these""]",3
"Television has a lot of features in common with","[""FM stereo"",""Telephone service"",""Motion picture"",""Magazine""]",2
"The major component of the TV signal waveform is the","[""Video"",""Radar"",""Stereo"",""Antenna""]",0
"For NTSC TV system, the image is scanned from","[""Top to bottom"",""Left to right"",""Right to left"",""Choices A and B above""]",3
"One completes NTSC scanning cycle called field consists of how many lines","[""500"",""525"",""625"",""60""]",1
"The field rate in the NTSC television system","[""30 Hz"",""120 Hz"",""60 Hz"",""15.75 Hz""]",2
"What is the horizontal synchronous blanking pulse rate?","[""30 Hz"",""60 Hz"",""15.75 Hz"",""120 Hz""]",2
"What is the vertical blanking pulse rate?","[""30 Hz"",""60 Hz"",""15.75 Hz"",""120 Hz""]",1
"The pulses riding on the vertical blanking pulse","[""Equalizing (sync) pulses"",""Serrated vertical sync pulses"",""Black level pulses"",""Choices A and B above""]",3
