question,choices,answer
"Unipolar, bipolar, and polar encoding are types of ___________ encoding.","[""Digital-to-digital"",""Digital-to-analog"",""Analog-to-analog"",""Analog-to-digital""]",0
"PCM is an example of __________ encoding.","[""Digital-to-digital"",""Digital-to-analog"",""Analog-to \u2013analog"",""Analog-to-digital""]",3
"AM and FM are examples of ________ encoding.","[""Digital-to-digital"",""Digital-to-analog"",""Analog-to \u2013analog"",""Analog-to-digital""]",2
"In QAM, both phase and ________ of a carrier frequency are varied.","[""Amplitude"",""Frequency"",""Bit rate"",""Baud rate""]",0
"Which of the following is most affected by noise?","[""PSK"",""ASK"",""FSK"",""QAM""]",1
"If the frequency spectrum of a signal has a bandwidth of 500 Hz with the highest frequency at 600 Hz, what should be the sampling rate according to the Nyquist theorem?","[""200 samples\/sec"",""500 samples\/sec"",""1000 samples\/sec"",""1200 samples\/sec""]",3
"If the baud rate is 400 for a 4-PSK, the bit rate is ______ bps.","[""100"",""400"",""800"",""1600""]",2
"Determine the channel capacity of a 4 kHz channel with S/N = 10 dB.","[""8.02 kbps"",""4.17 kbps"",""13.74 kbps"",""26.58 kbps""]",2
"If the bit rate for an ASK signal is 1200 bps, the baud rate is","[""300"",""400"",""600"",""1200""]",3
"Which encoding method uses alternating positive and negative values for 1’s?","[""NRZ-I"",""RZ"",""Manchester"",""AMI""]",3
"If the maximum value of a PCM signal is 31 and the minimum value is -31, how many bits were used for coding?","[""4"",""5"",""6"",""7""]",2
"Deliberate violations of alternate mark inversion are used in which type of digital-to-digital encoding?","[""AMI"",""B8ZS"",""RZ"",""Manchester""]",1
"RZ encoding involves _______ levels of signal amplitude.","[""1"",""3"",""4"",""5""]",1
"If the transmission rate of a digital communication system of 10 Mbps modulation scheme used in 16-QAM, determined the bandwidth efficiency.","[""16 bits\/cycle"",""4 bits\/cycle"",""8 bits\/cycle"",""2 bits\/cycle""]",1
"In _________ transmission, bits are transmitted simultaneously, each across its own channel .","[""Asynchronous serial"",""Synchronous serial"",""Parallel"",""A and B""]",2
"Data are sent over pin ________ of the EIA-RS-232 interface.","[""2"",""3"",""4"",""All of the above""]",0
"In the EIA-RS-232 standard what does -12V on a data pin represent?","[""1"",""0"",""Undefined"",""Either 1 or 0 depending on the coding scheme""]",0
"The majority of the pins f the EIA-RS-232 interface are used for _____ purpose.","[""Control"",""Timing"",""Data"",""Testing""]",0
"X-21 uses a _____ connector.","[""DB-15"",""DB-25"",""DB37"",""DB-9""]",0
"If you have two close, compatible DTEs that can communicate data that do not need to be modulated. A good interface would be ________.","[""A null modem"",""An EIA-RS-232 modem"",""A DB-45 connector"",""A transceiver""]",0
"What is the object of trellis coding??","[""To narrow bandwidth"",""To simplify encoding"",""To increase data rate"",""To reduce the error rate""]",3
"In trellis coding. The number of the data bits is _____ the number of transmitted bits.","[""Equal to"",""Less than"",""More than"",""Double that of""]",1
"Which ITU-T modem uses trellis coding?","[""V.33"",""V.34"",""V.39"",""V.37""]",0
"The signal between two modems is always","[""Digital"",""Analog"",""PSK"",""QAM""]",1
"For digital communications, determine the signal to noise ratio in dB which would be required for an ideal channel with a bandwidth of 2500 Hz.","[""5"",""9.54 dB"",""4.77 dB"",""3.4""]",2
"For a PCM system with a maximum decoded voltage at the receiver of ±2.55 V and minimum dynamic range of 46 dB, determine the maximum quantization error.","[""5.0 V"",""0.5 V"",""0.005 V"",""0.05 V""]",2
"Determine the bandwidth efficiency for QPSK modulation scheme at a transmission rate of 10 Mbps.","[""2 bits\/cycle"",""4 bits\/cycle"",""8 bits\/cycle"",""16 bits\/cycle""]",0
"A modulator converts a (an) ______ signal to a (an) __________ signal.","[""Digital, analog"",""Analog, digital"",""PSK, FSK"",""FSK, PSK""]",0
"Which of the following modulation techniques are used by modems?","[""16-QAM"",""FSK"",""8-PSK"",""All of the above""]",3
"A broadcast TV channel has a bandwidth of 6 MHz. Ignoring noise, calculate the maximum data rate that could be carried in a TV channel using a 16-level code and determine the minimum possible signal-to-noise ratio in dB for the calculated data rate.","[""24 Mbps, 48 dB"",""48 Mbps, 24 dB"",""24 Mbps, 24 dB"",""48 Mbps, 48 dB""]",1
"Which of the following modems uses FSK modulation?","[""Bell 103"",""Bell 201"",""Bell 212"",""All of the above""]",0
"A maximum length of 50 feet is specified in standard __________.","[""EIA-RS-449"",""EIA-RS-232"",""EIA-RS-423"",""RS-422""]",1
"A cable range of 40 to _____ feet is possible according to the EIA-RS-449 standard.","[""50"",""400"",""500"",""4000""]",3
"What is the bandwidth required to transmit at a rate of 10Mbits/sec in the presence of a 28 dB S/N ratio?","[""107.5 kHz"",""3.57 MHz"",""357.14 kHz"",""1.075 MHz""]",3
"The maximum data rate for RS-442 is ________ times that of the maximum RS-423 data rate.","[""0.1"",""10"",""100"",""500""]",2
"For an Ethernet bus that is 500 meters in length using a cable with a velocity factor of 0.66, and a communication rate of 10 Mb/s, calculate the total number of bits that would be sent by each station before it detects a collision, if both stations begin to transmit at the same time.","[""25 bits"",""30 bits"",""19 bits"",""41 bits""]",0
"A ______ is a device that is a source of or a destination for binary digital data.","[""Data terminal equipment"",""Data transmission equipment"",""Digital terminal encoder"",""Data-circuit terminating equipment""]",0
"An asynchronous communications system uses ASCII at 9600 bps with eight bits, one start bit, one stop bit and no parity bit. Express the data rate in words per minute. (Assume a word has five characters and one space).","[""9600 wpm"",""57600 wpm"",""160 wpm"",""11520 wpm""]",0
"A telephone line has a bandwidth of 3.2 kHz and a signal-to-noise ratio of 34 dB. A signal is transmitted down this line using a four-level code. What is the maximum theoretical data rate ?","[""12.8 kbps"",""6.4 kbps"",""36.144 kbps"",""18.072 kbps""]",0
"For a binary phase shift keying (BPSK) modulation with a carrier frequency of 80 MHz and an input bit rate of 10 Mbps. Determine the minimum Nyquist bandwidth.","[""40 MHz"",""10 MHz"",""20 MHz"",""50 MHz""]",1
"The EIA standard specified in the EIA-232 standard is ______ volts.","[""Greater than -15"",""Less than -15"",""Between -3 and -15"",""Between 3 and 15""]",3
"For a quaternary phase shift keying (QPSK) modulation, data with a carrier frequency of 70 MHz, and input bit rate of 10 Mbps, determine the minimum Nyquist bandwidth.","[""10 MHz"",""5 MHz"",""20 MHz"",""40 MHz""]",1
"12 voice channels are sampled at 8000 sampling rate and encoded into 8-bit PCM word. Determine the rate of the data stream.","[""768 kbps"",""12 kbps"",""12.8 kbps"",""46.08 kbps""]",0
"The encoding method specified in the EIA-232 standard is _________.","[""NRZ-I"",""NRZ-L"",""Manchester"",""Differential Manchester""]",1
"A binary digital signal is to be transmitted at 10 Kbits/s , what absolute minimum bandwidth is required to pass the fastest information change undistorted?","[""5 kHz"",""10 kHz"",""20 kHz"",""2.5 kHz""]",0
"A coherent binary phase shift keyed (BPSK) transmitter operates at a bit rate of Mbps with a carrier to noise ratio C/N of 8.8 dB. Find Eb/No.","[""8.8 dB"",""16.16 dB"",""21.81 dB"",""18.8 dB""]",0
"The EIA-RS-232 interface has _______ pins.","[""20"",""36"",""25"",""19""]",2
"The EIA-RS-232 standard defines _________ characteristics of the DTE-DCE interface.","[""Mechanical"",""Electrical"",""Function"",""All of the above""]",3
"For sample rate of 30 kHz in a PCM system, determine the maximum analog input frequency .","[""30 kHz"",""15 kHz"",""60 kHz"",""45 kHz.""]",1
"Codes are always","[""Eight bits per character"",""Either seven or eight bits per character"",""Agreed upon in advance between sender receiver"",""The same in all modern computers""]",2
