question,choices,answer
"Calculate the effective earth’s radius if the surface refractivity is 301.","[""8493 km"",""8493 mmi"",""6370 km"",""6370 mi""]",0
"If k-factor is greater than 1, the array beam is bent","[""Away from the earth"",""towards the ionosphere,"",""towards the earth"",""towards the outer space""]",2
"Rainfall is an important factor for fading of radio waves at frequencies above","[""10 GHz"",""100 GHz"",""1 GHz"",""100 MHz""]",0
"Theoretically electromagnetic radiation field strength varies in inverse proportion to the square of the distance, but when atmospheric attenuation effects and the absorption of the terrain are taken into account the attenuation can be as high as the inverse _______ power of the distance.","[""Third"",""Fourth"",""Fifth"",""Sixth""]",3
"What do you call an attenuation that occurs over many different wavelengths of the carrier?","[""Rayleigh fading"",""Rician fading"",""Wavelength fading"",""Slow fading""]",3
"Which of the reception problems below that is not due to multipath?","[""Delayed spreading"",""Rayleigh fading"",""Random Doppler shift"",""Slow fading""]",3
"Which causes multipath or frequency-selective fading?","[""Small reflector"",""Nearer reflector"",""Further reflector"",""Large reflector""]",3
"In microwave transmission using digital radio, what causes most intersymbol interference?","[""Delayed spreading"",""Rayleigh fading"",""Random Doppler shift"",""Slow fading""]",0
"A shipboard equipment which measures the distance between the ship’s bottom and the ocean floor.","[""Fathometer"",""Echosounder"",""LORAN"",""SONAR""]",3
"The cavity resonator","[""Is equivalent to an LC resonant circuit"",""In a reflect klystron has its output taken from the reflector plate"",""Produces a frequency which is independent of the cavity size."",""Has a low Q factor for narrow operation.""]",0
"At what position is the input signal inserted into a traveling-wave tube?","[""At the cathode end of the helix"",""At the collector"",""At the collector end of the helix"",""At the control grid of the electron gun""]",0
"Coupling into and out of a traveling-wave tube can be accompanied by a","[""Waveguide match"",""Cavity match"",""Direct coax-helix match"",""All of the above""]",3
"a high-power microwave pulse of the order of megawatts can be generated by a","[""traveling-wave tube"",""magnetron"",""reflex klystron"",""Gunn diode""]",1
"A traveling-wave tube (TWT) amplifies by virtue of","[""The absorption of energy by the signal from an electron stream"",""The effect of an external magnetic field"",""The energy contained the cavity resonators"",""The energy liberated form the collector""]",0
"What is the purpose of the electromagnetic field which surrounds a traveling-wave tube?","[""To accelerate the electron"",""To velocity modulate the electron beam"",""To keep the electrons from spreading out"",""To slow down the signal on the helix""]",2
"Which of the following is used as an oscillator device in the SHF band?","[""Thyratron tube"",""Tunnel diode"",""Klystron tube"",""Both B and C""]",3
"Microwave frequencies are normally regarded as those in the range of","[""1 to 500 MHz"",""1000 to 10,000 GHz"",""1 to 100 GHz"",""10 to 1000 GHz""]",2
"The highest frequency which a conventional vacuum-tube oscillator can generate is not limited by the","[""Electron transit time"",""Distributed lead inductance"",""Inter-electrode capacitance"",""Degree of emission from the cathode""]",3
"As the electron beam moves through a klystron’s intercavity drift space","[""Frequency modulation at the input cavity creates velocity modulation at the output cavity"",""Velocity modulation at the input cavity creates density modulation at the output cavity"",""Density modulation at the input cavity creates velocity modulation at the output cavity"",""Phase modulation at the input cavity creates velocity modulation at the output cavity.""]",1
"The frequency of the oscillation generated by a magnetron, is mainly determined by","[""The flux density of the external magnet"",""The ratio of the dc cathode voltage to the magnetic flux density"",""The number of the cavity resonators"",""The dimension of each cavity resonator""]",3
"If the instantaneous RF potentials on the two sides of a magnetron cavity are of opposite polarity, the operation is in the","[""\u03c0 mode"",""\u03c0\/2 mode"",""2\u03c0 mode"",""\u03c0\/4 mode""]",0
"The Gunn diode oscillator","[""Is capable of generating continuous microwave power of the order of kilowatt"",""Generates frequencies which are below 100 MHz"",""Operates over a positive resistance characteristic"",""Depends on the formation of charge domain""]",3
"What ferrite device can be used instead of duplexer of isolate microwave transmitter and receiver when both are connected to the same antenna?","[""Isolator"",""Magnetron"",""Simplex"",""Circulator""]",3
"To achieve good bearing resolution when using a pulsed-radar set, an important requirement is","[""A narrow, antenna-beam width in the vertical plane"",""A narrow, antenna-beam width in the horizontal plane"",""A low repetition rate"",""A high duty cycle""]",1
"When used in conjunction with a radar set, the purpose of an echo box is to provide an artificial target.","[""Which may be used to tune the radar synchronizer"",""Which may be used to tune the radar receiver"",""To the tone of the pulse repetition"",""Tune the magnetron to the correct frequency""]",1
"In a radar-set receiver, the usual mixer stage is","[""And FET"",""A tunnel diode"",""A silicon crystal"",""A Rochelle salts crystal""]",2
"Klystron oscillators are most often used in the frequency range of","[""300 to 3000 MHz"",""3000 to 30000 MHz"",""30 to 30000 MHz"",""10 to 10000 MHz""]",1
"Oscillators of a klystron tube are maintained","[""By bunches of electrons passing the cavity grids"",""By plate-to-cathode feedback"",""By feedback between the accelerating grid and the repeller"",""By circulating bunches of electrons within the cavities.""]",0
"What allow microwave to pass in only one direction?","[""RF emitter"",""Capacitor"",""Varactor-triac"",""Ferrite emitter""]",3
"In an SHF pulsed radar set, a reflex klystron can be used as a","[""Single mixer stage"",""Local oscillator"",""Transmitter oscillator"",""Duplexer stage""]",1
"A Class-S Emergency Position-Indicating Radio Beacon (E.P.I.R.B)","[""Must be capable of floating or being secured to a survival"",""Must have its battery replaced after emergency use"",""May be tested during the first five minutes of any hour"",""All of these""]",3
"A PPI cathode-ray tube as used on a radar set","[""Is used to check the percentage of modulation"",""Indicates both the range and azimuth of a target"",""Indicates only the range of a target"",""Is used for receiver alignment""]",1
"The resonant frequency of a cavity resonator depends upon","[""The mode of operation"",""Its electrical dimensions"",""Its physical dimensions"",""The capacitor which tunes it""]",2
"The maximum usable range of the usual radar set (on any particular range setting) is determined by","[""The width of the transmitted pulses"",""The interval between transmitted pulses"",""The bandwidth of the receiver IF stages"",""The duty cycle""]",1
"A reflex klystron is oscillating at the frequency of its resonant cavity. If the reflector voltage is made slightly less negative, the","[""Oscillation will cease"",""Output power would increase"",""The frequency will decrease"",""Bunching would occur earlier in time""]",2
"The coarse frequency adjustment of a reflex klystron is accomplished by","[""The AFC system"",""Adjusting the flexible wall of the resonant cavity"",""An adjustment in the synchronizer"",""Varying the repeller voltage""]",1
"In a pulsed radar set, the STC circuit is used to","[""Improve the target bearing resolution"",""Increases receiver sensitivity for echoes from targets"",""Vary the pulse frequency in order to control the maximum target"",""Reduce interference from the effects of sea return""]",3
"In a pulsed radar set, the function of the duplexer is to","[""Aid in calibrating the display unit"",""Prevent frequency drift in the klystron"",""Allow the transmitter and the receiver to operate from a common antenna"",""All of these""]",2
"A magnetron is operated at a duty cycle of 0.001. It has a peak power output of 100 kilowatts. Its average power is","[""10,000 watts"",""100 watts"",""1,000 watts"",""1,000,000 watts""]",1
"The aquadag coating on the inside of PPI tube is used","[""To focus the beam of primary electrons"",""To shield the electron beam from unidirectional magnetic"",""As a second anode and to prevent the build-up of secondary field"",""All of these""]",2
"If the duration of the radar transmitted pulse, on a particular range of operation, is increased, the required bandwidth of the receiver’s IF amplifiers","[""Must remain as before"",""Must be increased"",""May be decreased"",""Must be doubled""]",2
"The main frequency determining element of a klystron is","[""The repeller voltage"",""The accelerating voltage"",""Its resonant cavity"",""Its mode of operation""]",2
"A thin layer of dirt and grime coverts the reflecting surface of the parabolic dish of a radar set. The particular effect on the performance of the radar will be","[""A decrease in range"",""A reduction in horizontal resolution"",""No noticeable effect"",""A decrease in gain""]",2
"Which of the following permits a microwave signal to travel in one direction with virtually no loss, but severely attenuates any signal attempting to travel in the reverse direction?","[""Isolator"",""Wave trap"",""Tunnel diode"",""Circulator""]",0
"It is possible to increase the maximum range of a radar equipment by","[""Lowering the pulse frequency"",""Raising the peak power of the transmitter"",""Narrowing the beam width and increasing the pulse duration"",""All of these""]",3
"When it is desired that short-range targets be clearly seen on a pulsed-radar set, it is important that the receiver and display system have","[""A long time constant"",""Low-pass filters"",""The shortest possible time"",""The restricted high-frequency response""]",2
"Which of the following is used as a high power microwave oscillator?","[""Thyratron"",""Magnetron"",""Klystron"",""Reflex-klystron""]",1
"Which of the following operating frequencies is used for the modern loran navigational system?","[""Loran C: 100 kHz"",""Loran D: 10.2 kHz"",""Loran A: 1950 kHz"",""Loran B: 900 kHz""]",0
"A ship-to-ship communications system is plagued by fading. The best solution seems to be the use of","[""A more directional antenna"",""A broadband antenna"",""Frequency diversity"",""Space diversity""]",2
"A range of microwave frequencies more easily passed by the atmosphere than are the others is called a","[""Window"",""Critical frequency"",""Gyro frequency range"",""Resonance in the atmosphere""]",0
"Frequencies in the UHF range propagate by means of","[""Ground waves"",""Sky waves"",""Surface waves"",""Space waves""]",3
"Tropospheric scatter is used with frequencies in the following range:","[""HF"",""VHF"",""UHF"",""VLF""]",2
"When microwave signals follow the curvature of the earth, this is known as","[""The Faraday effect"",""Ducting"",""Tropospheric scatter"",""Ionospheric reflection""]",1
"Helical antennas are often used for satellite tracking at VHF because of","[""Troposcatter"",""Superrefraction"",""Ionospheric refraction"",""The Faraday effect""]",3
"_______________ consists basically of a thin film strip in intimate contact with one side of a flat dielectric substrate, with a similar thin-film ground plane conductor on the other side of the substrate.","[""Strip line"",""Lecher wire"",""Microstrip"",""Stub""]",2
"Waveguide is a","[""Device used to determine the wavelength of a signal"",""Hollow metal tube used for transmission of microwave energy"",""Plastic tubular transmission line for high RF network"",""Braided wire used for transmission of HF""]",1
"Transmission lines which can convey electromagnetic waves only in higher order modes are usually called","[""Coaxial cable"",""Twisted pair"",""Power lines"",""Waveguides""]",3
"In order to reduce cross-sectional dimensions, the waveguide to use is","[""Circular"",""Ridge"",""Rectangular"",""Elliptical""]",1
"A signal propagated in a waveguide has a full wave of electric intensity change between the two farther walls, and no component of the electric field in the direction of propagation. The mode is","[""TE1,1"",""TE1,0"",""TM2,2"",""TE2,0""]",3
"When a particular mode is excited in a waveguide, there appears an extra electric component, in the direction of propagation. The resulting mode is","[""Transverse electric"",""Transverse magnetic"",""Longitudinal"",""Transverse electromagnetic""]",1
"The wavelength of a wave in a waveguide","[""Is greater than in free space"",""Depends on waveguide dimensions and free space wavelength"",""Is inversely proportional to the phase velocity"",""Is directly proportional to the group velocity""]",0
"When electromagnetic waves are propagated in a waveguide, they","[""Travel along the broader walls of the guide"",""Are reflected from walls but not travel along them"",""Travel through the dielectric without touching the walls"",""Travel along the 4 walls of the waveguides""]",1
"When microwave signals follow the curvature of the earth, this is known as","[""Faraday Effect"",""Deducting"",""Tropospheric Scatter"",""Ionospheric Reflection""]",1
"A waveguide mode in which there is no component of electric field in the direction of propagation given in the British European standards.","[""H-mode"",""E-mode"",""TE mode"",""M-mode""]",0
"The extra strength needed in order to assure that enough signal reaches the receiving antenna and must be made available to compensate for fades; computed as the difference between the received signal strength and the threshold level","[""Fade Margin"",""Threshold Level"",""Noise Figure"",""RSL""]",0
"The use of redundant system to reduce the effects of multipath fading is","[""Combining"",""Modulation"",""Multiplexing"",""Diversity""]",3
"A profile graph of the microwave energy path","[""Shows the cross section of the earth\u2019s surface"",""Determines LOS or site technical feasibility"",""Determines the actual clearance, antenna heights and system reliability"",""All of the preceding""]",3
"In locating microwave relay stations, the systems designer must consider","[""Terrain obstructions and reflection points"",""Site security and navigational hazards"",""Availability of power, water source and accessible roads"",""All of the above""]",3
"A microwave path over which radio waves barely touches the obstruction is called","[""Line of Sight"",""Obstructed Path"",""Grazing Path"",""Crooked Path""]",2
"What is the function of regenerative repeater?","[""To eliminate bias distortion"",""To help in the loading of the telegraphs lines"",""To reduce required signal levels"",""To reshape the pulses after they have become distorted""]",3
"A situation when there is no change in attenuation or “no gain, no loss” occurs when ________ % of the first Fresnel radius clears a path obstruction in microwave systems.","[""45%"",""60%"",""75%"",""85%""]",1
"____________ are concentric circular zones about a direct path of a microwave signal called Huygen’s radiation center, forming an imaginary solid called an ellipsoid __________.","[""Temperature zone"",""Skip zone"",""Fresnel zone"",""Fraunhoffer zone""]",2
"Waveguides are used mainly for microwave transmission because","[""They depend on straight line propagation"",""Losses are heavy at lower frequencies"",""They are bulky at lower frequencies"",""No generator is powerful enough to excite them""]",2
