question,choices,answer
"_______ determines the number of sideband components in FM.","[""carrier frequency"",""modulation frequency"",""modulation index"",""deviation ratio""]",2
"One of the following transmits only one sideband.","[""H3E"",""R3E"",""A3E"",""B8E""]",0
"What produces the sidebands on FM?","[""signal amplitude"",""carrier harmonics"",""baseband frequency"",""broadband frequency""]",2
"Which test instrument displays the carrier and the sidebands amplitude with frequency to frequency?","[""oscilloscope"",""spectrum analyzer"",""frequency analyzer"",""amplitude analyzer""]",1
"Mixer is also known as a ________.","[""modulator"",""suppressor"",""converter"",""beater""]",2
"Which one of the following emission transmits the lower sideband and half of the upper sideband?","[""A5C"",""J3E"",""A3J"",""A3H""]",3
"An FM receives signal ______.","[""vary in amplitude with modulation"",""vary in frequency with modulation"",""vary in frequency and amplitude with wideband modulation"",""is not immune to noise""]",1
"The process of impressing intelligence on the carrier is called","[""modulation"",""detection"",""mixing"",""impression""]",0
"______ is an electronic instrument used to show both the carrier and the sidebands of a modulated signal in the frequency domain.","[""spectrum analyzer"",""oscilloscope"",""digital counter"",""frequency counter""]",0
"What part of the carrier is varied by the intelligence during modulation in an AM system?","[""phase"",""frequency"",""amplitude"",""both a and c""]",2
"The difference between the RF carrier and the modulating signal frequencies is called the","[""USB"",""LSB"",""Sideband"",""Carrier frequency""]",1
"What stage in a radio transmitter isolates the oscillator from the load?","[""Oscillator"",""Buffer"",""Separator"",""Mixer""]",1
"The frequency of the unmodulated carrier in FM system is","[""modulating frequency"",""center frequency"",""carrier frequency"",""deviation frequency""]",1
"The ratio of maximum deviation to the maximum modulating frequency is called","[""carrier swing"",""deviation ratio"",""modulation factor"",""modulation index""]",1
"A carrier signal has","[""constant amplitude"",""a frequency of 20 kHz and above"",""a varying amplitude"",""the information content""]",1
"The modulated peak value of a signal is 125 V and the unmodulated carrier value is 85 V. What is the modulation index?","[""0.47"",""0.68"",""0.32"",""1.47""]",3
"An 891 kHz carrier having an amplitude of 80 V is modulated by a 4.5 kHz audio signal having an amplitude of 45 V. The modulation factor is","[""0.56"",""0.65"",""1.78"",""1.25""]",0
"What is the modulation index of an FM signal having a carrier swing of 75 kHz when the modulating signal has frequency of 3 kHz?","[""25"",""12.5"",""0.04"",""0.08""]",1
"In a FM system, if modulation index is doubled by having the modulating frequency, what will be the effect on the maximum deviation?","[""No effect"",""Maximum deviation doubles"",""Decreases by \u00bd"",""Increases by \u00bc""]",0
"Which of the following is considered as an indirect method of generating FM?","[""Reactance modulator"",""Balanced modulator"",""Varactor diode modulator"",""Armstrong system""]",3
"To generate an SSB or DSB signal one must use a circuit known as","[""filter modulator"",""ring modulator"",""balanced modulator"",""reactance modulator""]",2
"Which is the first radio receiver?","[""TRF receiver"",""Superheterodyne receiver"",""Crystal radio receiver"",""Heterodyne receiver""]",2
"An interfering signal with a frequency equal to the received signal plus twice the IF is called","[""image frequency"",""center frequency"",""rest frequency"",""interference frequency""]",0
"Double sideband full carrier emission type","[""A3J"",""H3E"",""R3A"",""A3E""]",3
"Single sideband reduced carrier emission type","[""H3E"",""R3E"",""J3E"",""B8E""]",1
"A single sideband suppressed carrier emission type.","[""H3e"",""R3E"",""J3E"",""B8E""]",2
"Independent sideband emission type","[""H3E"",""R3E"",""J3E"",""B8E""]",3
"Vestigial sideband emission type","[""C3F"",""J3E"",""R3E"",""B8E""]",0
"Single sideband full carrier emission type.","[""R3E"",""H3E"",""J3E"",""B8E""]",1
"Phase modulation emission type.","[""F3E"",""F3C"",""F3F"",""G3E""]",3
"Which one is not an advantage of SSB over AM?","[""Power saving"",""Requires half the bandwidth"",""Wider area of reception"",""Better fidelity""]",3
"The advantage of a high level modulated AM transmitter is","[""Less audio power required"",""Better fidelity"",""Higher value of operating power"",""Less distortion""]",2
"The advantage of a low-level modulated AM transmitter is","[""Less audio power required"",""Better fidelity"",""Higher value of operating power"",""Less distortion""]",0
"_____ is the bad effect caused by overmodulation in AM transmission.","[""Increase in noise"",""Deviation in the operating frequency"",""Interface to other radio services"",""Decrease in the output power""]",2
"Which characteristic of a radio receiver refers to its ability to reject an unwanted signal?","[""Sensitivity"",""Selectivity"",""Fidelity"",""Quality""]",1
"What type of emission is frequency modulation?","[""F3E"",""G3E"",""A3E"",""B3E""]",0
"AM transmission power increases with ________.","[""Frequency"",""Source"",""Load"",""Modulation""]",3
"_______ locks the FM receiver to a stronger signal.","[""Hall effect"",""Capture effect"",""Image frequency"",""Homing""]",1
"What is the highest percentage of modulation for AM?","[""50 %"",""75 %"",""100 %"",""80 %""]",2
"In FM, the Carson’s Rule states that the bandwidth is equal to twice the sum of the modulating frequency and ______.","[""Carrier signal"",""Modulating signal"",""Frequency deviation"",""Image frequency""]",2
"What is the carrier swing of an FM transmitter when modified by 75%?","[""53.2 kHz"",""48 kHz"",""56.25 kHz"",""112.5 kHz""]",3
"The modulation system inherently more resistant to noise","[""Single sideband suppressed carrier"",""Frequency modulation"",""Pulse-position modulation"",""Amplitude shift keying""]",1
"Subcarriers that are arranged so that the channels occupying adjacent frequency bands with some frequency space between them is known as","[""Guard bands"",""AM bands"",""Band gap"",""Void band""]",0
"Modulation of an RF amplifier carrier results in","[""Multiple channels"",""Smaller antennas"",""Directional propagation"",""All of the above""]",3
"A process which occurs in the transmitter","[""Mixing"",""Modulation"",""Heterodyning"",""Demodulation""]",1
"A process which occurs in the receiver","[""Beating"",""Modulation"",""Mixing"",""Demodulation""]",3
"One part of the transmitter that protects the crystal oscillator from “pulling”.","[""Buffer amplifier"",""Modulator"",""Power amplifier"",""Antenna coupler""]",0
"What aspect of the carrier is changed by modulation?","[""Frequency"",""Phase"",""Amplitude"",""Depends on the type of modulation""]",3
"The amplitude of a sine wave which is modulated by a musical program will","[""Be complex"",""Contain fundamental frequencies"",""Contain harmonic frequencies"",""All of the above""]",3
"A silicon varactor diode exhibits a capacitance of 200 pF at zero bias. If it is in parallel with a 60-pF capacitor and a 200-uH inductor, calculate the range of resonant frequency as the diode varies through a reverse bias of 3 to 15 V.","[""679 kHz to 2.13 MHz"",""966 kHz to 1.15 MHz"",""355 kHz to 3.12 MHz"",""143 kHz to 4.53 MHz""]",1
"A process where the received signal is transformed into its original form.","[""demodulation"",""damping"",""amplification"",""oscillation""]",0
"It is the process of changing the amplitude of a relative high frequency carrier signal in proportion with the instantaneous value of the modulating signal.","[""frequency modulation"",""digital modulation"",""phase modulation"",""analog modulation""]",3
"Most of the power in an AM signal is in the","[""carrier"",""upper sideband"",""lower sideband"",""modulating signal""]",0
"Amplitude modulation is the same as","[""linear mixing"",""analog multiplexing"",""signal summation"",""multiplexing""]",0
"The shape of the amplitude-modulated wave is called ______.","[""sidebands"",""modulating signal"",""envelope"",""carrier signal""]",2
"In a diode modulator, the negative half of the AM wave is supplied by","[""tuned circuit"",""transformer"",""capacitor"",""inductor""]",0
"It is a term used to describe the amount of amplitude change present in an AM waveform.","[""coefficient of modulation"",""modulation index"",""depth of modulation"",""any of these""]",3
"When the modulation index in an AM wave is greater than one it will cause _______.","[""buck-shot"",""splatter"",""overmodulation"",""any of these""]",3
"The ideal value of modulation index in AM.","[""1"",""0"",""100"",""infinity""]",0
"When the amplitude of the information in an AM modulator is equal to zero, what is the value of the modulation index?","[""1"",""0"",""100"",""infinity""]",1
"Amplitude modulation can be produced by","[""having the carrier vary a resistance"",""having the modulating signal vary a capacitance"",""varying the carrier frequency"",""varying the gain of the amplifier""]",3
"When the modulation index is equal to zero, the total transmitted power is equal to ________.","[""one of the sidebands"",""carrier"",""double sidebands"",""an AM wave""]",1
"When the modulation takes place prior to the output element of the final stage of the transmitter, prior to the collector of the output transistor in a transistorized transmitter, this is called ______.","[""high-level modulation"",""low-level modulation"",""zero-modulation"",""constant modulation""]",1
"A circuit that monitors the received signal level and sends a signal back to the RF and IF amplifiers to adjust their gain automatically.","[""automatic phase control"",""automatic gain control"",""automatic frequency control"",""automatic volume control""]",1
"When the modulation takes place in the final element of the final stage where the carrier signal is at its maximum amplitude, it is called _____.","[""constant modulation"",""zero-modulation"",""low-level modulation"",""high-level modulation""]",3
"If a superheterodyne receiver is tuned to a desired signal at 1000kHz and its conversion (local) oscillator is operating at 1300kHz, what would be the frequency of an incoming signal that would possibly cause image reception?","[""1600 kHz"",""2300 kHz"",""1250 kHz"",""3420 kHz""]",0
"When modulation requires a much higher amplitude modulating signal to achieve a reasonable percent modulation, this is called","[""high-level modulation"",""low-level modulation"",""zero-modulation"",""constant modulation""]",0
"Amplitude modulators that vary the carrier amplitude with the modulating signal by passing it through an attenuator work on principle of","[""rectification"",""resonance"",""variable resistance"",""absorption""]",2
"A circuit which function is to raise the amplitude of the source signal to a usable level while producing minimum nonlinear distortion adding as little thermal noise as possible.","[""power amplifier"",""non-linear amplifier"",""buffer amplifier"",""preamplifier""]",3
"A circuit that has a low-gain, high-input impedance linear amplifier which is used to isolate the oscillator from the high-power amplifiers.","[""power amplifier"",""bandpass filter"",""signal driver"",""buffer amplifier""]",3
"With high-level transmitters, which of the following is not a primary function of the modulator circuit?","[""it provides the capacity necessary for modulation to occur"",""it serves as a final amplifier"",""it serves as a frequency up-converter"",""it serves as a mixer""]",3
"It is a form of amplitude distortion introduced when positive and negative alternations in the AM modulated signal are not equal.","[""phase shift"",""carrier shift"",""amplitude variations"",""frequency shift""]",1
"A carrier is simultaneously modulated by two sine waves with modulation indices of 0.3 and 0.4, the total modulation index","[""is 1"",""cannot be calculated unless the phase relations are known"",""is 0.5"",""is 0.7""]",2
"The component used to produce AM AT very high frequencies is a","[""varactor"",""thermistor"",""cavity resonator"",""PIN diode""]",3
"It is also known as upward modulation","[""carrier shift"",""amplitude variations"",""frequency shift"",""phase shift""]",0
"Also known as downward modulation","[""carrier shift"",""amplitude variations"",""frequency shift"",""phase shift""]",0
"It is a form of amplitude modulation where signals from two separate information sources modulate the same carrier frequency at the same time without interfering with each other.","[""QPSK"",""QUAM"",""PSK"",""FSK""]",1
"A receiver has a dynamic range of 81 dB. It has 0.55 nW sensitivity. Determine the maximum allowable input signal.","[""59 mW"",""69 mW"",""79 mW"",""88 mW""]",1
"The information sources modulate the same carrier after it has been separated into two carrier signals are at 90 degrees out of phase with each other.","[""QPSK"",""QUAM"",""PSK"",""FSK""]",1
"Demodulating quadrature AM signal requires a carrier recovery circuit to reproduce the original carrier frequency and phase and two balanced modulators to actually demodulate the signals. This is called ________.","[""asynchronous detection"",""quadrature demodulation"",""synchronous detection"",""quadrature detection""]",3
"Quadrature amplitude modulation is also known as ________.","[""phase division multiplexing"",""phase division modulation"",""phase amplitude multiplexing"",""phase angle modulation""]",0
"Amplitude modulation generated at a very low voltage or power amplitude is known as","[""high-level modulation"",""low-level modulation"",""collector modulation"",""minimum modulation""]",1
"It is the first stage of the receiver and is therefore often called the receiver front end.","[""mixer"",""RF section"",""local oscillator"",""IF stage""]",1
"In an SSB transmitter, one is most likely to find a","[""class C audio amplifier"",""tuned modulator"",""class B RF amplifier"",""class A RF output amplifier""]",3
"The section of the receiver than down-converts the received RF frequencies to intermediate frequencies.","[""RF section"",""local oscillator"",""power amplifier"",""mixer""]",3
"The circuit that demodulates the AM wave and converts it to the original information signal.","[""power amplifier"",""local oscillator"",""detector"",""IF section""]",2
"A collector modulator has a supply voltage of 48 V. The peak-to-peak amplitude of the modulating signal for 100 percent modulation is","[""24 V"",""48 V"",""96 V"",""120 V""]",2
"What signals might feed into an FM broadcast station audio control console?","[""microphones"",""turntables"",""remote lines"",""any of these""]",3
"The noise reduction ratio achieved by reducing the bandwidth is called","[""dynamic range"",""noise figure"",""bandwidth efficiency"",""bandwidth improvement""]",3
"It is the minimum RF signal level that can be detected at the input to the receiver and still produce a usable demodulated information signal.","[""selectivity"",""sensitivity"",""Q-factor"",""bandwidth""]",1
"Why are limiters used in FM receivers?","[""provide better noise performance"",""clip noise peaks"",""prevent overdrive of discriminators"",""any of these""]",3
"Why are limiters used in FM transmitters?","[""clip noise peaks"",""prevent overdrive of discriminators"",""prevent overdeviation"",""any of these""]",2
"It is defined as the difference in decibels between the minimum input level necessary to discern the signal and the input level that will overdrive the receiver and produce distortion.","[""dynamic range"",""noise figure"",""bandwidth efficiency"",""bandwidth improvement""]",0
"It is the input power range over which the receiver is useful.","[""dynamic range"",""noise figure"",""bandwidth efficiency"",""bandwidth improvement""]",0
"It is defined as the output power when the RF amplifier response is 1-dB less than the ideal linear gain response.","[""1-dB compression point"",""1-dB threshold point"",""1-dB shoot-off point"",""1-dB pinch-off point""]",0
"It is the measure of the ability of a communications system to produce, at the output of the receiver, an exact replica of the original source information.","[""sensitivity"",""threshold"",""selectivity"",""fidelity""]",3
"A SSB signal generated around a 200-kHz carrier. Before filtering, the upper and lower sidebands are separated by 200 Hz. Calculate the filter Q required to obtain 40-dB suppression.","[""1500"",""1900"",""2500"",""2000""]",2
"It is the total phase shift encountered by a signal and can generally be tolerated as long as all frequencies undergo the same amount of phase delay.","[""differential phase shift"",""absolute phase shift"",""relative phase shift"",""integrated phase shift""]",1
"________ occurs when different frequencies undergo different phase shifts and may have a detrimental effect on the complex waveform.","[""differential phase shift"",""absolute phase shift"",""relative phase shift"",""integrated phase shift""]",0
"What is the minimum AM signal needed to transmit information","[""carrier plus sidebands"",""carrier only"",""one sideband"",""both sidebands""]",2
"The circuit that recovers the original modulating information from an AM signal is known as a","[""modulator"",""demodulator"",""mixer"",""crystal set""]",1
"__________ occurs when the amplitude-versus-frequency characteristics of a signal at the output of a receiver cover from those in the original information signal.","[""frequency distortion"",""digital distortion"",""phase distortion"",""amplitude distortion""]",3
"The circuit used to produced modulations called","[""modulator"",""demodulator"",""variable gain amplifier"",""multiplexer""]",0
"It is the result of non-uniform gain in amplifiers and filters.","[""harmonic distortion"",""amplitude distortion"",""frequency distortion"",""phase distortion""]",1
"It is a result of harmonic and intermodulation distortion and is caused by non-linear amplification.","[""amplitude distortion"",""phase distortion"",""harmonic distortion"",""frequency distortion""]",3
"The most commonly used amplitude demodulator is the","[""diode mixer"",""balanced modulator"",""envelope detector"",""crystal filter""]",2
"It is a special case of intermodulation distortion and a predominant cause of frequency distortion.","[""second-order intercept distortion"",""phase distortion"",""third-order intercept distortion"",""first-order intercept distortion""]",0
"A display of signal amplitude versus frequency is called the","[""time domain"",""frequency spectrum"",""amplitude modulation"",""frequency domain""]",3
"It is a parameter associated with frequencies that fall within the passband of the filter.","[""coupling loss"",""diffusion loss"",""insertion loss"",""filter loss""]",2
"A circuit that generates the upper and lower sidebands but no carrier is called","[""amplitude modulator"",""diode detector"",""class C amplifier"",""balanced modulator""]",3
"Vestigial sideband modulation (C3F) is normally used for","[""HF point-to-point communications"",""monaural broadcasting"",""TV broadcasting"",""stereo broadcasting""]",2
"It is generally defined as the ratio of the power transferred to a load with a filter in the circuit to the power transferred to a load without a filter.","[""distortion loss"",""insertion loss"",""filter loss"",""harmonic loss""]",1
"The modulation index of an AM wave is changed from 0 to 1. The transmitted power is","[""unchanged"",""halved"",""doubled"",""increased by 50 percent""]",3
"The inputs to a balanced modulator are 1MHz and a carrier of 1.5 MHz. The outputs are","[""500 kHz and 1.5 MHz"",""2.5 MHz and 1.5 MHz"",""1.5 MHz and 500 kHz"",""500 kHz and 2.5 MHz""]",3
"It is an indication of the reduction the signal-to-noise ration as a signal propagates through the receiver.","[""noise figure"",""equivalent noise temperature"",""noise factor"",""signal-to-noise ratio""]",1
"Types of receivers where the frequencies generated in the receiver and used for demodulation are synchronized to oscillator frequencies generated in the transmitter.","[""coherent"",""asynchronous"",""non-coherent"",""none of these""]",0
"Types of receiver where either no frequencies are generated in the receiver of the frequencies used for demodulation are completely independent form the transmitter’s carrier frequency.","[""synchronous"",""coherent"",""asynchronous"",""any of these""]",2
"A widely used balanced modulator is called the ________.","[""diode bridge circuit"",""full-wave bridge rectifier"",""lattice modulator"",""balanced bridge modulator""]",2
"Non-coherent detection is also known as ________.","[""frequency detection"",""noise detection"",""phase detection"",""envelope detection""]",3
"It is one of the earliest type of AM receiver","[""TRF"",""transistorized"",""superhet"",""Armstrong""]",0
"Which of the following is not true about the disadvantages of tuned radio frequency receiver?","[""their bandwidth is inconsistent and varies with center frequency when tuned over a wide range of input frequencies"",""it is unstable due to the large number of RF amplifiers all tuned to the same center frequency"",""their gains are not uniform over a very wide frequency range"",""it is very complex to construct""]",3
"In a diode ring modulator, the diode acts like","[""variable resistors"",""switches"",""rectifiers"",""variable capacitors""]",1
"It means to mix two frequencies together in a non-linear device or to translate on frequency to another using non-linear mixing.","[""oscillation"",""heterodyne"",""modulation"",""amplification""]",1
"An AM transmitter antenna current is measured with no modulation and found to be 2.6 amperes. With modulation, the current rises to 2.9 amperes. The percentage modulation is","[""35%"",""70%"",""42%"",""89%""]",1
"Its primary purpose is to provide enough initial bandlimiting to prevent a specific unwanted radio frequency from entering the receiver.","[""detector"",""predetector"",""preselector"",""mixer""]",2
"It function is to reduce the noise bandwidth of the receiver and provides initial step toward reducing the overall receiver bandwidth to the minimum bandwidth required to pass the information signals.","[""preselector"",""detector"",""mixer"",""predetector""]",0
"The output of a balanced modulator is","[""AM"",""FM"",""SSB"",""DSB""]",3
"What is the first active device encountered by the received signal in the receiver?","[""mixer"",""RF amplifier"",""local oscillator"",""detector""]",1
"The IF section is also known as","[""bandpass filters"",""IF strip"",""IF filter"",""intermediate filters""]",1
"The detector in an AM receiver is known as","[""audio detector"",""power detector"",""first detector"",""amplitude limiter""]",0
"A carrier of 880kHz is modulated by a 3.5 kHz sine wave. The LSB and USB are, respectively","[""873 and 887 kHz"",""876.5 and 883.5 kHz"",""883.5 and 876.5 kHz"",""887 and 873 kHz""]",1
"The most commonly used filter in SSB generators uses","[""LC networks"",""mechanical resonators"",""crystals"",""RC networks and op-amps""]",2
"Its purpose of the detector section is to convert the IF signals back to the original source information.","[""mixer"",""audio amplifier"",""converter"",""detector""]",3
"It means that the two adjustments are mechanically tied together so that a single adjustment will change the center frequency of the preselector, at the same time, change the oscillator frequency.","[""high-side injecting"",""low-side injecting"",""gang tuning"",""local oscillator tracking""]",2
"In a low-level AM system, amplifiers following the modulated stage must be","[""linear devices"",""harmonic devices"",""class C amplifiers"",""nonlinear devices""]",0
"When the local oscillator is tuned above the radio frequency, it is called","[""local oscillator tracking"",""low-side injection"",""gang tuning"",""high-side injection""]",3
"The equivalent circuit of a quartz us a","[""series resonant circuit"",""parallel resonant circuit"",""none of these"",""series and parallel resonant circuit""]",3
