question,choices,answer
"What theorem sets a limit on the maximum capacity of a channel with a given noise level?","[""Nyquist theorem"",""Hartley law"",""Shannon-Hartley theorem"",""Shannon theorem""]",2
"Quantizing noise occurs in","[""PCM"",""PLM"",""PDM"",""PAM""]",0
"Noise always affects the signal in a communications systems at the ________.","[""transmitter"",""channel"",""information source"",""destination""]",1
"_________ is the random and unpredictable electric signals from natural causes, both internal and external to the system.","[""Interference"",""Attenuation"",""Distortion"",""Noise""]",3
"Noise from random acoustic or electric noise that has equal energy per cycle over a specified total frequency band.","[""Gaussian noise"",""Whiter noise"",""Thermal noise"",""All of the above""]",3
"Which causes a quantization noise in PCM system?","[""Serial transmission errors"",""The approximation of the quantized signal"",""The synchronization between encoder and decoder"",""Binary coding techniques""]",1
"A particular circuit that rids FM of noise","[""Detector"",""Discriminator"",""Phase Shifter"",""Limiter""]",3
"What is the reference noise temperature in degrees Celsius?","[""17"",""273"",""25"",""30""]",0
"Unwanted radio signal on assigned frequency.","[""Splatter"",""RFI"",""Noise"",""EMI""]",2
"What is the reliable measurement for comparing amplifier noise characteristics?","[""Thermal agitation noise"",""Noise factor"",""Noise margin"",""Signal-to-noise""]",1
"_________ is measured on a circuit when it is correctly terminated but does not have any traffic.","[""White noise"",""Galactic noise"",""Impulse noise"",""Atmospheric noise""]",0
"Which standard recommends crosstalk limits?","[""CCIT G.152"",""CCIT G.150"",""CCIT G.151"",""CCIT G.161""]",2
"Which standard is utilized in intermodulation noise rates on PCM audio channels?","[""CCIT Rec. G.151"",""CCIT Rec. G.172"",""CCIT Rec. G.190"",""CCIT Rec. G.190""]",1
"What is the reference frequency of CCIT phosphomeric noise measurement?","[""800 Hz"",""1000 Hz"",""1500 Hz"",""3400 Hz""]",0
"Reference temperature use in noise analysis","[""75K"",""250K"",""290K"",""300K""]",2
"Which noise is produced by lighting discharges in thunderstorms?","[""White noise"",""Extraterrestrial noise"",""Industrial noise"",""Atmospheric noise""]",3
"Man-made noise is usually from _______.","[""transmission over power lines and by ground wave"",""sky-wave"",""space-wave"",""troposphere""]",0
"nif stands for","[""Non-intrinsic figure"",""Noise improvement factor"",""Narrow intermediate frequency"",""Noise interference figure""]",1
"Industrial noise frequency is between _____.","[""0 to 10 KHz"",""160 MHz to 200 MHz"",""15 to 160 MHz"",""200 to 3000 MHz""]",2
"External noise fields are measured in terms of _______.","[""rms values"",""dc values"",""average values"",""peak values""]",3
"Form of interference caused by rain or dust storms.","[""Precipitation static"",""Shot-noise"",""Galactic noise"",""Impulse noise""]",0
"At 17˚C, the noise voltage generated by 5 kΩ resistor, operating over a bandwidth of 20 KHz is","[""1.3 nV"",""1.3 \u00b5V"",""1.3 pV"",""1.3 mV""]",1
"________ is an electric noise produced by thermal agitation of electrons in conductor and semiconductor.","[""External noise"",""Internal noise"",""Thermal noise"",""Flicker""]",2
"Three identical circuits having 10 dB signal noise-to-noise ratio each are connected in tandem with each other, what is the overall S/N?","[""5.23 dB"",""14.77 dB"",""30 dB"",""40 dB""]",0
"The noise figure of the first circuit in tandem connection is 10.5 dB while its power gain is 15, what is the over all noise figure if the second circuit has a noise figure of 11 dB?","[""11.59 dB"",""11.23 dB"",""10.79 dB"",""10.5 dB""]",2
