question,choices,answer
"When load impedance equals to Zo of the line, it means that the load _____ all the power.","[""reflects"",""absorbs"",""attenuates"",""radiates""]",1
"impedance matching ratio of a coax balun.","[""1:4"",""4:1"",""2:1"",""3:2""]",1
"Which stands for dB relative level?","[""dBrn"",""dBa"",""dBr"",""dBx""]",2
"Standard test tone used for audio measurement.","[""800 Hz"",""300 Hz"",""100 Hz"",""1000 Hz""]",3
"When VSWR is equal to zero, this means","[""that no power is applied"",""that the load is purely resistive"",""that the load is a pure reactance"",""that the load is opened""]",0
"_______ is the ratio of reflected voltage to the forward travelling voltage.","[""SWR"",""VSWR"",""Reflection coefficient"",""ISWR""]",2
"Transmission line must be matched to the load to ______.","[""transfer maximum voltage to the load"",""transfer maximum power to the load"",""reduce the load current"",""transfer maximum current to the load""]",1
"Which indicate the relative energy loss in a capacitor?","[""Quality factor"",""Reactive factor"",""Dissipation factor"",""Power factor""]",2
"What is the standard test tone?","[""0 dB"",""0 dBW"",""0 dBm"",""0 dBrn""]",2
"The energy that neither radiated into space nor completely transmitted.","[""Reflected waves"",""Captured waves"",""Incident waves"",""Standing waves""]",3
"Micron is equal to _______ meter.","[""10^-10"",""10^-9"",""10^-6"",""10^-3""]",2
"1 Angstrom (A) is equal to _______.","[""10^-3 micron"",""10^-10 m"",""10^-6 micron"",""10^-6 m""]",1
"Why is it impossible to use a waveguide at low radio frequencies?","[""Because of the size of the waveguide"",""Due to severe attenuation"",""Due to too much radiation"",""All of these""]",0
"________ is the transmission and reception of information.","[""Modulation"",""Communications"",""Radiation"",""Emission""]",1
"What is the loss of the circuit in dB if the power ration of output to input is 0.01?","[""20"",""-20"",""40"",""-40""]",0
"Transmission lines are either balanced or unbalanced with respect to","[""Negative terminal"",""Reference"",""Ground"",""Positive terminal""]",2
"The standing wave ratio is equal to _______ if the load is properly matched with the transmission line.","[""Infinity"",""0"",""-1"",""1""]",3
"________ is the advantage of the balanced transmission line compared to unbalanced line.","[""Low attenuation"",""Easy installation"",""Low radiation loss"",""Tensile strength""]",0
"_______ is the method of determining the bandwidth of any processing system.","[""Fourier series"",""Spectral analysis"",""Frequency analysis"",""Bandwidth analysis""]",1
"What causes the attenuation present in a waveguide?","[""The air dielectric filling the guide"",""The coating of silver inside"",""Losses in the conducting walls of the guide"",""Radiation loss""]",2
"A device that converts a balanced line to an unbalanced line of a transmission line.","[""Hybrid"",""Stub"",""Directional coupler"",""Balun""]",3
"What is the approximate line impedance of a parallel-strip line spaced 1 cm apart with the length of 50 cm?","[""10 ohms"",""15 ohms"",""18 ohms"",""23 ohms""]",0
"What is the average power rating of RG-58 C/u?","[""25 W"",""50 W"",""75 W"",""200 W""]",1
"A coaxial cable used for high temperatures.","[""RG-58C"",""RG-11A"",""RG-213"",""RG-211""]",3
"If you have available number of power amplifiers with a gain of 100 each, how many such amplifiers do you need to cascade to give an overall gain of 60dB?","[""2"",""3"",""4"",""5""]",1
"You are measuring noise in a voice channel at a -4 dB test point level, the meter reads -73 dBm, convert the reading into dBrnCO.","[""12"",""16"",""18"",""21""]",3
"The velocity factor for a transmission line","[""depends on the dielectric constant of the material used"",""increases the velocity along the transmission line"",""is governed by the skin effect"",""is higher for a solid dielectric than for air""]",0
"Impedance inversion can be obtained by","[""a short-circuited stub"",""an open-circuited stub"",""a quarter-wave line"",""a half-wave line""]",2
"Transmission lines when connected to antennas have","[""capacitive load"",""resistive load whose resistance is greater than the characteristic impedance of the line"",""resistive load whose resistance is less than the characteristic impedance of the line"",""resistive load at the resonant frequency""]",3
"One of the following is not a bounded media.","[""Coaxial line"",""Two-wire line"",""Waveguide"",""Ocean""]",3
"The impedance measured at the input of the transmission line when its length is infinite.","[""Input impedance"",""Open circuit impedance"",""Characteristic impedance"",""Short circuit impedance""]",2
"The following are considered primary line constants except","[""conductance"",""resistance"",""capacitance"",""complex propagation constant""]",3
"The dielectric constants of materials commonly used in transmission lines range from about","[""1.2 to 2.8"",""2.8 to 3.5"",""3.5 to 5.2"",""1.0 to 1.2""]",0
"Typically, the velocity factor (VF) of the materials used in transmission lines range from","[""0.6 to 0.9"",""0.1 to 0.5"",""1.0 to 0.9"",""0.6 to 0.8""]",0
"For an air dielectric two-wire line, the minimum characteristic impedance value is","[""95 ohms"",""85 ohms"",""90 ohms"",""88 ohms""]",1
"When a quarter-wave section transmission line is terminated by a short circuit and is connected to an RF source at the other end, its input impedance is","[""inductive"",""capacitive"",""resistive"",""equivalent to a parallel resonant LC circuit""]",3
"A transmitter operating at 30 MHz with 4 W output is connected via 10 m of RG-8A/u cable to an antenna that has an input resistance of 300 ohms. Find the reflection coefficient.","[""0.71"",""0.77"",""0.97"",""0.76""]",0
"A quarter wave transformer is connected to a parallel wire line in order to match the line to a load of 1000 ohms. The transformer has a characteristic impedance of 316.23 ohms. The distance between centers is 4 inches. What is the percentage reduction in the diameter of the line?","[""85%"",""83%"",""86%"",""90%""]",1
"The concept used to make one Smith chart universal is called","[""ionization"",""normalization"",""rationalization"",""termination""]",1
