question,choices,answer
"The maximum intelligibility for voice frequency is located between","[""250 and 500 Hz"",""1000 and 3000 Hz"",""500 and 1000 Hz"",""3000 and 5000 Hz""]",1
"The maximum voice energy is located between","[""250 and 500 Hz"",""1000 and 3000 Hz"",""500 and 1000 Hz"",""3000 and 5000 Hz""]",0
"A device used to measure speech volume.","[""speech meter"",""volume meter"",""volume unit meter"",""speedometer""]",2
"By definition, for a sine wave","[""0 dBm = 0 V.U."",""0 dBW = 0 V.U."",""0 dBa = 0 V.U."",""0 dBf = 0 V.U.""]",0
"Presently, this is the “standard” frequency bandwidth for voice transmission.","[""0 to 4000 Hz"",""100 to 3400 Hz"",""300 to 3400 Hz"",""300 to 3000 Hz""]",2
"Which of the following is commonly used wire for subscriber loop design?","[""AWG # 19"",""AWG # 18"",""AWG # 30"",""AWG # 33""]",0
"The resistance limit for No. 2 Crossbar Exchange (US) is","[""2000 \u2126"",""1300 \u2126"",""1250 \u2126"",""1200 \u2126""]",1
"AWG # 26 has a typical loss of","[""0.21 dB\/1000 ft."",""0.32 dB\/1000 ft."",""0.41 dB\/1000 ft."",""0.51 dB\/1000 ft.""]",3
"What is the standard voice channel spacing?","[""44 MHz"",""40 kHz"",""4 kHz"",""40 MHz""]",2
"Which tester is used to measure SWR?","[""Multimeter"",""Oscilloscope"",""Spectrum analyzer"",""Reflectometer""]",3
"What is singing?","[""The result of intermodulating two or more signals of different frequencies to produce a tone having a frequency equal to the sum of the frequencies of the signals intermodulated."",""The result of intermodulating two or more signals of different frequencies to produce a tone having a frequency higher than that of the signal having the highest frequency."",""An undesired self-sustained oscillation in a system, generally caused by excessive positive feedback."",""An art or form of entertainment that can make one rich.""]",2
"Which stage increases the selectivity of the circuit in an AM receiver?","[""Detector"",""IF stage"",""Modulator"",""Mixer""]",1
"The ________ of radio receiver amplify weak signal and produce a desirable intelligence at the output speaker.","[""sensitivity"",""selectivity"",""reliability"",""fidelity""]",0
"Full-duplex transmission means","[""One-way transmission"",""24-hour transmission"",""Broadcast transmission"",""Two-way simultaneous transmission""]",3
"What is a multidrop line?","[""A piece of wire with a thick insulating material that serves to protect the conductive materials from damage in the event the wire is dropped."",""A line designed to withstand high pressure."",""A line or circuit interconnecting several situations."",""A bus line""]",2
"A passive _________ is an electronic device which reduces signal strength by a specified amount in dB.","[""Splitter"",""Filter"",""Trimmer"",""Attenuator""]",3
"The signal quality of the calls is constantly monitored by the base station, when the quality of the calls drops below a certain specified level. The base request the MTSO to try and find a better cell site.","[""Hand-off"",""Cell splitting"",""Roaming"",""Frequency reuse""]",2
"A digital identification associated with a cellular system.","[""SAT"",""SID"",""ESN"",""MIN""]",3
"How many seconds does facsimile transmit a stranded page?","[""5"",""10"",""20"",""25""]",3
"A kind of recording used in facsimile.","[""Electrolytic recording"",""Electrothermal recording"",""Electropercussive recording"",""Electrostatic recording""]",0
"A type of distortion a facsimile produce when it becomes out of synchronization?","[""Pincushion"",""Barrel"",""Skewing"",""Fattening""]",2
"What is an acoustic coupler?","[""A device that radiates audible signals via a transmitting antenna"",""A device that converts electric signals into audio signals, enabling data to be transmitted over the public telephone network via a conventional telephone handset"",""A device that receives audible signals and retransmits them at VHF frequencies"",""A transducer""]",1
"Cause a herringbone pattern in facsimile","[""Single-frequency interference"",""Crosstalk"",""Phase jitter"",""Noise""]",1
"The _______ in an FM receiver causes a stronger signal to dominate over a weaker signal on the same frequency.","[""Capture effect"",""Flywheel effect"",""Hall effect"",""Skin effect""]",0
"A device that converts a 2-wire circuit to a 4-wire circuit.","[""RS-232 interface"",""Hybrid circuit"",""Balun"",""Stub""]",1
"______ theory is deciding between a set of hypothesis when given a collection of imperfect measurements.","[""Estimation"",""Traffic"",""Decision"",""Nyquist""]",2
"______ of a data reduction says that when reducing a set of data into the form of an underlying mode, one should be maximally non-committal with respect to missing data.","[""Jaynes maximum entropy principle"",""Kullback principle of minimum discrimination"",""Minimum discrimination"",""Maximum entropy""]",0
"_______ is selecting the best value of a parameter from a continuum of possible values when gives a collection if imperfect measurements","[""Estimation"",""Traffic"",""Decision"",""Nyquist""]",0
"Combination of madulator, channel, and detector.","[""Transceiver"",""Transponder"",""T\/R channel"",""Discrete channel""]",3
"What is the frequency band of DECT?","[""1.28 \u2013 1.30 GHz"",""1.68 \u2013 1.70 GHz"",""1.48 \u2013 1.50 GHz"",""1.88 \u2013 1.90 GHz""]",3
"How many simultaneous calls does each DECT system can support?","[""96"",""12"",""24"",""49""]",1
"How many simultaneous calls does a DECT radio transceiver can assess at any given time?","[""120"",""240"",""480"",""960""]",0
"The AGC voltage of a radio receiver is always _______.","[""Present before adjustments can be made"",""DC, but may have either polarity positive DC"",""Positive DC"",""Negative""]",1
"What is a concentrator?","[""A system that improves the signal-to-noise ratio by compressing the volume range of a signal."",""A device that varies the characteristics of a carrier signal in accordance with the waveform of a modulating signal which contains useful information"",""A switching system that lets a large number of telephone or data processing subscribers use a lesser number of transmission lines or a narrow bandwidth"",""Equipment in the central office.""]",2
"If you find that an SAW filter output is 6 dB down from the input of a receiver during test, ______","[""This is normal."",""The device if faulty"",""The receiver is improperly terminated"",""The filter is not resonating""]",0
"A triple conversion superheterodyne receiver, diode mixer stages are","[""Operated in the linear region"",""Operated in the nonlinear region"",""Operated as Class-A amplifiers"",""Operated as Class-B amplifiers""]",1
"What is a leased line?","[""A piece of wire used in a local area network in one building"",""A piece of wire connecting a telephone set to a PABX"",""A temporary connection of one computer to a mainframe via a modern and a telephone line"",""A permanent circuit for a private use within a communication network""]",3
"If two FM signals of different strengths are received on the same frequency","[""One steady heterodyne will appear in the AM output"",""Both will appear in the AF output"",""Only the stronger will appear in the AF output"",""Neither signal will be intelligence unless the weaker signal is at least 10 times""]",2
"Cellular mobile system was first operated in","[""1979"",""1981"",""1983"",""1985""]",2
"TACS is a cellular system with ______ channels.","[""666"",""1000"",""832"",""200""]",1
"Supervisory Audio Tone (SAT) has _______ frequency.","[""5960 Hz"",""6000 Hz"",""6040 Hz"",""1004 z""]",1
"What is the number of channels of a cellular system with an allocated spectrum of 25 MHz and with a channel of 30 kHz bandwidth?","[""833"",""240"",""1000"",""666""]",0
"GSM uses what digital modulation technique?","[""QAM"",""GFSK"",""BPSK"",""GMSK""]",1
"What is the power output of Personal Communication System (PCS)?","[""10 mW"",""75 mW"",""150 mW"",""10 W""]",0
"RG-B8 cable has a loss of about ______ dB at cellular frequencies up to 15 ft. length.","[""2"",""1"",""4"",""3""]",3
"The signals designed to keep the receivers and transmitters aligned.","[""Carrier frequencies"",""Pilot carrier signals"",""Synchronizing signals"",""Reference signals""]",1
"If the spacing of a two-wire open air transmission line is 12 inches and the conductor diameter is 0.25 inch, the characteristic impedance is","[""547 \u2126"",""357 \u2126"",""273 \u2126"",""300 \u2126""]",0
"The impedance of the quarterwave transformer used to match a 600 Ω line to a 300 Ω load is","[""382 \u2126"",""424 \u2126"",""565 \u2126"",""712 \u2126""]",1
"When a line and a load are match the reflection coefficient is","[""Unity"",""Zero"",""Positive infinity"",""Negative infinity""]",1
"A device used to measure speech volume","[""volume unit meter"",""volume milliammeter"",""volume pulse meter"",""volume intensity meter""]",0
"The communications between two or three central offices is called","[""interoffice calling"",""trunk"",""interoffice link"",""loop""]",2
