question,choices,answer
"The phase shift between the current and voltage vectors us due to the following except one","[""magnet coils"",""electric flat iron"",""power capacitors"",""fluorescent lamp""]",2
"An alternating rectangular wave has a maximum value of 10 V and a frequency of 1 cycle per second. What is the average value of the wave?","[""5 V"",""10 V"",""0"",""7.07 V""]",1
"A sinusoidal current wave has a maximum value of 20 A. What is the average value of one-half cycle?","[""5 A"",""12.7 A"",""14.14 A"",""0""]",2
"What is the wavelength of a carrier wave with frequency of 100 megahertz?","[""3.0 m"",""7.5 m"",""1.5 m"",""6.0 m""]",0
"A chart speed of a recording instrument is 25 mm/sec. One cycle of the signal being recorded extends over 5 mm. What is the frequency of the signal?","[""20 cps"",""2 cps"",""50 cps"",""5 cps""]",3
"Determine the rms value of the current drawn by a 2 μF condenser, which is connected across a source of potential. The potential has a third and fifth harmonic components, which are 30% and 20% respectively of the fundamental. The fundamental sinusoidal component has a peak value of 1000 volts and 60 Hz frequency.","[""0.89 A"",""0.75 A"",""0.91 A"",""0.84 A""]",0
"A 240-V, 25 Hz sinusoidal generator is connected to a 20 ohms resistor. Determine the instantaneous current when elapsed time is 0.01 second.","[""15.43 A"",""16.30 A"",""16.97 A"",""12.00 A""]",2
"A wire carries a current i = 3 cos 314t amperes. What is the average current over 6 seconds?","[""0 A"",""3.0 A"",""1.5 A"",""0.532 A""]",0
"Across a 230-V, 60 Hz power supply is a 15-ohm non-inductive resistor. What is the equation of the resulting current?","[""i = 21.68 sin 377t"",""i = 26.56 sin 377t"",""i = 15.33 sin 377t"",""i = 28.16 sin 120t""]",0
"Determine the effective value of the circuit current of an emf of 151 sin 377t is connected in series with a DC emf of 110 volts. Both supply a load of 10 + j8 ohms.","[""10.3 A"",""12.5 A"",""13.8 A"",""11.4 A""]",2
"An alternating current and a direct current flow simultaneously in the same conductor. If the effective of the alternating current is 5 A and the direct current is 10 A, what will an AC ammeter read when connected in the circuit?","[""7.5 A"",""15 A"",""11.18 A"",""none of these""]",2
"If e = 100 sin (ωt – 30°) – 50 cos 3ωt + 25 sin (5ωt + 150°) and i = 20 sin (ωt + 40°) + 10 sin (3ωt + 30°) – 5 sin (5ωt – 50°). Calculate the power in watts.","[""1177"",""919"",""1043"",""1224""]",1
"It is the value of sine wave of voltage or current at one particular instant of time.","[""average value"",""effective value"",""rms value"",""instantaneous value""]",3
"If the combination of an ac voltage and a dc voltage has an instantaneous voltage that varies through a range from -2 V to +10 V, what is the peak ac voltage of the combination?","[""10 V"",""16 V"",""6 V"",""12 V""]",3
"Measured in Hertz, it is the number of cycles of alternating current per second.","[""frequency"",""period"",""peak to peak"",""wavelength""]",0
"If an ac signal has an average voltage of 18 V, what is the rms voltage?","[""16.2 V"",""19.98 V"",""25.38 V"",""12.73 V""]",1
"If an ac signal has a peak voltage of 55 V, what is the average value voltage?","[""61.05 V"",""38.86 V"",""34.98 V"",""86.35 V""]",2
"What is the phase relationship between current and voltage in an inductor?","[""in phase"",""current lags voltage by 90\u00b0"",""voltage lags current by 90\u00b0"",""current lags voltage by 180\u00b0""]",1
"If sine wave voltage varies from 0 to 200 V, how much is its instantaneous voltage at 90°?","[""100 V"",""minimum voltage"",""200 V"",""half of its maximum voltage""]",2
"How many degrees are there in one complete wave cycle?","[""360 degrees"",""90 degrees"",""180 degrees"",""720 degrees""]",0
"When comparing rms voltage and average voltages, which of the following statement is true, assuming sine waves?","[""Either the rms voltage or the average voltage might be larger."",""The average voltage is always greater than the rms voltage."",""There will always be a very large difference between the rms voltage and the average voltage."",""The rms voltage is always greater than the average voltage.""]",3
"It is the maximum instantaneous value of a varying current, voltage, or power equal to 1.414 times the effective value of a sine wave.","[""rms value"",""peak to peak value"",""effective value"",""peak value""]",3
"It is the description of two sine waves that are in step with each other going through their maximum and minimum points at the same time and in same direction.","[""stepped sine waves"",""sine waves in coordination"",""phased sine waves"",""sine waves in phase""]",3
"What is the average voltage (E<sub>ave</sub>) output of a full wave rectifier with an output of 100 volts peak?","[""63.7 volts"",""14.14 volts"",""141.4 volts"",""6.37 volts""]",0
"The relation of the voltage across an inductor to it current is _______","[""Lagging the current by 90 degrees"",""Leading the current by 90 degrees"",""In phase with the current"",""Leading the current by 180 degrees""]",1
"If two equal frequency ac signals of exactly 5 V each are combined with one of the signals 180 degrees out of phase with the other, what will be the value of the resultant voltage?","[""2.25 V"",""5 V"",""0 V"",""10 V""]",2
"Kind of electric current where amplitude drops to zero periodically normally produced by rectifier circuits","[""alternating current"",""varying direct current"",""damped alternating current"",""pulsating direct current""]",3
"If an ac signal has an average voltage of 18 V, what is the rms voltage?","[""16.2 V"",""19.98 V"",""25.38 V"",""12.726 V""]",1
"In electronic circuit the current that flows over a capacitor _____.","[""In phase with the voltage"",""Leads the voltage by 180 degrees"",""Lags the voltage by 90 degrees"",""Leads the voltage by 90 degrees""]",3
