question,choices,answer
"Determine the resistance of a busbar made of copper if the length is 10 meters long and the cross section is a 4 x 4 cm<sup>2</sup>. Use 1.7241 micro ohm-cm as the resistivity.","[""2.121 x 10<sup>-4<\/sup> \u03a9"",""4.312 x 10<sup>-4<\/sup> \u03a9"",""3.431 x 10<sup>-5<\/sup> \u03a9"",""1.078 x 10<sup>-4 <\/sup>\u03a9""]",3
"One turn of a copper bar is produced by cutting copper washer along a radius and spreading the ends. The washer is cut from soft drawn copper having a resistivity at 20°C of 1.732 x 10<sup>-6</sup> ohm-cm. The washer is 0.125 inch thick and has inside diameter and outside diameter of 1 inch and 9 inches respectively. Calculate the exact resistance between the two ends of the turn to direct current, taking into account the non-uniform current distribution. Assume the contact along the ends of the turn to be perfect over the entire cross section.","[""12.74 x 10<sup>-6<\/sup> \u03a9"",""15.53 x 10<sup>-6<\/sup> \u03a9"",""17.22 x 10<sup>-6<\/sup> \u03a9"",""14.83 x 10<sup>-6<\/sup> \u03a9""]",1
"Determine the resistance of a conductor 0.10 m long, with a uniform diameter of 1.0 cm and having a resistivity which varies as a function of length L measured from the one end of the conductor according to ρ = 0.003 + 10<sup>-4</sup> L<sup>2</sup> ohm-cm.","[""0.0852 ohm"",""0.0915 ohm"",""0.0806 ohm"",""0.0902 ohm""]",2
"A coil has 6,000 turns of wire and a resistance of 380 ohms. The coil is rewound with the same quantity (weight) of wire, but has 13,400 turns. How many ohms will the new coil have?","[""1895 ohms"",""1825 ohms"",""1792 ohms"",""1905 ohms""]",0
"A copper wire of unknown length has a resistance of 0.80 ohm. By successive passes through drawing dies, the length of the wire is increased by 2 ½ times its original value. Assuming that resistivity remains unchanged during the drawing process, determine the new value of its resistance.","[""4 ohms"",""3 ohms"",""5 ohms"",""6 ohms""]",2
"A one-meter rod of 2-cm diameter is drawn until its resistance is 100 times the initial resistance. Its length afterwards is?","[""10 m"",""100 m"",""12.5 m"",""5 m""]",0
"A kilometer of wire having a diameter of 11.7 mm and a resistance of 0.031 ohm is drawn down so that its diameter is 5.0 mm. What does its resistance become?","[""0.85 ohm"",""0.78 ohm"",""0.93 ohm"",""0.81 ohm""]",2
"A certain wire has a resistance R. The resistance of another wire identical with the first except for having twice its diameter is","[""4R"",""R\/2"",""2R"",""R\/4""]",3
"What is the size in square millimeter (mm<sup>2</sup>) is the cable of 250 MCM size?","[""118.656 mm<sup>2<\/sup>"",""126.675 mm<sup>2<\/sup>"",""112.565 mm<sup>2<\/sup>"",""132.348 mm<sup>2<\/sup>""]",1
"The resistance of a copper wire at 30°C is 50 ohms. If the temperature coefficient of copper at 0°C is 0.00427, what is the resistance at 100°C?","[""72.26 ohms"",""54.25 ohms"",""63.24 ohms"",""58.15 ohms""]",2
"The resistance of a wire is 126.48 Ω at 100°C and 100 Ω at 30°C. Determine the temperature coefficient of copper at 0°C.","[""0.00427\/\u00b0C"",""0.00615\/\u00b0C"",""0.0256\/\u00b0C"",""0.365\/\u00b0C""]",0
"Two heating elements which is 500 ohms and 250 ohms are connected in series with temperature coefficients of 0.001 and 0.003 ohms per °C, respectively at 20°C. Calculate the effective temperature coefficient of the combination.","[""0.00215"",""0.00626"",""0.00712"",""0.00167""]",3
"The insulation resistance of a kilometer of the cable having a diameter of 2 cm and an insulation thickness of 2 cm is 600 ohms. If the thickness of the insulation is increased to 3 cm, find the insulation resistance of the cable.","[""A, 725 ohms"",""850 ohms"",""757 ohms"",""828 ohms""]",2
"It is required that a loading of 3 kW be maintained in a heating element at an initial temperature of 20°C, a voltage of 220 V is necessary for the purpose. After the element has settled down to steady state, it is found that a voltage of 240 volts is necessary to maintain the 3 kW loading. The element resistance temperature coefficient is 0.0006 per degree centigrade at 20°C. Calculate the final temperature of the heating element.","[""345.43\u00b0C"",""326.42\u00b0C"",""336.84\u00b0C"",""318.48\u00b0C""]",2
"How long must a current of 5 A pass through a 10 ohm resistor until a charge of 12000 coulomb passes through?","[""1 min"",""2 min"",""3 min"",""4 min""]",3
"What is the power required to transfer 97,000 coulombs of charge through a potential rise of 50 volts in one hour?","[""0.5 kW"",""0.9 kW"",""1.3 kW"",""2.8 kW""]",2
"A round wire has 250 MCM. Find its diameter in inches.","[""\u00bd"",""\u00bc"",""0.16"",""0.08""]",0
"In the American wire gauge, as the number of gauge increases, the diameter of wire _____","[""increases"",""decreases"",""does not change"",""become twice""]",1
"In cgs system, what is the unit of emf where I is in abampere and P is in erg per second?","[""millivolt"",""kilovolt D"",""abvolt"","". volt""]",2
"One (1) kW is equal to ____ hp.","[""0.746"",""1.34"",""550"",""1.5""]",1
"Two copper conductors have equal length. The cross-sectional area of one conductor is three times that of the other. If the resistance of the conductor having smaller cross-sectional area is 20 Ω, what is the resistance of the other?","[""20\/3 \u03a9"",""60 \u03a9"",""180 \u03a9"",""20\/9 \u03a9""]",0
"A copper bar has a length of 20 ft., width of 4 inches and thickness of 0.5 inch. If the resistivity of copper is 10.37 Ω-CM/ft, what is the resistance of the bar?","[""81.4 \u03bc\u03a9"",""8.14 \u03bc\u03a9"",""814 \u03bc\u03a9"",""0.814 \u03bc\u03a9""]",0
"The resistance of the field winding of a DC machine is 0.25 Ω at 25°C. When operating at full-load, the temperature of the winding is 75°C. The temperature coefficient of resistance of copper is 0.00427 per °C at 0°C. Find the resistance of the field winding at full-load.","[""0.298 \u03a9"",""0.315 \u03a9"",""0.512 \u03a9"",""0.271 \u03a9""]",0
"A coil of copper has resistance of 5.46 Ω at 75°C. What will be its resistance at 25°C?","[""4.58 \u03a9"",""4.84 \u03a9"",""5.02 \u03a9"",""4.35 \u03a9""]",0
"A certain generator generates 1,500,000 joules per minute. What is the output in kW?","[""50"",""500"",""25"",""125""]",2
"_____ is anything that has weight had occupies space. It may be solid, liquid or gas.","[""Amalgam"",""Alloy"",""Matter"",""Compound""]",2
"It is defined as anything that occupies space and has weight.","[""atom"",""compound"",""molecule"",""matter""]",3
"The lightest kind of atom or element","[""hydrogen"",""helium"",""titanium"",""oxygen""]",0
"In order to have a good conductor material, such material shall have _____ valence electrons.","[""one"",""five"",""more than ten"",""twenty one""]",0
"Electric power refers to _____","[""volt ampere"",""watt second"",""volt coulomb"",""joule""]",0
"What composes all matter whether a liquid, solid or gas?","[""electrons"",""atoms"",""protons"",""neutrons""]",1
"What is a physical combination of compounds or elements NOT chemically combined that can be separated by physical means?","[""substance"",""atom"",""mixture"",""molecule""]",2
"Determine the equivalent work of 166 watt-second.","[""10 joules"",""100 joules"",""16.6 joules"",""166 joules""]",1
"One of the following is the best conductor of electricity.","[""Air"",""Copper"",""Carbon"",""Silicon""]",1
"What is the basic unit for measuring current flow?","[""coulomb"",""ampere"",""volt"",""atomic weight""]",1
"______ has a unit of electron volt","[""Energy"",""Potential difference"",""Current"",""Charge""]",0
"The motion of charged particles especially colloidal particles through a relative stationary liquid under the influence of an applied electric provided.","[""hysteresis"",""electrolysis"",""electrophoresis"",""electro analysis""]",2
"What is a symbol that represents a quantity or a single object?","[""unit"",""number"",""item"",""base""]",0
"Determine which of the following has the least number of electrons found at the outer shell.","[""semi-insulator"",""insulator"",""semiconductor"",""conductor""]",3
"The term describes a material whose resistance remains relatively constant with changes in temperature","[""positive temperature coefficient"",""negative temperature coefficient"",""neutral temperature coefficient"",""zero temperature coefficient""]",3
"Resulting effect when electron is made to move","[""dynamic electricity"",""static electricity"",""lines of force"",""magnetic lines""]",0
"One of the following characteristics of a resistive material which do not change its resistive value with respect to time is its _____","[""fidelity"",""sensitivity"",""stability"",""selectivity""]",2
"What do you call the element that conducts electricity very readily?","[""semi-conductors"",""conductors"",""insulators"",""dielectric""]",1
"Which of the following material is referred to as a medium whereby electrons can move easily from atom to atom?","[""insulator"",""dielectric"",""mica"",""conductor""]",3
"A chemical combination of elements can be separated by chemical means but not by physical means. It is created by chemically combining two or more elements.","[""molecules"",""compound"",""matter"",""mixture""]",1
"A substance which cannot be reduced to a simpler substance by chemical means","[""atom"",""molecule"",""matter"",""element""]",3
"Calculate the equivalent power in watt of 100 joules per second.","[""1.66 watts"",""100 watts"",""16.66 watts"",""1,000 watts""]",1
"It is a neutral particle that has no electrical charge.","[""atom"",""proton"",""electron"",""neutron""]",3
"Which material has more free electrons?","[""mica"",""insulator"",""conductor"",""dielectric""]",2
"Thevenin’s theorem is ____ form on an equivalent circuit.","[""voltage"",""current"",""both voltage and current"",""none of these""]",0
"Norton’s theorem is ____ Thevenin’s theorem.","[""A the same as."",""converse of"",""equal to"",""none of these""]",1
"In the analysis of a vacuum tube circuit, we generally use ____.","[""superposition"",""Norton\u2019s"",""Thevenin\u2019s"",""reciprocity""]",2
"Norton’s theorem is ____ form of an equivalent circuit","[""voltage"",""current"",""both voltage and current"",""none of these""]",1
"In the analysis of a transistor circuit, we generally use ____.","[""Norton\u2019s"",""Thevenin\u2019s"",""reciprocity"",""superposition""]",0
"For maximum power transfer, the relation between load resistance R<sub>L</sub> and internal resistance R<sub>i</sub> of the voltage source is ____.","[""R<sub>L<\/sub> = 2R<sub>i<\/sub>"",""R<sub>L<\/sub> = 0.5R<sub>i <\/sub>"",""R<sub>L<\/sub> = 1.5R<sub>i<\/sub>"",""R<sub>L<\/sub> = R<sub>i<\/sub>""]",3
"Under the conditions of maximum power transfer, the efficiency is ____.","[""75%"",""100%"",""50%"",""25%""]",2
"The open-circuited voltage at terminals of load R<sub>L</sub> is 30 V Under the conditions of maximum power transfer, the load voltage would be ____.","[""30 V"",""10 V"",""5 V"",""15 V""]",3
"The maximum power transfer theorem is used in ____.","[""electronic circuits"",""power system"",""home lighting circuits"",""none of these""]",0
