question,choices,answer
"Electron flow assumes charges flow from","[""Negative to positive"",""Negative to negative"",""Positive to negative"",""Positive to positive""]",0
"Series resonance occurs when","[""XL = XC"",""XL = R"",""Z = R"",""Both A and C""]",3
"The symbol Q refers to","[""Resonance quotient"",""Quality factor"",""Power quotient"",""Qualification test""]",1
"The ratio of W/VA in an ac circuit means","[""Power factor"",""Reactive factor"",""Quality factor"",""Load factor""]",0
"What is the reciprocal of quality factor?","[""Power factor"",""Reactive factor"",""Dissipation factor"",""1\/Q factor""]",2
"In liquids and gases, ionization current results from a flow of","[""Positive or negative ions"",""Free electrons"",""Ions that are lighter in weight than electrons"",""Protons""]",1
"VL = VC in a series RLC circuit when","[""The value of the impedance is minimum"",""The power factor is zero"",""The current leads the total voltage by 90\u02da"",""The total voltage is zero""]",0
"At what frequency will an inductor of 5mH have the same reactance as a capacitor of 0.1 μF?","[""7.12 kHz"",""7.12 Hz"",""7.12 MHz"",""7.12 GHz""]",0
"Property of an electric circuit that dissipates electric energy","[""Reactance"",""Impedance"",""Resistance"",""Conductance""]",2
"What is the other name of relative permittivity?","[""Dielectric strength"",""Potential gradient"",""Breakdown voltage"",""Specific inductance capacity""]",3
"In a series RLC circuit","[""The current lags VL by 90\u02da"",""The current leads VL by 90\u02da"",""XL leads Xc by 90\u02da"",""Z = jXL at resonance""]",0
"Resistor with colored bands in the body","[""Wire-wound resistor"",""Carbon-composition resistor"",""Potentiometer"",""Rheostat""]",1
"In a resonant circuit, if Q ≥ 10 resonant frequency __________ bandwidth.","[""Bisects"",""Exceeds"",""Is less than"",""Is equal to""]",0
"Which of the following conditions is not true for a series RLC circuit at resonance?","[""Z = jXL"",""XL = XC"",""The power factor is one"",""The magnitude of Z is""]",0
"The current is ____________ times the maximum current at half-power points of a resonance curve.","[""0.707"",""1.414"",""0.5"",""0.632""]",0
"A gang capacitor is a variable capacitor in which capacitance is varied by changing the","[""Dielectric"",""Number of plates"",""Plate area"",""Distance between plates""]",2
"In an ac circuit with inductive reactance, the","[""Phase angle of the circuit is always 45\u02da"",""Voltage across the inductance must be 90\u02da out-of-phase with the applied voltage"",""Current through the inductance lags its induced voltage by 90\u02da"",""Current through the inductance and voltage across it are180\u02da out-of-phase""]",2
"If three 9 mH inductors are connected in parallel without mutual inductance then the total inductance is","[""3 mH"",""9 mH"",""27 mH"",""18 mH""]",0
"What is the specific resistance of a pure germanium?","[""55 \u03a9-cm"",""55 \u03a9-m"",""55 \u03a9-mm"",""55 k\u03a9-m""]",0
"Two capacitors of capacitance 9 μF and 18 μF in series will have a total capacitance of","[""27 \u03bcF"",""162 \u03bcF"",""6 \u03bcF"",""180 \u03bcF""]",2
"In a series RLC circuit","[""Increasing the frequency decreases the resistance"",""Increasing the frequency increases the resistance"",""Both XL and XC change as frequency changes"",""Impedance will always decrease""]",2
"A series RLC circuit has a __________ power factor at its half-power points","[""Unity"",""Leading"",""Lagging"",""Either B or C""]",3
"Kirchhoff’s laws (KCL and KVL) are applicable to","[""DC circuits"",""AC circuits"",""DC as well as AC circuits"",""Passive networks alone""]",2
"A tank circuit is a","[""Parallel LC circuit"",""Series LC circuit"",""A resonant circuit"",""A non-resonant circuit""]",0
"A capacitive load always has a ________ power facto","[""Leading"",""Lagging"",""Zero"",""Unity""]",0
"What is the temperature coefficient of the resistance Eureka?","[""Infinity"",""Negative"",""Almost zero"",""Positive""]",2
"As applied to a series RLC circuit, bandwidth means","[""The frequency range for maximum power transfer"",""The difference between the highest and lowest frequencies of the oscillator"",""The separation of the half-power points"",""The frequency at which XL = XC""]",2
"Which is considered as the effect of a dielectric material?","[""Increasing capacitance"",""Decreasing capacitance"",""Reducing the working voltage"",""Increasing the distance between the plates""]",0
"The open-circuit voltage at the terminal of load RL is 60V. Under the condition of maximum power transfer, the load voltage will be","[""60 V"",""15 V"",""20 V"",""30 V""]",3
"If a capacitor is rated for 200V dc, what is its effective ac working voltage?","[""50 V"",""100 V"",""200 V"",""400 V""]",2
"If resonant frequency is 10 kHz and quality factor is 50, then","[""Bandwidth is 200 Hz"",""XL = is 50,000 \u03a9"",""R is 50 \u03a9"",""XC = is 50,000 \u03a9""]",0
