question,choices,answer
"The voltage gain of a common collector configuration is","[""Unity"",""Zero"",""Very high"",""Moderate""]",0
"A two-transistor class B power amplifier is commonly called","[""Push-pull amplifier"",""Dual amplifier"",""Symmetrical amplifier"",""Differential amplifier""]",0
"If a transistor is operated in such a way that output current flows for 160 degrees of the input signal, then it is ____________ operation.","[""Class A"",""Class C"",""Class B"",""Class AB""]",1
"Which coupling has the best frequency response?","[""Direct"",""RC"",""Transformer"",""Transistor""]",0
"A transistor amplifier has high output impedance because","[""Emitter is heavily doped"",""Collector is wider than emitter or base"",""Collector has reverse bias"",""Emitter has forward bias""]",2
"Which of the following is considered an amplifier figure of merit?","[""Gain-bandwidth product"",""Beta (\u03b2)"",""Alpha (\u03b1)"",""Temperature""]",0
"What piece of equipment in an oscilloscope is used to indicate pulse condition in a digital logic circuit?","[""Probe"",""Test prods"",""Connector"",""Logic probe""]",3
"What linear circuit compares two input signals and provides a digital level output depending on the relationship of the input signals?","[""Comaparator"",""Controller"",""Compressor"",""Switch""]",0
"What type of coupling is generally used in power amplifiers?","[""Transformer"",""Direct"",""RC"",""Inductive""]",0
"Which amplifier whose output current flows for the entire cycle?","[""Class A"",""Class B"",""Class C"",""Class AB""]",0
"The coupling capacitor Cc must be large enough to ___________ in an RC coupling scheme.","[""Pass dc between the stages"",""Dissipate high power"",""Prevent attenuation of low frequency"",""Prevent attenuation of high frequency""]",2
"What is the point of intersection of dc and ac load lines called?","[""Operating point"",""Cut off point"",""Saturation point"",""Breakdown""]",0
"An oscillator produces ____________ oscillations.","[""Damped"",""Modulated"",""Undamped"",""Sinusoidal""]",2
"What is the operating point in the characteristic curve called?","[""Quiescent point"",""Load point"",""Biasing point"",""Saturation point""]",0
"Oscillators operate on the principle of","[""Positive feedback"",""Negative feedback"",""Signal feedthrough"",""Attenuation""]",0
"In a class A amplifier, the output signal is","[""Distorted"",""The same as the input"",""Clipped"",""Smaller in amplitude than the input""]",1
"What happens if the input capacitor of a transistor amplifier is short-circuited?","[""Biasing conditions will change"",""Transistor will be destroyed"",""Signal will not reach the base"",""Biasing will stabilize""]",0
"Which is used to establish a fixed level of current or voltage in a transistor?","[""Biasing"",""Loading"",""Load line"",""Coupling""]",0
"Which power amplifier has the highest collector efficiency?","[""Class A"",""Class C"",""Class B"",""Class AB""]",1
"What is a non-linear type of amplifier?","[""Class C"",""Class AB"",""Class B"",""Class A""]",0
"An AF transformer is shielded to","[""Keep the amplifier cool"",""Prevent the induction due to stray magnetic fields"",""Protect from rusting"",""Prevent electric shock""]",1
"Amplitude distortion is otherwise known as ___________ distortion.","[""Intermodulation"",""Harmonic"",""Phase"",""Resonant""]",1
"What represents common-emitter small signal input resistance?","[""hie"",""hfe"",""hib"",""hoe""]",0
"The ear is not sensitive to ____________ distortion.","[""Frequency"",""Amplitude"",""Harmonic"",""Phase""]",0
"Class C is an amplifier whose output current flows for","[""Less than one-half the entire input cycle"",""The entire input cycle"",""Twice the entire input cycle"",""Greater than one-half the entire input cycle""]",0
"If gain without feedback and feedback factor are A and β respectively, then gain with negative feedback is given by","[""A\/ 1-A \u03b2"",""A\/ 1+ A \u03b2"",""1+A \u03b2 \/ A"",""(1+A \u03b2) A""]",1
"The collector current in an common base configuration is equal to","[""Alpha times emitter current plus leakage current"",""Alpha times base current plus leakage current"",""Beta times emitter current plus leakage current"",""Beta times collector current plus leakage current""]",0
"Which is not a basic BJT amplifier configuration?","[""Common-drain"",""Common-base"",""Common-emitter"",""Common-collector""]",0
"The value of collector load resistance in a transistor amplifier is ___________ the output impedance of the transistor.","[""Equal to"",""More than"",""Less than"",""Not related""]",2
"What is the purpose of RC or transformer coupling?","[""To block ac"",""To separate bias of one stage from another"",""To increase thermal stability"",""To block dc""]",1
"The bandwidth of a single stage amplifier is ___________ that of multistage amplifier.","[""Equal to"",""Less than"",""More than"",""Independent""]",2
"What is the time taken by the electrons or holes to pass from the emitter to the collector?","[""Transit time"",""Recombination"",""Transient time"",""Duty cycle""]",0
"To obtain good gain stability in a negative feedback amplifier, AB is","[""Equal to 1"",""Very much greater than 1"",""Less than 1"",""Zero""]",1
"The basic concept of the electric wave filter was originated by","[""Campbell and Wagner"",""Norton"",""Foster"",""Bode and Darlington""]",0
"Which configuration has the lowest current gain?","[""Common-base"",""Common-collector"",""Common-emitter"",""Emitter follower""]",0
"Which transistor configuration offers no phase reversal at the output?","[""Common-base"",""Common-collector"",""Common-emitter"",""Both A and B""]",3
"The number of stages that can be directly coupled is limited because","[""Change in temperature can cause thermal instability"",""Circuit becomes heavily and costly"",""It becomes difficult to bias the circuit"",""Circuits\u2019 resistance becomes too large""]",0
"The input capacitor in an amplifier is called _____________ capacitor.","[""Coupling"",""Stray"",""Bypass"",""Electrolytic""]",0
"AC load line has a/an _____________ slope compared to that of dc load line.","[""Zero"",""Smaller"",""Bigger"",""Infinite""]",2
"A multistage amplifier uses at least how many transistors?","[""One"",""Three"",""Four"",""Two""]",3
"RC coupling is used for _____________ amplification.","[""Voltage"",""Current"",""Signal"",""Power""]",0
"An ammeter’s ideal resistance should be","[""Zero"",""Unity"",""Infinite"",""The same with the circuits resistance""]",0
"What circuit increases the peak –to-peak voltage, current or power of a signal?","[""Power supply"",""Attenuator"",""Amplifier"",""Filter""]",2
"When the non-linear distortion in an amplifier is D without feedback, with negative voltage feedback it will be","[""D\/ 1+ A \u03b2"",""1+ A \u03b2 \/ D"",""D (1+A \u03b2)"",""D (1-A \u03b2)""]",0
"A tuned amplifier uses what load?","[""Resistive"",""Capacitive"",""LC tank"",""Inductive""]",2
"The voltage gain over mid- frequency range in an RC coupled amplifier","[""Changes instantly with frequency"",""Is constant"",""Is independent of the coupling"",""Is maximum""]",1
"The input impedance of an amplifier _____________ when negative voltage feedback is applied.","[""Decreases"",""Becomes zero"",""Increases"",""Is unchanged""]",2
"The input impedance of an amplifier ___________ when negative current feedback is applied.","[""Remains unchanged"",""Decreases"",""Increases"",""Becomes zero""]",1
"To obtain the frequency response curve of an amplifier ___________ is kept constant.","[""Generator output level"",""Amplifier output"",""Generator frequency"",""Amplifier frequency""]",0
"It is a very high-gain differential amplifier with very high input impedance and very low output impedance.","[""par-amp"",""op-amp"",""differential amp"",""complementary amp""]",1
"Ideally, op-amps have infinite input resistance and ________ output resistance.","[""infinite"",""zero"",""variable"",""a highly stabilized""]",1
"When the same signal is applied to both inverting and non-inverting input terminals of an ideal op-amp, the output voltage would be","[""zero (0) V"",""+VSAT"",""\u2013VSAT"",""offset voltage""]",0
"The operating mode of an op-amp, when both inputs are tied together or when the input signal is common to both inputs.","[""differential mode"",""rejection mode"",""double-ended mode"",""common mode""]",3
"What do you call of the gain of an op-amp if operated in common mode input?","[""differential gain"",""common gain"",""double-ended gain"",""rejection gain""]",1
"When one input of the op-amp is connected to ground and the other is to the signal source, its operation is called","[""single-ended output"",""double-ended output"",""single-ended input"",""double-ended input""]",2
"If op-amps are operated in differential mode, its gain is technically termed as","[""common-mode differential gain"",""differential gain"",""open-loop gain"",""closed-loop gain""]",1
"The ratio of the differential gain and common gain of an op-amp","[""differential-common mode ratio"",""common-mode ratio"",""differential-mode rejection ratio"",""common-mode rejection ratio""]",3
"An operational amplifier has a common-mode voltage gain of 10 and a differential-mode voltage gain of 20,000, calculate its common-mode rejection ratio (CMRR).","[""200"",""2,000"",""20,000"",""200,000""]",1
