question,choices,answer
"It is made up of two different metals joined at one end to produce a small voltage at a given temperature.","[""RTD"",""Thermistor"",""Thermocouples"",""Thermometer""]",2
"What diode is used in seven-segment displays?","[""zener"",""LED"",""laser"",""Schottky""]",1
"What is one of the most widely used sensing elements particularly for pressure ranges higher than 2 MPa?","[""Bellows"",""Bourdon tube"",""Capsule"",""Straight tube""]",1
"What is also known as photodiffusion effect?","[""Dember effect"",""Skin effect"",""Destriau effect"",""Night effect""]",0
"Sound waves emitted are in the range of","[""2-13 MHz"",""2-13 KHz"",""2-15 MHz"",""2-15 KHz""]",0
"Which of the choices below is another name for a photoconductive cell?","[""Varicap"",""Varistor"",""Photoresistive device"",""Photodiode""]",2
"Optocoupler is otherwise known as","[""Laser"",""Photodiodes"",""Optoisolator"",""Photoconductive cell""]",2
"An LED and phototransistor is equivalent to a/an","[""Thermocouple"",""FET"",""Optocoupler"",""Regulator""]",2
"What is the maximum current (rms) rating for commercially available LASCRs today?","[""3 A"",""15 A"",""15 A"",""25 A""]",0
"It is also known as a solid state lamp which utilizes the fall of an electron from the conduction level to the valence level to develop an energy release in the form of heat or light.","[""LCD"",""PUT"",""Photodiode"",""Photoconductive cell""]",1
"The specially designed semi-conductor diodes used as fast counters in electronic circuits are","[""Light emitting diodes"",""Photo diodes"",""Photo voltaic cell"",""Solar cells""]",1
"Converts electrical power into visible light.","[""cathode ray tube"",""fluorescent lamp"",""photocell"",""antenna""]",1
"Basic heat sensor","[""thermostat"",""radiator"",""thermistor"",""terminator""]",2
"The common material of light dependent resistor (LDR) is","[""nickel cadmium"",""silicon"",""tungsten"",""Cadmium Sulphide""]",3
"What is the effect of light in a photodiode?","[""Reverse current"",""Limits flow of current"",""Forwards current"",""Renders unstable current""]",0
"The value of Planck’s constant","[""6.36 x 10<sup>-34<\/sup> J"",""3.66 x 10<sup>-34<\/sup> J"",""3.63 x 10<sup>-34<\/sup> J"",""6.63 x 10<sup>-34<\/sup> J""]",3
"Light dependent resistor is type of","[""photo-voltaic device"",""photo-emissive device"",""photo-resistive device"",""photo-conductive device""]",3
"In a forward-biased photo diode with increase in incident light intensity, the diode current:","[""Increases"",""Remains constant"",""Decreases"",""None of these""]",0
"What happens to the photoconductive material when light strikes on it?","[""The conductivity of the material decreases"",""Nothing important happens"",""The conductivity of the material stays the same"",""The conductivity of the material increases""]",3
"What is a typical light-to-dark resistance ratio for photocell?","[""1:1000"",""1:2000"",""1:10000"",""1:20000""]",0
"Provides an analog output signal which id proportional to the variation in acoustic pressure acting upon a flexible diaphragm.","[""microphone"",""transducer"",""speaker"",""none of these""]",0
"It is used for position measurements","[""Ultrasonic sensors"",""Photogates"",""proximity sensor"",""magnetic sensor""]",0
"Which of the following photocell is most sensitive to?","[""Radio waves"",""Sound waves"",""Light waves"",""Heat waves""]",2
"An opto-isolator contains _______.","[""an infrared LED"",""a photodetector"",""both an infrared LED and a photodetector"",""None of these""]",2
"The span of input physical signals that may be converted to electrical signal by the sensor.","[""dynamic range"",""static range"",""signal span"",""life span""]",0
"A measure of the ability of an LED to produce the desired number of lumens generated per applied watt of electrical energy.","[""Luminous intensity"",""Luminous efficiency"",""Luminous efficacy"",""Luminous ability""]",2
"Optocoupler is otherwise known as","[""Laser"",""Photodiodes"",""Optoisolator"",""Photoconductive cell""]",2
"The _________ as fundamental particle is considered as a bundle of radiant energy or light, the amount energy being related to the frequency.","[""Protons"",""LED"",""Photons"",""Comet""]",2
"What is also known as photodiffusion effect?","[""Dember effect"",""Skin effect"",""Destriau effect"",""Night effect""]",0
"Those substances which change their electrical resistance when illuminated by light are known as","[""photoconductive"",""photo emissive"",""photo voltaic"",""photomultiplier""]",0
"What sensor provides a dc voltage approximately 1 V at 10 mW?","[""Diode sensor"",""Thermocouple sensor"",""Thermal sensor"",""Thermistor sensor""]",0
"The minimum detectable signal fluctuation.","[""resolution"",""bias"",""degree"",""scale""]",0
"Potentiometers are examples of","[""Passive transducers"",""Electromechanical transducers"",""Electromagnetic transducers"",""Active transducers""]",1
"The most widely used light source in fiber-optic systems is the","[""gallium arsenide LED"",""incandescent lamp"",""indium phosphide LED"",""injection laser""]",3
"The especially designed semiconductor diodes used as indicator lamps in electronic circuits are","[""switch"",""light emitting diode"",""photo diode"",""Solar cells""]",1
"Photoconductive effect means.","[""The decreased conductivity of an illuminated semiconductor junction"",""The increased conductivity of an illuminated semiconductor junction"",""The conversion of photonic energy to electromagnetic energy"",""The conversion of an electromagnetic energy to photonic energy""]",1
"Which of the following light sources cannot be used in fiber-optic systems?","[""semiconductor laser"",""gallium arsenide LED"",""incandescent lamp"",""indium phosphide LED""]",2
"Simple sensors that work by using a circuit.","[""light sensor"",""shaft encoder"",""switch"",""sound sensor""]",2
"Simply provide an on off output to indicate whether or not the target is present in front of the probe.","[""proximity switch"",""sensor"",""on-off switch"",""switch""]",0
"A photodiode which conducts current only when forward biased and is exposed to light.","[""LAD"",""LED"",""PIN"",""Photoconductor""]",0
"What semiconductor device produces electrical energy when exposed to light?","[""Photoelectronic cell"",""Photovoltaic cell"",""Photoelectric cell"",""Optoelectronic device""]",1
"What is the most commonly used color of an LED?","[""Orange"",""Blue"",""Red"",""Green""]",2
"The isolation resistance between the input and output of an optocoupler is","[""low"",""very low"",""high"",""very high""]",3
"Measures apparent brightness (power multiplied by the human eye’s sensitivity).","[""lumen"",""intensity"",""lux"",""none of these""]",2
"A laser diode normally emits","[""coherent light."",""monochromatic light."",""coherent and monochromatic light."",""neither coherent nor monochromatic light.""]",0
"The ratio between the small change in electrical signal to a small change in physical signal.","[""accuracy"",""linearity"",""sensitivity"",""resolution""]",2
"Discovered piezoelectric effect in quartz crystal.","[""Marie Currie"",""Pierre Currie"",""Michael Faraday"",""Nikola Tesla""]",1
"An LED and phototransistor is equivalent to a/an","[""Thermocouple"",""FET"",""Optocoupler"",""Regulator""]",2
"Control system that maintains a speed voltage, or other variable within specified limits of a preset level.","[""Controller"",""Regulator"",""Sensor"",""Computer""]",1
"When an SCR is combined to a switch, it is considered as a ________ switch.","[""bidirectional"",""mechanical"",""unidirectional"",""omnidirectional""]",2
"The p-type emitter of a UJT is ________ doped","[""lightly"",""moderately"",""heavily"",""not<b><\/b>""]",2
"An SCR is a ___________ triggered device.","[""current"",""power<b><\/b>"",""voltage"",""noise""]",0
"Anode current in a thyristor is made up of:","[""Electrons only"",""Electrons or holes"",""Electrons and holes"",""Holes only<b><\/b>""]",2
"Once a DIAC is conducting, the only way to turn it off is with:","[""a positive gate voltage"",""a negative gate voltage"",""low-current dropout"",""breakover<b><\/b>""]",2
"The V-I characteristics for a triac in the first and third quadrants are essentially identical to those of ________ in the quotation.","[""SCR"",""UJT"",""Transistor"",""SCS""]",0
"To turn off the SCR, which of the following is done?","[""Reduce gate voltage to zero"",""Reverse bias the gate"",""Reduce anode voltage to zero"",""Reduce cathode voltage to zero""]",2
"Your boss has asked you to recommend a thyristor that will enable you to <i>turn it on with a pulse</i> and also <i>turn it off with a pulse</i>. Which of the following should you recommend?","[""an SCR"",""an SCS"",""a PUT"",""a triac""]",1
