question,choices,answer
"Which of the following is the main function of a battery?","[""To provide a source of steady DC voltage to fixed polarity"",""To provide a source of steady dc voltage of variable polarity"",""To provide a source of variable dc voltage of fixed polarity"",""To provide a source of variable dc voltage of variable polarity""]",0
"Volt is a unit of ____________.","[""electromotive force"",""energy"",""force"",""magneto motive force""]",0
"A transformer will work on","[""ac only"",""ac as well as dc"",""dc only"",""pulsating dc""]",0
"In a chemical cell current is the movement of","[""positive and negative ions"",""positive charges"",""positive ions only"",""negative ions only""]",0
"What is the nominal output of an automotive battery having six lead acid cells in series?","[""12 V"",""24 V"",""6 V"",""3 V""]",0
"The speed of a dc motor is","[""directly proportional to flux per pole"",""inversely proportional to flux per pole"",""inversely proportional to applied voltage"",""inversely proportional to armature current""]",1
"Low speed alternators are driven by","[""hydraulic turbines"",""steam turbines"",""steam engines"",""diesel engines""]",0
"High speed alternators are driven by","[""diesel engine"",""steam turbines"",""hydraulic turbines"",""diesel engine""]",1
"The common 9v flat battery for transistor radio has _____________ cells connected in series","[""12"",""3"",""6"",""9""]",2
"For the same rating, the size of low speed alternator is ____________ that of high speed alternator","[""about the same as"",""less than"",""more than"",""twice""]",2
"Which of the following is not a secondary cell?","[""Silver-zinc"",""Nickel-iron"",""Silver-oxide"",""Lead-acid""]",2
"Which of the following is not a primary cell?","[""Carbon-zinc"",""Zinc-chloride"",""Edison cell"",""Mercuric oxide""]",2
"The brush voltage drop in a dc machine is about","[""0.1 V"",""2 V"",""10 V"",""20 V""]",1
"Carbon brushes are used in a dc machine because","[""carbon lubricates and polishes the commutator"",""contact resistance is decreased"",""carbon is cheap"",""carbon is abundant""]",0
"Considered as the main types of battery","[""Lithium cell and alkaline"",""Carbon-zinc dry cell and lead sulphuric wet cell"",""Leclanche cell and carbon zinc"",""Voltaic cell and lithium cell""]",1
"Which of the following is the main function of a dc motor?","[""to generate power"",""to change mechanical energy to electrical energy"",""to change electrical energy to mechanical energy"",""to change chemical energy to mechanical energy""]",2
"Which motor has the best speed regulation?","[""Series"",""Shunt"",""Commutatively compounded"",""Differentially compounded""]",2
"A method of converting chemical energy into electric energy by dissolving two different conducting materials in an electrolyte","[""Battery"",""Cell"",""Voltaic cell"",""Charging""]",2
"A commutatively compounded motor does not run at dangerous speed at light loads because of the presence of","[""shunt winding"",""interpoles"",""series"",""compensating windings""]",0
"DC shunt motors are used in those applications where ___________ is required","[""high starting torque"",""high no load speed"",""practically constant speed"",""variable speed""]",2
"Galvanic cell is the other name of","[""voltaic cell"",""primary cell"",""secondary cell"",""solar cell""]",0
"For the same rating _____________ motor has the highest staring torque","[""shunt"",""differentially compounded"",""commutatively compound"",""series""]",3
"The voltage regulation of an alternator with a power factor of 0.8 lagging is ____________ at unity power factor","[""greater than"",""the same as"",""smaller than"",""100%""]",0
"Which is the most suitable for punch presses?","[""shunt motor"",""differentially compounded motor"",""series motor"",""commutatively compounded motor""]",3
"In a vacuum cleaner, ___________ motor is generally used","[""shunt"",""series"",""commutatively compounded"",""differentially compounded""]",1
"A type of secondary cell that can be recharged but with an electrolyte that cannot be refilled","[""Sealed rechargeable cell"",""Sealed secondary cell"",""Leclanche cell"",""Alkaline cell""]",0
"Silver cadmium is secondary cell with a nominal open circuit voltage of","[""1.1 V"",""1.2 V"",""1.5 V"",""1.35 V""]",0
"Which is a variable speed motor?","[""series"",""commutatively compounded"",""shunt"",""differentially compounded""]",0
"The most commonly used method of speed control of a dc motor is by varying","[""voltage applied to the motor"",""field strength"",""effective number of conductors in series"",""armature circuit resistance""]",1
"What gives the relative activity in forming ion charges for some of the chemical elements?","[""Electrochemical series"",""Electrical series"",""Electromotive series"",""Both A and C above""]",3
"The ac armature winding of an alternator is","[""always star connected"",""star delta connected"",""generally delta connected"",""pi connected""]",0
"The air gap in an alternator is __________ in an induction machine","[""much shorter than"",""about the same as"",""much longer than"",""one-half than""]",2
"Nickel-iron cells is a secondary cell with a nominal open- circuit voltage output of 1.2 and is otherwise known as","[""Leclanche cell"",""Galvanic cell"",""Voltaic cell"",""Edison cell""]",3
"A dc series motor is most suitable for","[""cranes"",""lathes"",""pump"",""punch presses""]",0
"Which of the most suitable motor fro elevator","[""Series"",""Differentially compounded"",""Shunt"",""Commutatively compounded""]",3
"The voltage output of a cell depends on","[""its elements"",""electromotive series"",""its electrodes"",""electrochemical series""]",0
"The alternators driven by ____________ do not have a tendency to hunt","[""diesel engines"",""steam engines"",""water turbines"",""prime movers""]",1
"Damper windings are used in alternators to","[""prevent hunting"",""achieve synchronism"",""reduce wind age losses"",""reduce eddy current loss""]",0
"Leclanche cell is the other name of","[""lead acid cell"",""zinc chloride"",""carbon zinc cell"",""mercuric cell""]",2
"the primary leakage flux links","[""primary winding only"",""secondary winding only"",""both primary and secondary windings"",""neither primary nor secondary windings""]",0
"Overheating of a dc motor is often due to","[""insufficient end play"",""overloads"",""loose parts"",""rough commutator""]",1
"A small 9V battery might be used to provide power to","[""an electric stove"",""an electronic calculator"",""a personal computer"",""a radio transmitter""]",1
"The frequency of the system with which several alternators are parallel can be increased by simultaneously __________ of all generators","[""increasing the field excitation"",""decreasing the field excitation"",""increasing the speed of prime movers"",""decreasing the speed of prime movers""]",2
"A transformer is an efficient device because it","[""is a static device"",""uses capacitive coupling"",""uses inductive coupling"",""uses electric coupling""]",0
"The amount of back emf of shunt motor will increase when","[""the load is increased"",""the field is strengthen"",""the field is weakened"",""the load is decreased""]",1
"Three cells connected in series from a","[""battery"",""voltage divider"",""voltage multiplier"",""hybrid""]",0
"What can be found in a transformer with open-circuit test?","[""Copper losses"",""Turns ratio"",""Total equivalent resistance"",""Total equivalent leakage resistance""]",1
"Transformers having ratings less than 5kva are generally","[""oil cooled"",""water cooled"",""natural air cooled"",""self cooled""]",2
"An example of rechargeable dc source is an/a","[""lithium battery"",""photovoltaic cell"",""optoisolator"",""lead acid battery""]",3
"The rating of an alternator is expressed in","[""kW"",""kVA"",""HP"",""KVAR""]",1
"Cumulatively compounded motors are used in applications where ____________ is required","[""variable speed"",""poor speed regulation"",""sudden heavy loads for a short duration"",""constant speed""]",2
"Which motor never use belt connected loads?","[""Series"",""Commulatively compounded"",""Shunt"",""Differentially compounded""]",0
"A standalone solar power system","[""relies on the electric utility at night"",""uses solar panels and batteries"",""requires the use of dry cells"",""need a full wave rectifier""]",1
"A transformer will have zero efficiency at","[""full load"",""half full load"",""no load"",""twice the load""]",2
"The efficiency of a transformer will be at maximum when","[""leakage reactance of the two windings are equal"",""resistance of the two windings are equal"",""copper loss is equal to constant loss"",""copper loss is zero""]",2
"The armature winding of a dc Machine is ____________ winding","[""an open circuit"",""a closed circuit"",""partly open circuit and partly closed circuit"",""lap""]",1
"The speed at which a 6 pole alternator should be drive to generate 50 cycles per second is","[""1500 rpm"",""500 rpm"",""1000 rpm"",""1200 rpm""]",2
"A 12 V battery is rated at 48 ah. If it must deliver an average of 2.0 A, how long will the battery last before it needs recharging","[""48 hrs"",""4 hrs"",""96 hrs"",""24 hrs""]",3
"Connecting batteries of equal voltage in parallel","[""multiplies the voltage available"",""increases the internal resistance"",""reduces the power available"",""multiplies the current available""]",3
"A storage battery in which the electrodes are grids of lead containing lead oxides that changes in composition during charging and discharging and the electrolyte is dilute sulfuric acid","[""Leclanche battery"",""Nickel cadmium battery"",""Lead acid battery"",""Faure storage battery""]",2
"The common dry cell, which is a primary cell having a carbon positive electrode and a zinc negative electrode in an electrolyte of sal ammoniac and a depolarizer","[""Leclanche cell"",""Faure storage cell"",""Lead acid cell"",""Lithium cell""]",0
"The maximum flux produced in the core of a transformer is","[""directly proportional to supply frequency"",""inversely proportional to supply frequency"",""inversely proportional to primary voltage"",""inversely proportional to secondary voltage""]",1
"A transformer is so designed that primary and secondary windings have","[""loose magnetic coupling"",""tight magnetic coupling"",""critical magnetic coupling"",""good electric coupling""]",1
"Four carbon zinc cell in series will provide about","[""2 Vdc"",""6 Vdc"",""9 Vdc"",""8 Vdc""]",1
"What refers to a method in which the charger and the battery are always connected to each other for supplying current to the load","[""Continuous charging"",""Float charging"",""Infinite charging"",""On line charging""]",1
"A series motor designed to operate on dc or ac","[""Shunt motor"",""Series motor"",""Universal motor"",""Compound motor""]",2
