question,choices,answer
"A unit of noisiness related to the perceived noise level","[""Noy"",""Sone"",""dB"",""phone""]",0
"An agreed set of empirical curves relating octave-band sound pressure level to the center frequency of the octave bands","[""C-message weighting curves"",""Psophometric weighting curves"",""Noise rating curves"",""F1A weighting curves""]",2
"The frequency of free vibration","[""Resonant frequency"",""Natural frequency"",""Center frequency"",""Normal frequency""]",1
"The transmission of sound from one room to an adjacent room, via common walls, floors or ceilings.","[""Flanking transmission"",""Refraction"",""Reflection"",""Reverberation""]",0
"A measure of threshold hearing, expressed in decibels relative to a specified standard of normal hearing.","[""Hearing loss"",""Sensation level"",""Hearing level"",""Sound pressure level""]",2
"A certain machine with a slightly out-of-balance motor rotating at 1800/min is fixed on a perfectly elastic mount with a static compression of 2.50 mm. Calculate the resonant frequency of mount.","[""10 Hz"",""20 Hz"",""30 Hz"",""40 Hz""]",0
"Calculate the lowest resonant frequency for a brick partition 120 mm thick, 4 m by 2 m in area with longitudinal wave velocity of 2350 m/s. (Assume that it is supported at its edges.)","[""10 Hz"",""20 Hz"",""30 Hz"",""40 Hz""]",3
"Velocity of sound in air.","[""300 m\/s"",""330 m\/s"",""1130 m\/s"",""344 m\/s""]",1
"What is the expected critical frequency for a 120 mm thick brick wall? Assume a longitudinal wave velocity in brick of 2350 m/s and that the velocity of sound in air is 330 m/s.","[""114.5 Hz"",""214.5 Hz"",""314.5 Hz"",""414.5 Hz""]",1
"The sound power level of a certain jet plane flying at a height of 1km is 160 dB (re10^-12 W). Find the maximum sound pressure level on the ground directly below the flight path assuming that the aircraft radiates sound equally in all directions.","[""59.1 dB"",""69.1 dB"",""79.1 dB"",""89.1 dB""]",3
"Speaker is a device that","[""Converts sound waves into current and voltage"",""Converts current variations into sound waves"",""Converts electrical energy to mechanical energy"",""Converts electrical energy to electromagnetic energy""]",1
"Which type of microphone operates on the principle that the electrical resistance of carbon granules varies as the pressure on the granules vary?","[""Dynamic"",""Crystal"",""Carbon"",""Ribbon-type""]",2
"Bass response is","[""Maximum high frequency response"",""Emphasizing the high audio frequency"",""Bypassing high audio frequencies"",""Bypassing low audio frequencies""]",2
"Pure tone of sound used as standard on testing","[""1 Hz"",""10 Hz"",""100 Hz"",""1000 Hz""]",3
"___________ is early reflection of sound.","[""Echo"",""Reverberation"",""Pure sound"",""Intelligible sound""]",0
"Noise reduction system used for film sound in movie.","[""Dolby"",""dBa"",""dBx"",""dBk""]",0
"What is the sound energy per unit area at right angles to the propagation direction per unit time?","[""Loudness"",""Coherence"",""Sound pressure"",""Sound intensity""]",3
"________ is the unit of loudness level of a sound.","[""Sone"",""Decibel"",""Mel"",""Phon""]",3
"____________ is the average rate of transmission of sound energy in a given direction through a cross-section area of 1 sqm at right angles to the direction.","[""Sound pressure"",""Loudness"",""Sound intensity"",""Pressure variation""]",2
"What is the unit of pitch?","[""Sone"",""Phon"",""Decibel"",""Mel""]",3
"A measure of the intensity of sound in comparison to another sound intensity.","[""Phon"",""Decibel"",""Pascal"",""Watts""]",1
"Sound wave has two main characteristics which are","[""Highness and loudness"",""Tone and loudness"",""Pitch and loudness"",""Rarefraction and compression""]",2
