question,choices,answer
"A farmer selling eggs at 50 pesos a dozen gains 20%. If he sells the eggs at the same price after the costs of the eggs rises by 12.5%, how much will be his new gain in percent?","[""6.89 %"",""6.65 %"",""6.58 %"",""6.12 %""]",1
"A feasibility study shows that a fixed capital investment of P10,000,000 is required for a proposed construction firm and an estimated working capital of P2,000,000. Annual depreciation is estimated to be10% of the fixed capital investment. Determine the rate of return on the total investment if the annual profit is P3,500,000.","[""28.33 %"",""29.17 %"",""30.12 %"",""30.78 %""]",1
"The monthly demand for ice cans being manufactured by Mr. Camus is 3200 pieces. With a manual operated guillotine, the unit cutting cost is P25.00. An electrically operated hydraulic guillotine was offered to Mr. Camus at a price of P275,000.00 and which cuts by 30% the unit cutting cost. Disregarding the cost of money, how many months will Mr. Camus be able to recover the cost of the machine if he decides to buy now?","[""10 months"",""11 months"",""12 months"",""13 months""]",2
"Engr. Trinidad loans from a loan firm an amount of P100,000 with a rate of simple interest of 20% but the interest was deducted from the loan at the time the money was borrowed. If at the end of one year, she has to pay the full amount of P100,000, what is the actual rate of interest?","[""23.5 %"",""24.7 %"",""25.0 %"",""25.8 %""]",2
"A loan of P5,000 is made for a period of 15 months, at a simple interest rate of 15%, what future amount is due at the end of the loan period?","[""5,937.50"",""5,873.20"",""5,712.40"",""5,690.12""]",0
"Mr. Bacani borrowed money from the bank. He received from the bank P1,842 and promised to repay P2,000 at the end of 10 months. Determine the rate of simple interest.","[""12.19 %"",""12.03 %"",""11.54 %"",""10.29 %""]",3
"A college freshman borrowed P2,000 from a bank for his tuition fee and promised to pay the amount for one year. He received only the amount of P1,920 after the bank collected the advance interest of P80.00. What was the rate of discount?","[""3.67 %"",""4.00 %"",""4.15 %"",""4.25 %""]",1
"It is the practice of almost all banks in the Philippines that when they grant a loan, the interest for one year is automatically deducted from the principal amount upon release of money to a borrower. Let us therefore assume that you applied for a loan with a bank and the P80,000 was approved at an interest rate of 14% of which P11,200 was deducted and you were given a check of P68,800. Since you have to pay the amount of P80,000 one year after, what then will be the effective interest rate?","[""16.02 %"",""16.28 %"",""16.32 %"",""16.47 %""]",1
"A man invested P110,000 for 31 days. The net interest after deducting 20% withholding tax is P890.36. Find the rate of return annually.","[""11.50 %"",""11.75 %"",""11.95 %"",""12.32 %""]",1
"A investor wishes to earn 7% on his capital after payment of taxes. If the income from an available investment will be taxed at an average rate of 42%, what minimum rate of return, before payment of taxes, must the investment offer to be justified?","[""12.07 %"",""12.34 %"",""12.67 %"",""12.87 %""]",0
"Mr. Jun Ramos was granted a loan of P20,000 by his employer Excel First Review and Training Center, Inc. with an interest of 6% for 180 days on the principal collected in advance. The corporation would accept a promissory note for P20,000 non-interest for 180 days. If discounted at once, find the proceeds of the note.","[""P18,000"",""P18,900"",""P19,000"",""P19,100""]",0
"Miss Evilla borrowed money from a bank. She receives from the bank P1,340.00 and promised to pay P1,500.00 at the end of 9 months. Determine the corresponding discount rate or often referred to as the “banker’s discount”.","[""13.15 %"",""13.32 %"",""13.46 %"",""13.73 %""]",3
"The exact simple interest of P5,000 invested from June 21, 1995 to December 25, 1995 is P100. What is the rate of interest?","[""3.90 %"",""3.92 %"",""3.95 %"",""3.98 %""]",0
"What is the ordinary interest on P1,500.50 for 182 days at 5.2%?","[""P39.01"",""P39.82"",""P39.45"",""P39.99""]",2
"A loan for P50,000 is to be paid in 3 years at the amount of P65,000. What is the effective rate of money?","[""9.01 %"",""9.14 %"",""9.31 %"",""9.41 %""]",1
"What is the effective rate corresponding to 18% compounded daily? Take 1 year is equal to 360 days.","[""19.61 %"",""19.44 %"",""19.31 %"",""19.72 %""]",3
"What rate of interest compounded annually is the same as the rate of interest of 8% compounded quarterly?","[""8.07 %"",""8.12 %"",""8.16 %"",""8.24 %""]",3
"Which of these gives the lowest effective rate of interest?","[""12.35% compounded annually"",""11.90% compounded annually"",""12.20% compounded annually"",""11.60% compounded annually""]",3
"An amount of P1,000 becomes P1,608.44 after 4 years compounded bimonthly. Find the nominal interest.","[""11.89%"",""12.00%"",""12.08%"",""12.32%""]",1
"How long will it take money to double itself if invested at 5% compounded annually?","[""13.7 years"",""14.7 years"",""14.2 years"",""15.3 years""]",2
"By the condition of a will, the sum of P20,000 is left to a girl to be held in trust fund by her guardian until it amounts to P50,000. When will the girl receive the money if fund invested at 8% compounded quarterly?","[""11.23 years"",""11.46 years"",""11.57 years"",""11.87 years""]",2
"A sum of P1,000 is invested now and left for eight years, at which time the principal is withdrawn. The interest has accrued is left for another eight years. If the effective annual interest rate is 5%, what will be the withdrawal amount at the end of the 16th year?","[""P693.12"",""P700.12"",""P702.15"",""P705.42""]",3
"Mandarin Bank advertises 9.5% account that yields 9.84% annually. Find how often the interest is compounded.","[""Monthly"",""Bimonthly"",""Quarterly"",""Annually""]",2
"A student plans to deposit P1,500 in the bank now and another P3,000 for the next 2 years. If he plans to withdraw P5,000 three years from after his last deposit for the purpose of buying shoes, what will be the amount of money left in the bank after one year of his withdrawal? Effective annual interest rate is 10%.","[""P1,549.64"",""P1,459.64"",""P1,345.98"",""P1,945.64""]",0
"You borrow P3,500.00 for one year from a friend at an interest rate of 1.5% per month instead of taking a loan from a bank at a rate of 18% per year. How much lesser you will pay by borrowing the money from the bank?","[""P 62.44"",""P44.55"",""P54.66"",""P37.56""]",2
"What is the present worth of two P 100 payments at the end of the third year and fourth year? The annual interest rate is 8%.","[""P 150.56"",""P 152.88"",""P 153.89"",""P 151.09""]",1
"A firm borrows P2,000 for 6 years at 8%. At the end of 6 years, it renews the loan for the amount due plus P2,000 more for 2 years at 8%. What is the lump sum due?","[""P 3,260.34"",""P 3,280.34"",""P 3,270.34"",""P 3,250.34""]",0
"In year zero, you invest P 10,000.00 in a 15% security for 5 years. During that time, the average annual inflation is 6%. How much in terms of year zero pesos will be in the account at maturity?","[""P 15,030.03"",""P 20,113.57"",""P 18,289.05"",""P 16,892.34""]",0
"By how much is proposal B more economical than proposal A if interest rate is 20% and depreciation to be neglected?","[""P 19,122.15"",""P 19,423.69"",""P 19,518.03"",""P 19,624.49""]",3
"What is the present worth of a P500 annuity starting at the end of the third year and continuing to the end of the fourth year, if the annual interest rate is 10 %?","[""P 727.17"",""P 717.17"",""P 714.71"",""P 731.17""]",1
"What annuity is required over 12 years to equate with a future amount of P 20,000? Assume i= 6% annually.","[""P 1,290.34"",""P 1,185.54"",""P 1,107.34"",""P 1,205.74""]",1
"A factory operator bought a diesel generator set for P 10,000.00 and agreed to pay the dealer uniform sum at the end of each year for 5 years at 8% interest compounded annually, that the final payment will cancel the debt for principal and interest. What is the annual payment?","[""P 2,500.57"",""P 2,544.45"",""P 2,540.56"",""P 2,504.57""]",3
"What is the present worth of a year annuity paying P 3,000.00 at the end of each year, with interest at 8% compounded annually?","[""P 7,654.04"",""P 7,731.29"",""P 7,420.89"",""P 7,590.12""]",1
"A man loans P 187,400 from a bank with interest at 5% compounded annually. He agrees to pay his obligations by paying 8 equal annual payments, the first being due at the end of 10 years. Find the annual payments.","[""P 43,600.10"",""P 43,489.47"",""P 43,263.91"",""P 43,763.20""]",3
"A person buys a piece of lot for P 100,000 downpayment and 10 deferred semi-annual payments of P 8,000 each, starting three years from now. What is the present value of the investment if the rate of interest is 12% compounded semi-annually?","[""P 142,999.08"",""P 143,104.89"",""P 142,189.67"",""P 143,999.08""]",3
"A young engineer borrowed P 10,000 at 12% interest and paid P 2,000 per annum for the last 4 years. What does he have to pay at the end of the fifth year in order to pay off his loan?","[""P 6,999.39"",""P 6,292.93"",""P 6,222.39"",""P 6,922.93""]",3
"Miss Calledo deposited P 1,000, P 1,500 and P 2,000 at the end of the 2nd year, 3rd year and 4th year, respectively in a savings account which earned 10% per annum. How much is in the account at the end of the 4th year?","[""P 4,880.00"",""P 4,820.00"",""P 4,860.00"",""P 4,840.00""]",2
"A P 1,000,000 issue of 3%, 15-year bond was sold at 95%. What is the rate of interest of this investment?","[""3.0%"",""3.4%"",""3.7%"",""4.0%""]",0
"A P 1, 000, 6% bond pays dividend semiannually and will be redeemed at 110% on June 21, 204. It is bought on June 21, 2001 to yield 4% interest. Find the price of the bond.","[""P 1,122.70"",""P 1,144.81"",""P 1,133.78"",""P 1,155.06""]",1
"A VOM has a selling price of P 400. If its selling price is expected to decline at a rate of 10% per annum due to obsolescence, what will be its selling price after 5 years?","[""P 222.67"",""P 212.90"",""P 236.20"",""P 231.56""]",2
"A machine costs of P 8,000 and an estimated life of 10 years with a salvage value of P 500. What is its book value after 8 years using straight line method?","[""P 2,000.00"",""P 2,100.00"",""P 2,200.00"",""P 2,300.00""]",0
