question,choices,answer
"Republic Act No. 6849 is otherwise known as<u></u>","[""\u201cElectronics Engineering Law of 2004\u201d"",""\u201cTelecommunications Law of the Philippines\u201d"",""\u201cPRC Modernization Law\u201d"",""\u201cMunicipal Telephone Act of 2000\u201d""]",3
"What is otherwise known as “ The Maritime Communications Law” ?","[""R. A. 109"",""R. A. 3396"",""R. A. 3846"",""R. A. 7925""]",1
"What government regulation in telecommunication provides the policy to improve the provision of local exchange carrier service?","[""O. 109"",""R. A. 3846"",""O. 59"",""O. 546""]",0
"What is the basic law that provides for the regulation of radio station, communications in the Philippines and other purposes?","[""R. A. 3846"",""D. O. 11"",""D. O. 88"",""D. O. 5""]",0
"What law specifically requires the service of a duly registered Electronics and Communications Engineer in the designing, installation and construction, operation and maintenance of radio stations?","[""R. A. 3846"",""R. A. 9292"",""R. A. 5734"",""D. O. 88""]",3
"Which law vested the jurisdiction, control and regulation over the Philippine communications satellite corporation with the National Telecommunications Commission?","[""E. O. 109"",""E. O. 196"",""E. O. 59"",""E. O. 205""]",1
"What law provides regulation of the ownership and operation of radio and television stations and for other purposes?","[""P. D. No. 223"",""P. D. No. 576-A"",""P. D. No. 567-A"",""P. D. No. 657-A""]",1
"What NTC memorandum circular sets the rules and regulations governing the manufacture, acquisition, sale and service of radio communication equipment?","[""MC No. 9-13-98"",""MC No. 8-06-88"",""MC No. 4-22-99"",""MC No. 2-05-88""]",3
"What law governs the operations of cable television in the Philippines?","[""E. O. 196"",""E. O. 463"",""E. O. 436"",""E. O. 205""]",2
"What law created the national council for the promotion of E-Commerce in the country?","[""E. O. 467"",""E. O. 468"",""E. O. 109"",""E. O. 59""]",1
"Which law provides for a national policy on the operation and use of international satellite communications in the country?","[""E. O. 468"",""E. O. 109"",""E. O. 205"",""E. O. 467""]",3
"What law regulates the operation of CATV systems in the country?<b></b>","[""E. O. 436"",""E. O. 205"",""E. O. 250"",""E. O. 346""]",1
"What is an executive order signed by former President Fidel Ramos in March 1998 providing the national policy in the operation and use of international satellite communications in the Philippines?<b></b>","[""E. O. 3846"",""E. O. 59"",""E. O. 456"",""E. O. 467""]",3
"When was the effectivity of Executive Order No. 59?<b></b>","[""December 21, 1993"",""February 24, 1993"",""June 21, 1993"",""December 12, 1993""]",1
"When was the effectivity of Executive Order No. 436?","[""September 11, 1997"",""September 6, 1997"",""September 9, 1997"",""September 18, 1997""]",2
"When was the effectivity of Executive Order No. 109?","[""July 12, 1993"",""July 15, 1993"",""October 10, 1993"",""December 12, 1993""]",0
"When was the affectivity of Executive Order No. 205?","[""June 30, 1987"",""June 21, 1987"",""June 12, 1987"",""June 1, 1987""]",0
"When is the effectivity of Republic Act No. 7925?","[""March 1, 1995"",""March 21, 1995"",""February 20, 1995"",""March 7, 1995""]",1
"When was Republic Act No. 7925 approved?","[""March 1, 1995"",""March 15, 1995"",""March 17, 1995"",""March 21, 1995""]",0
"What law created the Movie and Television Review and Classification Board (MTRCB)?","[""P. D. 223"",""P. D. 1986"",""P. D. 1987"",""P. D. 1988""]",1
"What law created the Videogram Regulatory Board (VRB)?","[""P. D. 223"",""P. D. 1986"",""P. D. 1987"",""P. D. 1988""]",2
"What is the new regulation issued by NTC providing the guideline for mobile personal communication having a global coverage using satellite?","[""NMT"",""GMPCS"",""GSM"",""TACS""]",1
"What government agency is the principal administrator of Republic Act No. 7925?","[""Bureau of Communications"",""Department of Transportation and Communications"",""House of Representatives"",""National Telecommunications Commission""]",3
"What government agency was designated as the Chairman of the Electronic Commerce Promotion Council?","[""NTC"",""DOTC"",""NEDA"",""DTI""]",3
"The VRB Board is composed of a chairman, a vice chairman and <u></u>members.","[""10"",""18"",""22"",""25""]",1
"MTRCB Board is composed of a chairman, a vice chairman &amp;<u> </u>members.","[""5"",""10"",""20"",""30""]",3
"MTRCB law defines an “Adult” as a person <u></u>years of age and above.","[""18"",""19"",""20"",""21""]",0
"Radio programs not suitable for children must be aired after what time?","[""7 PM"",""8 PM"",""9 PM"",""10 PM""]",2
"All are AM radio prime time block for provincial stations except one. Which one?","[""5 AM to 9 AM"",""12 NN to 2 PM"",""11 AM to 3 PM"",""4 PM to 7 PM""]",2
"For CATV system, prime time refers to the five-hour period from <u></u>local time.","[""6:00 to 11:00 PM"",""5:00 to 10:00 PM"",""4:00 to 9:00 PM"",""3:00 to 8:00 PM""]",0
"What is the prime time block for FM radio for provincial stations?","[""5 AM to 7 PM"",""6 AM to 8 PM"",""7 AM to 7 PM"",""6 PM to 7 PM""]",1
"What is the prime time block for AM radio in Metro Manila?","[""5 AM to 9 AM and 4 PM to 8 PM"",""4 AM to 8 AM and 4 PM to 8 PM"",""5 AM to 9 AM and 5 PM to 9 PM"",""6 AM to 10 AM and 5 PM to 9 PM""]",0
"What is the prime time block for FM radio in Metro Manila?","[""7:00 AM to 7 PM"",""6:00 AM to 6 PM"",""6:00 AM to 8 PM"",""7:00 AM to 8 PM""]",2
"In Metro Manila, Class D airtime classification for FM radio is from","[""<u><\/u>. A. 6 AM to 8 PM"",""9 PM to 12 MN"",""5 AM to 6 AM and 8 PM to 9 PM"",""12 MN to 5 AM""]",3
"According to the medium frequency broadcast standards, the term “nighttime” refers to the period of time between <u></u>UTC.","[""1000 to 2200"",""1000 to 1600"",""1000 to 1500"",""1000 to 1800""]",0
"What is the maximum power suggested by KBP on 919 – 1312 AM broadcast station in Metro Manila?","[""10 kW"",""20 kW"",""15 kW"",""5 kW""]",1
"What is the minimum carrier power output of a standard AM broadcast where effective and direct supervision of an Electronics and Communications Engineer is required?","[""5 kW"",""4 kW"",""1 kW"",""3 kW""]",2
"What is the maximum power allocation for AM broadcast in Metro Manila?","[""10 kW"",""25 kW"",""50 kW"",""100 kW""]",2
"According to the TV broadcast standards, what is the maximum effective radiated power in Metro Manila and Metro Cebu for channels 7 – 13?","[""300 kW"",""500 kW"",""1000 kW"",""1500 kW""]",2
"In Metro Manila, commercial load shall not exceed <u></u>minutes for one hour program.","[""10"",""15"",""20"",""25""]",1
"KBP Radio Code requires each radio station a minimum of <u></u>of news per day.","[""1 hour"",""45 minutes"",""2 hours"",""1 hour and 30 minutes""]",1
"Program interruption for the airing of commercial in Metro Manila shall not exceed <u></u>breaks in every program hour.","[""8"",""5"",""6"",""7""]",2
"Program interruption for the airing of commercial outside Metro Manila shall not exceed <u></u>breaks per program hour.","[""5"",""6"",""7"",""8""]",2
"Outside Metro Manila, commercial load shall not exceed <u></u>minutes in one hour program.","[""12"",""15"",""17"",""20""]",2
"All stations must promote the Filipino music by playing <u></u>OPM every hour.","[""2"",""4"",""1"",""3""]",1
"All station must have a minimum of <u></u>news/day form 5:00 AM to 10:00 PM.","[""50 minutes"",""60 minutes"",""30 minutes"",""45 minutes""]",3
"Newscast is a distinct unit of a program with minimum news content of <u></u>excluding intro, extro, headline and commercial load.<b></b>","[""1 minute"",""2 minutes"",""30 seconds"",""1 minute and 30 seconds""]",0
