question,choices,answer
"Engineering is:","[""An art"",""Both science and art"",""A science"",""Neither art nor science""]",2
"Engineers can become good managers only through __________.","[""Experience"",""Taking master degree in management"",""Effective career planning"",""Trainings""]",2
"If you are an engineer wanting to become a manager, what will you do?","[""Develop new talents"",""Acquire new values"",""Broaden your point of view"",""All of the above""]",3
"When engineer enters management, what is the most likely problem he finds difficult to acquire?","[""Learning to trust others"",""Learning how to work through others"",""Learning how to take satisfaction in the work of others"",""All of the above""]",3
"What management functions refers to the process of anticipating problems, analyzing them, estimating their likely impact and determining actions that will lead to the desired outcomes and goals?","[""Planning"",""Leading"",""Controlling"",""Organizing""]",0
"What refers to the establishing interrelationships between people and things in such a way that human and materials resources are effectively focused toward achieving the goal of the company?","[""Planning"",""Leading"",""Controlling"",""Organizing""]",3
"What management function involves selecting candidates and training personnel?","[""Organizing"",""Staffing"",""Motivating"",""Controlling""]",1
"What management function involves orienting personnel in the most effective way and channeling resources?","[""Directing"",""Planning"",""Organizing"",""Leading""]",0
"Actual performance normally is the same as the original plan and therefore it is necessary to check for deviation and to take corrective action. This action refers to what management function?","[""Organizing"",""Planning"",""Controlling"",""Staffing""]",2
"What refers to management function which is to encourage others to follow the example set for them, with great commitment and conviction?","[""Staffing"",""Motivating"",""Controlling"",""Leading""]",3
"What refers to a principal function of lower management which is to instill in the workforce a commitment and enthusiasm for pursuing the goals of the organization?","[""Directing"",""Motivating"",""Staffing"",""Controlling""]",1
"What refers to the collection of the tolls and techniques that are used on a predefined set of inputs to produce a predefined set of outputs?","[""Project Management"",""Engineering Management"",""Management"",""Planning""]",0
"Which is NOT an element of project management process?","[""Data and information"",""Research and development"",""Decision making"",""Implementation and action""]",1
"What is the most essential attribute of a project manager?","[""Leadership"",""Charisma"",""Communication skill"",""Knowledge""]",0
"In project management, what provides a simple yet effective means of monitoring and controlling a project at each stage of its development?","[""R &amp; D model"",""Project feasibility"",""Life cycle model"",""All of the above""]",2
"What project life cycle model is the most relevant for information technology project?","[""Morris model"",""Waterfall model"",""Incremental release model"",""Prototype model""]",1
"In project management, “R &amp; D” stands for:","[""Retail Distribution"",""Research and Development"",""Repair and Develop"",""Reduce and Deduce""]",1
"In project management O &amp; M stands for:","[""Operation and Manpower"",""Operation and Maintenance"",""Operation and Management"",""Operation and Mission""]",1
"A project management must be very good in which of the following skills?","[""Communication skills"",""Human relationship skills"",""Leadership skills"",""All of the above""]",3
"Project integration management involves which of the following processes?","[""Project plan development"",""Project plan execution"",""Integrated change control"",""Quality planning""]",3
"Project quality management involves all of the following processes except:","[""Quality planning"",""Quality assurance"",""Quality Control"",""Quality feature""]",3
"What is defined as an organized method of providing past, present, and projected information on internal operations and external intelligence for use in decision-making?","[""Electronic Data Processing Systems"",""Management Information System"",""Central Processing System"",""Data Management System""]",1
"Middle management level undertakes what planning activity?","[""Intermediate planning"",""Strategic planning"",""Operational planning"",""Direct planning""]",0
"Strategic planning is undertaken in which management level?","[""Lower management level"",""Middle management level"",""Top management level"",""Lowest management level""]",2
"What is the advantage of free-rein style of leadership?","[""Little managerial control and high degree of risk"",""Time consuming and cost ineffective"",""Little ideas from subordinate in decision- making"",""All of the above""]",0
"If you are appointed as a division manager, your first task is most likely to","[""Set goals"",""Determine the resources needed"",""Set a standard"",""Develop strategies and tactics""]",0
"What is defined as the process of planning, organizing, and controlling operations to reach objective efficiently and effectively?","[""General Management"",""Engineering Management"",""Production Management"",""Operations Management""]",3
"For a project manager to achieve his given set of goals through other people, he must have a good __________.","[""Interpersonal skills"",""Communication skills"",""Leadership"",""Decision- making skills""]",0
"What type of conflict do managers encounter when there is disagreement on issues of territorial power or hidden agenda?","[""Technical opinion conflict"",""Politics"",""Ambiguous roles"",""Managerial procedure conflict""]",1
"The process of partitioning an organization into subunits to improve efficiency is known as __________.","[""Division of labor"",""Segmentation"",""Departmentalization"",""Territorialization""]",2
"By departmentalization of an organization, it decentralizes __________?","[""Authority"",""Responsibility"",""Accountability"",""All of the above""]",3
"What type of committee companies or corporations created for a short term purpose only?","[""Interim committee"",""Temporary committee"",""Standing committee"",""Ad hoc committee""]",3
"What refers to a description of whether the objectives are accomplished?","[""Efficiency"",""Effectiveness"",""Ability to manage"",""Decision- making ability""]",1
"An engineering is required to finish a certain engineering job in 20 days. He is said to be __________ if he finished the job within the required period of 20 days","[""Efficient"",""Effective"",""Reliable"",""Qualified""]",1
"If an engineer provides less input (labor and materials) to his project and still come out with the same output, he is said to be more __________.","[""Managerial skill"",""Economical"",""Effective"",""Efficient""]",3
"To determine a qualified applicant, the engineer manager will subject the applicant to a test that is used to measure a person’s current knowledge of a subject?","[""Interest test"",""Aptitude test"",""Performance test"",""Personality test""]",2
"What type of training is a combination of on-the-job training and experience with classroom instruction in particular subject?","[""On-the-job training"",""Vestibule school"",""Apprenticeship program"",""In-basket""]",2
"What type of authority refers to a specialist’s right to oversee lower level personnel involved in the project regardless of the personnel’s assignment in the organization?","[""Top authority"",""Line authority"",""Staff authority"",""Functional authority""]",3
"When a consultant or specialist gives advice to his superior, he is using what type of authority?","[""Top authority"",""Line authority"",""Staff authority"",""Functional authority""]",2
"When structuring an organization, the engineer manager must be concerned with the determining the scope of words and how it is combined in a job. This refers to __________.","[""Division of labor"",""Delegation of authority"",""Departmentation"",""Span of control""]",0
"When structuring an organization, the engineer must be concerned with the grouping of related jobs, activities, or processes into major organizational subunits. This refers to:","[""Division of labor"",""Delegation of authority"",""Departmentation"",""Span of control""]",2
"Which technique will the manager use when evaluating alternative using qualitative evaluation?","[""Comparison technique"",""Intuition and subjective judgment"",""Rational technique"",""Analytical technique""]",1
"Which technique will the manager use when evaluating alternative using quantitative evaluation?","[""Rational and analytical techniques"",""Intuition and subjective judgment"",""Comparison in number technique"",""Cost analysis""]",0
"What refers to the strategic statement that identifies why an organization exists, its philosophy of management, and its purpose as distinguished from other similar organizations in terms of products, services and markets?","[""Corporate mission"",""Corporate vision"",""Corporate character"",""Corporate identity""]",0
"What refers to a process of influencing and supporting others to work enthusiastically toward achieving objectives?","[""Power"",""Leadership"",""Teamwork"",""Charisma""]",0
"What describes how to determine the number of service units that will minimize both customer’s waiting time and cost of service?","[""Queuing theory"",""Network model"",""Sampling theory"",""Simulation""]",0
"What refers to the rational way to conceptualize, analyze and solve problems in situations involving limited or partial information about the decision environment?","[""Sampling theory"",""Linear programming"",""Decision theory"",""Simulation""]",2
"What is quantitative technique where samples of populations are statistically determined to be used for a number of processes, such as quality control and marketing research?","[""Sampling theory"",""Linear programming"",""Statistical decision theory"",""Simulation""]",0
"The engineer manager must be concern with the needs of his human resources. What refers to the need of the employees for food, drinks, and rest?","[""Physiological need"",""Security need"",""Esteem need"",""Self \u2013 actualization need""]",0
