question,choices,answer
"What are the major classes of engineering materials?","[""Metals, ceramics and semiconductors"",""Polymers, metals and composites"",""Metals, ceramics, polymers and semiconductors"",""Metals, ceramics, polymers, semiconductors and composites""]",3
"What types of materials behave like iron when placed in a magnetic field?","[""Crystals"",""Amorphous materials"",""Ferromagnetic materials"",""Metalloids""]",2
"What do you call metals reinforced by ceramics or other materials, usually in fiber form?","[""Metalloids"",""Matrix alloys"",""Metal lattices"",""Metal Matrix composites""]",3
"What is a combination of one or more metals with a nonmetallic element?","[""Metalloids"",""Matrix Composite"",""Inert"",""Ceramic""]",3
"Polymer comes from Greek words “poly” which means “many” and “meros” which means __________.","[""metal"",""material"",""part"",""plastic""]",2
"The engineering materials known as “plastics” are more correctly called ____________.","[""Polyvinyl chloride"",""Polymers"",""Polyethylene"",""Mers""]",1
"What is a combination of two or more materials that has properties that the components materials do not have by themselves?","[""Compound"",""Composite"",""Mixture"",""Matrix""]",1
"What is a reference sheet for the elements that can be used to form engineering materials?","[""Periodic Table"",""Truth Table"",""Building blocks of Materials"",""Structure of Materials""]",0
"What physical property of a material that refers to the point at which a material liquefies on heating or solidifies on cooling?","[""Melting point"",""Curie point"",""Refractive index"",""Specific heat""]",0
"What physical property of a material that refers to the temperature at which ferromagnetic materials can no longer be magnetized by outside forces?","[""Melting point"",""Thermal conductivity"",""Thermal expansion"",""Curie point""]",3
"What physical property of a material refers to the amount of weight gain (%) experienced in a polymer after immersion in water for a specified length of time under a controlled environment?","[""Dielectric strength"",""Electric resistivity"",""Water absorption"",""Thermal conductivity""]",2
"What physical property of a material that refers to the rate of heat flow per unit time in a homogenous material under steady-state conditions per unit are, per unit temperature gradient in a direction perpendicular to area?","[""Thermal expansion"",""Thermal conductivity"",""Heat distortion temperature"",""Water absorption""]",1
"What physical property of a material refers to the highest potential difference (voltage) that an insulting material of given thickness can withstand for a specified time without occurrence of electrical breakdown through its bulk?","[""Thermal expansion"",""Conductivity"",""Dielectric strength"",""Electrical resistivity""]",2
"What physical property of a material refers to the ratio of the amount of heat required to raise the temperature of a unit mass of a substance 1 degree to the heat required to raise the same mass of water to 1 degree.","[""Specific heat"",""Latent heat"",""Heat of fusion"",""Heat of fission""]",0
"What physical property of a material refers to the temperature at which a polymer under a specified load shows a specified amount of deflection?","[""Curie temperature"",""Specific heat"",""Heat distortion temperature"",""Thermal conductivity""]",2
"What mechanical property of a material refers to the nominal stress at fracture in a tension test at constant load and constant temperature?","[""Creep strength"",""Stress rapture strength"",""Compressive yield strength"",""Hardness""]",1
"What mechanical property of a material refers to the resistance to plastic deformation?","[""Rigidity"",""Plasticity"",""Ductility"",""Hardness""]",3
"What parameter is defined as the temperature at which the toughness of the material drops below some predetermined value, usually 15ft-lb?","[""Nil ductility temperature"",""Curie temperature"",""Thermal conductivity"",""Heat distortion temperature""]",0
"What is obtained by repeatedly loading a specimen at given stress levels until it fails?","[""Elastic limit"",""Endurance limit or fatigue strength of material"",""Creep"",""All of the choices""]",1
"What dimensional property of a material refers to the deviation from edge straightness?","[""Lay"",""Out of flat"",""Camber"",""Waviness""]",2
"What dimensional property of a material refers to a wavelike variation from a perfect surface, generally much wider in spacing and higher in amplitude than surface roughness?","[""Lay"",""Waviness"",""surface finish"",""Out of flat""]",1
"Wood is composed of chains of cellulose molecules bonded together by another natural polymer called ________.","[""plastic"",""lignin"",""mer"",""additive""]",1
"What is a polymer production process that involves forming a polymer chain containing two different monuments?","[""Copolymerization"",""Blending"",""Alloying"",""Cross-linking""]",0
