question,choices,answer
"The minimum clearance allowed for meshing spur gears with a circular pitch of 0.1571 and diametral pitch of 20. The spur gear has 25 teeth.","[""0.007855"",""0.008578"",""0.007558"",""0.007585""]",0
"A 3” Φ diameter short shaft carrying two pulleys close to the bearings transmit how much horsepower if the shaft makes 280 rpm?","[""199 Hp"",""198 Hp"",""200 Hp"",""210 Hp""]",0
"What pressure is required to punch a hole 2” diameter through a ¼” steel plate?","[""10 tons"",""20 tons"",""30 tons"",""40 tons""]",3
"Compute the working strength of 1” bolt which is screwed up tightly in packed joint when the allowable working stress is 13,000 psi.","[""3600 lbs"",""3950 lbs"",""3900 lbs"",""3800 lbs""]",2
"What is the working strength of a 2” bolt which is screwed up tightly in a packed joint when the allowable working stress 12,000 psi?","[""20,120 lbs"",""20,400 lbs"",""20.400 lbs"",""20,200 lbs""]",2
"Compute the speed of the gear mounted on a 52.5 mm diameter shaft receiving power from a driving motor with 250 hp.","[""2182 rpm"",""2071 rpm"",""2282 rpm"",""2341 rpm""]",2
"The minimum whole depth of spur gear of 14-1/2 deg. involute type with diameter pitch of 24 and circular pitch of 0.1309:","[""0.09000"",""0.09900"",""0.089875"",""0.089758""]",2
"Heating of the metal to a temperature above the critical temperature and then cooling slowly usually in the furnace to reduce the hardness and improve the machinability is called:","[""annealing"",""tempering"",""normalizing"",""quenching""]",0
"What is the frictional HP acting on a collar loaded with 100 kg weight? The collar has an outside diameter of 100 mm and an internal diameter of 40mm. The collar rotates at 1000 rpm and the<br/>
coefficient of friction between the collar and the pivot surface is 0.15.","[""0.8 HP"",""0.5 HP"",""0.3 HP"",""1.2 HP""]",0
"A solid cylindrical shaft 48.2 cm long is used for a transmission of mechanical power at a rate of 37 KW running at 1760 rpm. The S<sub>s</sub> is 8.13 MPa. Calculate the diameter","[""30 mm"",""35 mm"",""40 mm"",""50 mm""]",3
"An internal gear is set up with a 5-in diameter pinion and center distance of 18 inches. Find the diameter of the internal gear.","[""36\u201d"",""21.5\u201d"",""26\u201d"",""41\u201d""]",3
"What force P is required to punch a ½ in. hole on a 3/8 in. thick plate if the ultimate shear strength of the plate is 42,000 psi?","[""24,940 lbs."",""24,620 lbs."",""24,960 lbs."",""24,740 lbs.""]",3
"A 2.5” diameter by 2 in. long journal bearing is to carry a 5500-lb load at 3600 rpm using SAE 40 lube oil at 200°F through a single hole at 25 psi. Compute the bearing pressure.","[""1100 psi"",""900 psi"",""1000 psi"",""950 psi""]",0
"In a uniformly loaded simple beam, the maximum vertical shearing force occurs","[""at the center"",""at the section of maximum moment"",""at beam bottom fiber"",""at either end support""]",3
"A hollow shaft has an inner diameter of 0.035 m and outer diameter of 0.06 m. Determine the polar moment of inertia of the hollow shaft.","[""1.512 x 10<sup>-6<\/sup> m<sup>4<\/sup>"",""1.215 x 10<sup>-6<\/sup> m<sup>4<\/sup>"",""1.52 x 10<sup>-6<\/sup> m<sup>4<\/sup>"",""1.125 x 10<sup>-6<\/sup> m<sup>4<\/sup>""]",3
"Determine the thickness of a steel air receiver with 30 inches diameter and pressure load of 120 psi, design stress of 8000 psi.","[""1\/4 in."",""5\/8 in."",""3\/8 in."",""\u00bd in.""]",0
"A short 61 mm Φ shaft transmits 120 Hp. Compute the linear speed of a pulley 55 cm Φ mounted on the shaft.","[""1796 fpm"",""1766 fpm"",""1856 fpm"",""2106 fpm""]",2
"A 2-in. solid shaft is driven by a 36-in. gear and transmits power at 120 rpm. If allowable shearing stress is 12 ksi, what horsepower can be transmitted?","[""29.89"",""35.89"",""38.89"",""34.89""]",1
"Using oxyacetylene welding method to weld a 3 ft. long seam in a 3/8 in. thick plate at a consumption rate of 9 cu. ft. /ft. of weld for oxygen and 7 cu. ft./ft. for acetylene. What is the total combined gas consumption in cu. ft. ?","[""51"",""48"",""45"",""55""]",1
"A coiled spring with 5 cm of outside diameter is required to work under the load of 190 N. The wire diameter is 5 mm, the spring is to have 6 active coils and the ends are to be closed and ground. Determine the total number of coils. The modulus of rigidity is 809 GPa and the mean radius is to be 23 mm, with 7 mm pitch of the spring.","[""6.5 coils"",""7.5 coils"",""8.5 coils"",""9.5 coils""]",2
"A helical spring having squared and ground ends has a total of 18 coils and its material has modulus of elasticity in shear of 78.910 GPa. If the spring has an outside diameter of 10.42 cm and a wire diameter of 0.625 cm, compute in the spring due to a load of 50 kgs.","[""302 cm"",""490 mm"",""490 cm"",""322 mm""]",1
"Design the size of solid steel shaft to be used for a 500 hp, 250 rpm application if the allowable torsional deflection is 1° and the allowable stress is 10,000 psi modulus of rigidity is 13 x 10<sup>6</sup><br/>","[""5\u201d dia."",""4-5\/8\u201d dia."",""4-7\/8\u201d dia."",""4-3\/\/4\u201d dia.""]",2
"With the electric are welding rate of 18 in./min, how long will it take to weld a ½ in. thick plate by 3 ft. long seam?","[""3 min."",""2 min."",""1.5 min."",""4 min.""]",1
"How long will it take to mill a 3/4 “ by 2” long keyway in a 3” diameter shafting with a 24 tooth cutter turning at 100 rpm and 0.005” feed/tooth?","[""0.136 min."",""0.196 min."",""0.166 min."",""0.106 min.""]",2
"How long will it take to saw a rectangular piece of aluminum plate 8 in. wide and 1 1/2 in. thick if the length of the cut is 8 in., the power hacksaw makes 120 rev/min and average feed per stroke is 0.0060 in.?","[""13.11"",""11.11"",""14.01"",""12.03""]",1
