question,choices,answer
"Before starting any installation work, alteration, repair or extension on any electrical system, what type of permit is needed?","[""Building permit"",""Working permit"",""Electrical Permit"",""Mayor\u2019s permit""]",2
"The Philippine Electrical Code (PEC) is intended for ______ applications by government bodies exercising legal jurisdiction over electrical installation.","[""Advisory"",""Optional"",""Mandatory"",""All of these""]",2
"Equipment for installation in hazardous locations must be tested and approved for use according to the classification of the hazards involved. These are divided into _____ groups.","[""4"",""3"",""7"",""6""]",1
"Individual branch circuits using type FCC (flat conductor cable) shall have ratings not exceeding ____.","[""20 A"",""30 A"",""15 A"",""40 A""]",1
"Which of the following conductors is applicable for underground service entrance conductors?","[""type THWN"",""type UF"",""type MI"",""type USE""]",3
"If there are three wires of 150 mm<sup>2</sup> connected to one terminal entering a cabinet or a switchboard, the bending space at each terminal shall NOT be less than ____, provided the conductors do not enter or leave the enclosure through the wall opposite its terminals.","[""200 mm"",""300 mm"",""400 mm"",""250 mm""]",3
"A clearance of not less than ____ shall be secured between bare current carrying metal parts and any metal surface of an auxiliary gutter.","[""26 mm"",""24 mm"",""13 mm"",""12 mm""]",0
"No box shall have an internal depth of less than ____.","[""15 mm"",""10 mm"",""12 mm"",""14 mm""]",2
"Which of the following electrical conductor has the highest resistance?","[""3.5 mm<sup>2<\/sup>"",""8.0 mm<sup>2<\/sup>"",""2.0 mm<sup>2<\/sup>"",""5.5 mm<sup>2<\/sup>""]",2
"A device or equipment which is suspended from overhead either by means of a flexible cord carrying the current, or otherwise.","[""Rosette"",""Pendant"",""Fixture"",""Air terminal""]",1
"In the schedule of loads for motor circuits, which of the following is NOT included?","[""Type of motor"",""Motor\u2019s manufacturer"",""Motor as numbered or identified in the power layout"",""Number of phase""]",1
"What is the allowable ampacity of THW insulated copper conductor with an area of 8.0 mm2 and exposed to an ambient temperature of 30°C?","[""45 A"",""20 A"",""30 A"",""60 A""]",0
"For the two conductors inside the conduit, the ampacity of the conductors shall be derated to what percent?","[""90%"",""80%"",""70%"",""none of these""]",3
"Electrical equipment may be best mounted on a concrete wall using one of the following. Which one of this?","[""Wooden plug"",""Expansion bolt"",""Load plug"",""Plastic plug""]",1
"What is the neutral load of a range that has a demand load of 10.4 kW?","[""7.28 kW"",""13 kW"",""13 kW"",""10.4 kW""]",0
"If the project is expensive and requires more time for checking and for computations of fees, the issuance of the electrical permit need to be issued immediately. However, the delay shall not be longer than how man y working days?","[""7"",""6"",""5"",""8""]",2
"Splices in ground conductors shall be as few as practicable and shall be attached so as to withstand a pull test of _____.","[""900 Newton"",""880 Newton"",""800 Newton"",""890 Newton""]",3
"Locations which are hazardous because of the presence of combustible dust.","[""Class I"",""Class II"",""Class III"",""Class IV""]",1
"For an ambient temperature of 30°C, a THW insulated copper conductor with a cross sectional area of 3.5 mm<sup>2</sup> and buried underground has the following ampacity. Which one is correct?","[""20 A"",""40 A"",""15 A"",""30 A""]",3
"All extended parts located within ______ of the lighting protection system shall be bonded thereto.","[""1,500 mm"",""1,600 mm"",""1,800 mm"",""2,000 mm""]",2
"Operation at substantially constant load for an indefinitely long time.","[""Periodic duty"",""Intermittent duty"",""Continuous duty"",""Short time duty""]",2
"Transformer exceeding 112.5 kVA, shall not be located within ____ from combustible materials of the building.","[""400 mm"",""300 mm"",""200 mm"",""500 mm""]",1
"Electrodes of iron or steel shall be at least _____ in thickness.","[""6.2 mm"",""5.8 mm"",""6.0 mm"",""6.4 mm""]",3
"The frame of the vehicle-mounted generator shall be permitted to serve as the grounding electrode for a system supplied by a generator located on the vehicle under which of the following conditions?","[""The vehicle of the generator is bonded to the vehicle frame"",""The generator supplies only equipment located on the vehicle"",""The non-current carrying metal parts of equipment and the equipment grounding conductor terminals of the receptacles are bonded to the generator frame."",""All of these.""]",3
"The minimum insulation level for the neutral conductors of a solidly grounded system shall be ______.","[""600 V"",""300 V"",""500 V"",""1,000 V""]",0
"The following copper conductors have the same cross sectional area but are made up of different number of strands. Which one has the least resistance to AC current?","[""19-strand conductor"",""Single solid conductor"",""7-strand conductor"",""37-strand conductor""]",1
"Advisory rules in the Code are characterized by the use of word ____.","[""will"",""would"",""shall"",""should""]",3
"A device capable to drawing lightning discharge to it in preference to vulnerable parts of the protected area.","[""Ground terminal"",""Lightning trap"",""Ground mat"",""Air terminal""]",3
"Conductors normally used to carry current shall be of ______ unless otherwise provided in the PEC.","[""aluminum"",""copper"",""copper clad aluminum"",""all of these""]",1
"Light fixtures suspended from the ceiling by chains should be wired so that the","[""chain is grounded"",""wires help support the fixture"",""wires will not touch the chains"",""wires do not support the fixture""]",3
"An appliance, which is fastened or otherwise, secured at a specific location.","[""Permanent appliance"",""Stationary appliance"",""Portable appliance"",""Fixed appliance""]",3
"Which one is a standard rating of an inverse time CB?","[""140 A"",""130 A"",""120 A"",""110 A""]",3
"Aerial cable under non-metallic extensions shall have a clearance of not less than ____ from steel structure members or other conductive materials.","[""60 mm"",""30 mm"",""50 mm"",""40 mm""]",2
"Above ground tanks containing liquids at atmospheric pressure are considered to be protected against lightning if the following requirements are meet. Which one is NOT included?","[""The metal roof shall have a minimum thickness of 4.8 mm"",""The roof shall be welded, bolted or riveted to the shell"",""All pipes entering the tank shall be metallically connected to the tank at the point of entrance"",""None of these""]",3
"According to the Republic Act No. 184, a licensed Master Electrician may operate and tend generator rated up to a certain voltage. What is the voltage?","[""440 V"",""750 V"",""220 V"",""460 V""]",1
"A heavy duty lamp holder shall have a rating no less than ______.","[""450 W"",""500 W"",""600 W"",""660 W""]",3
"In rigid metal conduit wiring, conduits shall be supported at least every","[""2,500 mm"",""3,500 mm"",""3,000 mm"",""2,000 mm""]",2
"Conductors used in open wiring method within ______ from the floor shall be considered exposed to physical damage.","[""3,000 mm"",""2,500 mm"",""2,000 mm"",""1,800 mm""]",2
"Heating elements of cables shall be separated at least ____ from the edge of outlet boxes and junction boxes.","[""200 mm"",""100 mm"",""150 mm"",""300 mm""]",0
"Auxiliary gutters shall not contain more than ____ current carrying conductors at any cross section.","[""38"",""32"",""30"",""24""]",2
"Circuits rated from 201 to 400 A requires a minimum insulation resistance of","[""25,000 ohms"",""50,000 ohms"",""100,000 ohms"",""12,500 ohms""]",0
"No over-current device shall be connected in series with any conductor that is","[""stranded"",""current carrying"",""closed"",""intentionally grounded""]",3
"Which of the following size of single-phase transformer is NOT standard?","[""30 kVA"",""37 \u00bd kVA"",""75 kVA"",""20 kVA""]",0
"For the purpose of lightning protection, a high rise building is a building with a height over ____.","[""23 m"",""50 m"",""20 m"",""15 m""]",0
"Branch circuits are classified according to the maximum ______.","[""voltage across it"",""load being served"",""power consumed"",""setting off the over-current device""]",3
"Cable tray shall NOT be used in","[""hoistways"",""dry locations"",""industrial establishment"",""all of these""]",0
"What type of electrical conductors has a trade name “moisture resistant thermoplastic“?","[""TW"",""THW"",""THWN"",""All of these""]",0
"A device used for the purpose of minimizing irregularities in the flow of welding currents.","[""Rheostat box"",""Grounding transformer"",""Reactor"",""None of these""]",2
"For all land-based electrical installation under the scope of the Philippine Electrical Code, where should an electrical permit be filed?","[""Department of Energy"",""Office of the City\/Provincial Engineer"",""Office of the Mayor"",""Local Building Office""]",3
"Rigid non-metallic conduit approved for direct burial without concrete encasement shall have a minimum burial of _____.","[""500 mm"",""400 mm"",""460 mm"",""440 mm""]",2
"All metal parts associated with the hot tub shall be bonded using copper bonding jumper, insulated, covered, or bare, not smaller than _____.","[""5.5 mm<sup>2<\/sup>"",""8.0 mm<sup>2<\/sup>"",""14.0 mm<sup>2<\/sup>"",""3.5 mm<sup>2<\/sup>""]",1
"All lighting fixtures, submersible pumps and other submersible equipment used in fountains shall operate at _____ or less between conductors.","[""230 V"",""300 V"",""250 V"",""500 V""]",2
"The ground counterpoise when installed in earth shall be placed _____ above all cable in a trench.","[""75 mm"",""100 mm"",""80 mm"",""50 mm""]",0
"Type FCC cable shall NOT be used in any of the following EXCEPT","[""outdoors"",""indoors"",""wet locations"",""hazardous locations""]",1
"The ampacity of the conductors and the rating or setting of over-current devices in a circuit of a solar photovoltaic system shall NOT be less than _____ of the computed current.","[""100 %"",""115 %"",""125%"",""130%""]",2
"For signalling circuits NOT exceeding _____ volts, the current required shall not exceed one ampere.","[""24"",""12"",""30"",""40""]",0
"The grounding electrode shall be _____.","[""the nearest available effectively grounded structural metal member of the structure"",""the nearest available effectively grounded metal water pipe"",""the nearest concrete encased electrode"",""any of these""]",3
"Non-metallic boxes not over _____ cu. cm shall be permitted only on non-metallic wiring method.","[""1,725"",""1,520"",""1,700"",""1,640""]",3
"The equipment bonding jumper (the connection between the equipment grounding conductor and the grounding impedance) shall be _____.","[""an unspliced conductor run"",""a spliced conductor run"",""either A or B"",""neither A or B""]",0
"According to its make, conduits maybe classified as","[""rigid metal"",""rigid non-metal"",""flexible metal"",""all of these""]",3
"In no case shall the grounding conductor be smaller than _____ copper.","[""5.5 mm\u00b2"",""8.0 mm\u00b2"",""3.5 mm<sup>2<\/sup>"",""2.0 mm<sup>2<\/sup>""]",1
"Hazardous location in which flammable gases or vapors are present in the air in quantities sufficient to produce explosives or ignitable mixtures.","[""Class IV"",""Class III"",""Class II"",""Class I""]",3
"The system neutral conductor shall NOT be connected to ground, EXCEPT through the neutral ____.","[""grounding impedance"",""grounding electrode"",""grounding transformer"",""derived from other system""]",0
"In damp or wet locations, cabinets and cutout boxes of the surface type shall be mounted with at least _____ air space between the enclosures and the wall.","[""6.0 mm"",""6.4 mm"",""7.0 mm"",""7.5 mm""]",1
"The minimum diameter of a solid air terminal under class I material requirements shall be ____ for copper ____ for aluminum.","[""9.5 mm, 12.7 mm"",""12.7 mm, 9.5 mm"",""8.0 mm, 12.5 mm"",""12.5 mm, 8.0 mm""]",0
"Circuits with a nominal voltage of 600V or less in a rigid metal conduit or intermediate metal conduit and placed in a trench below a 50 mm thick concrete or equivalent shall maintain a minimum cover distance of______.","[""150 mm"",""250 mm"",""460 mm"",""300 mm""]",0
"Vertical clearances of all service drop conductors above roofs shall NOT be less than one of the following values.","[""2000 mm"",""2750 mm"",""3000 mm"",""2500 mm""]",3
"The lighting or conductor ground terminal shall extend vertically NOT less than ______ into the earth.","[""2000 mm"",""3000 mm"",""4000 mm"",""2500 mm""]",1
"The circuit supplying an auto-transformer type dimmer shall NOT exceed ______ the between conductors.","[""240 V"",""250 V"",""230 V"",""200 V""]",2
"A spark occurring between nearby metallic objects or from such objects to the lighting protection system or to ground.","[""Flashover"",""Side flash"",""Spark over"",""Discharge""]",1
"Covers for boxes shall be permanently marked. The marking shall be on the outside of the box using the block type letters at least ______ in height.","[""10 mm"",""12 mm"",""15 mm"",""20 mm""]",1
"When wiring a raceway at least a certain length of free conductors shall be left at each outlet. What is the minimum length?","[""75 mm"",""100 mm"",""150 mm"",""200 mm""]",2
"Where a rigid metal conduit is used, there shall NOT be more than the equivalent of ____ quarter bends between pull points.","[""three"",""four"",""five"",""two""]",1
