question,choices,answer
"What is defined as the distance the light travels in a vacuum in 1/299,792,458 second?","[""Yard"",""Feet"",""Meter"",""Inch""]",2
"What is the SI unit of work?","[""Newton"",""Watt"",""Newton-Second"",""Joule""]",3
"What is the SI unit of power?","[""Newton"",""Watt"",""Newton-Second"",""Joule""]",1
"What is the SI unit of temperature?","[""Fahrenheit"",""Kelvin"",""Celsius"",""Rankine""]",1
"What is the SI unit of luminous intensity?","[""Candela"",""Lumens"",""Lux"",""Candlepower""]",0
"What is the unit of relative intensity?","[""Pa"",""N-m"",""C.N-m\/s"",""Unitless""]",3
"What is the SI unit of pressure?","[""Pa"",""N-m"",""N\/m"",""N-m\/s""]",0
"Which one is equivalent of the unit “Pascal’?","[""N\/nm<sup>2<\/sup>"",""N\/m<sup>2<\/sup>"",""N\/m"",""D.N\/nm""]",1
"The pressure of 1 bar is equivalent to how many pascals?","[""1,000,000"",""100,000"",""10,000"",""1000""]",1
"What is the SI unit of intensity?","[""Joule\/m<sup>2<\/sup>"",""kg\/m<sup>2<\/sup>"",""N\/m<sup>2<\/sup>"",""watt\/m<sup>2<\/sup>""]",3
"What is the unit of potential difference?","[""Watt"",""Coulomb"",""Volt"",""Weber""]",2
"Which of the following is equivalent to a volt?","[""watt\/coulomb"",""joule\/coulomb"",""joule\/watt"",""watt\/joule""]",1
"One election volt is equivalent to _______ joules.","[""1.6 x 10^-17"",""1.6 x 10^-18"",""1.6 x 10 ^-19"",""1.6 x 10^-20""]",2
"What is the unit of capacitance?","[""Farad"",""Weber"",""Coulomb"",""Gauss""]",0
"Which of the following is equivalent to the unit “farad”?","[""coulomb\/volt"",""joule\/volt"",""joule\/coulomb"",""coulomb\/joule""]",0
"What is the unit of electric current?","[""Volt"",""Watt"",""Ampere"",""Coulomb""]",2
"Which of the following is equivalent to the unit “ampere”?","[""joule\/second"",""volt\/second"",""coulomb\/second"",""watt\/second""]",2
"What is the unit of resistance?","[""Ohm"",""Watt"",""Volt"",""Ampere""]",0
"Ohm is equivalent to which of the following?","[""coulomb\/ampere"",""watt\/ampere"",""volt\/ampere"",""joule\/ampere""]",2
"What is the unit of luminous intensity?","[""Footcandle"",""Lumen"",""Candela"",""Lux""]",2
"What is the unit of luminous flux?","[""Candela"",""Lumen"",""Lux"",""Footcandle""]",1
"Which of the following is equivalent to the unit “candela”?","[""lumen\/m<sup>2<\/sup>"",""footcandle\/steradian"",""lux\/steradian"",""lumen\/steradian""]",3
"What is the unit of luminous efficiency?","[""lumen\/watt"",""lumen\/volt"",""lumen\/ampere"",""lumen\/coulomb""]",0
"What is the unit of illumination?","[""Lux"",""Lumen"",""Candela"",""Lumen\/watt""]",0
"Lux is equivalent to which combination of units?","[""lumen\/cm<sup>2<\/sup>"",""lumen\/ft<sup>2<\/sup>"",""lumen\/m<sup>2<\/sup>"",""lumen\/in<sup>2<\/sup>""]",2
"Footcandle is equivalent to which combination of units?","[""lumen\/cm<sup>2<\/sup>"",""lumen\/ft<sup>2<\/sup>"",""lumen\/m<sup>2<\/sup>"",""lumen\/in<sup>2<\/sup>""]",1
"How many dynes are there in one newton?","[""10,000"",""100,000"",""1,000,000"",""1000""]",1
"What is an elemental unit of energy?","[""Quartz"",""Quark"",""Photon"",""Quantum""]",3
"What refers to the mass which is accelerated at the rate of one foot per second when acted on by a force of one pound?","[""Slug"",""Erg"",""Dyne"",""BTU""]",0
"The size of some bacteria and living cells is in the order of _______.","[""centimetre"",""millimetre"",""nanometer"",""micrometer""]",3
"The size of the largest atom is in the order of ________.","[""centimeter"",""millimeter"",""nanometer"",""micrometer""]",2
"The mass of a grain of salt is in the order of _______.","[""milligram"",""gram"",""microgram"",""nanogram""]",0
"Which one is equivalent to the unit ‘joule’?","[""Newton-second"",""Newton-meter"",""Newton-meter per second"",""Newton-meter per second squared""]",1
"Which one is equivalent to the unit “watt”?","[""Newton-second"",""Newton-meter"",""Newton-meter per second"",""Newton-meter per second squared""]",2
"One horsepower is equivalent to how many watts?","[""550"",""746"",""33,000"",""250""]",1
"The “kilowatt-hour” is a unit of _______.","[""work"",""energy"",""power"",""work or energy""]",3
"The “kilowatt-hour” is a unit of _______.","[""work"",""energy"",""power"",""work or energy""]",3
"The English unit “slug” is a unit of _______.","[""mass"",""weight"",""force"",""energy""]",0
"How is sound intensity measured?","[""In beats"",""In decibels"",""In phons"",""In sones""]",1
"An electron volt is the energy required by an electron that has been accelerated by a potential difference of how many volts?","[""1 volt"",""0.1 volts"",""10 volts"",""0.01 volts""]",0
"What is a vector with a magnitude of one and with no unit?","[""Single vector"",""Unit vector"",""Dot vector"",""Scalar vector""]",1
"What is the purpose of a unit vector?","[""To describe the direction in space"",""To indicate a magnitude without reference to direction"",""To serve as comparison with other vectors"",""To set a standard among vectors""]",0
"What is another term for a scalar product of two vectors?","[""Cross product"",""Vector product"",""Dot product"",""Plus product""]",2
"What is another term for vector product of two vectors?","[""Cross product"",""Vector product"",""Dot product"",""Plus product""]",0
"The scalar product of two perpendicular vectors is always _______.","[""equal to 1"",""greater than 1"",""less than 1"",""equal to 0""]",3
"The vector product of two parallel or antiparallel vectors is always ______.","[""equal 1"",""greater than 1"",""less than 1"",""equal to 0""]",3
"The vector product of any vector with itself is ______.","[""equal to 1"",""greater than 1"",""less than 1"",""equal to 0""]",3
"What refers to physical quantities that are completely specified by just a number and a unit or physical quantities that have magnitudes only?","[""Scalar quantities"",""Vector product"",""Dot product"",""Vector quantities""]",0
"What refers to physical quantities that have a magnitude and a direction?","[""Scalar quantities"",""Vector quantities"",""Dot product"",""Vector quantities""]",3
"The closeness of an indication or reading of a measurement device to the actual value of the quantity being measured. Usually expressed as ± percent of full scale output or reading.","[""Accuracy"",""Compression"",""Chemical Equilibrium"",""Distance""]",0
"The rate of change of angular velocity with respect to time.","[""Angular Velocity"",""Acceleration"",""Angular Acceleration"",""none of these""]",2
"What is a physical quantity expressing the size of a part of a surface?","[""Lever"",""Area"",""Measurement"",""Bend""]",1
"The rate of change of angular displacement with respect to time.","[""Angular Velocity"",""Load"",""Instantaneous"",""Brittle""]",0
"A rigid, usually horizontal, structural element","[""Beam Bridge"",""Force"",""Core"",""Beam""]",3
"A simple type of bridge, composed of horizontal beams supported by vertical posts","[""Beam"",""Brace"",""Beam Bridge"",""Buckle""]",2
"To curve; bending occurs when a straight material becomes curved; one side squeezes together in compression, and the other side stretches apart in tension.","[""Tension"",""Brace"",""Buckle"",""none of these""]",3
"Is mechanics applied to biology (Fung). This includes research and analysis of the mechanics of living organisms and the application of engineering principles to and from biological systems.","[""Biomechanics"",""engineering mechanics"",""mechanics"",""none of these""]",0
"A structural support;","[""Brittle"",""Cable"",""Brace"",""Cantilever""]",2
"Characteristic of a material that fails without warning; brittle materials do not stretch or shorten before failing.","[""Beam"",""Brace"",""Beam Bridge"",""Brittle""]",3
"To bend under compression.","[""Brittle"",""compression"",""bend"",""Buckle""]",3
"A structural element formed from steel wire bound in strands; the suspending element in abridge; the supporting element in some dome roofs.","[""Beam"",""Cable"",""Brace"",""Compression""]",1
"A projecting structure supported only at one end, like a shelf bracket or a diving board.","[""Cantilever"",""Equilibrium"",""Cable"",""Irreversible""]",0
"A condition in which a chemical reaction is occurring at equal rates in its forward and reverse directions, so that the concentrations of the reacting substances do not change with time.","[""Chemical Equilibrium"",""Equilibrium"",""force"",""Pile""]",0
"A pressing force that squeezes a material together.","[""force"",""Compression"",""steel"",""modulus""]",1
"Central region of a skyscraper; usually houses elevator and stairwell.","[""Core"",""physical constant"",""gravitational attraction"",""dimension""]",0
"To change shape","[""dimension"",""deform"",""deformation"",""instantaneous""]",1
"Is a numerical description of how far apart objects are at any given moment in time. In physics or everyday discussion, distance may refer to a physical length, a period of time, or estimation based on other criteria. In mathematics, distance must meet more rigorous criteria.","[""Force"",""Distance"",""mass"",""deformation""]",1
