question,choices,answer
"log<sub>e</sub>a = _______ log<sub>10</sub>a","[""2.3"",""2.718"",""e"",""1.414""]",0
"By what factor does an audio level change if the power level changes from 4 W to 4096 W?","[""2"",""4"",""6"",""8""]",2
"The input power to a device is 10,000 W at 1000 V. The output power is 500 W, and the output impedance is 100 Ω. Find the voltage gain in decibels.","[""\u201330.01 dB"",""\u201320.0 dB"",""\u201313.01 dB"",""\u20133.01 dB""]",2
"What magnitude voltage gain corresponds to a decibel gain of 50?","[""31.6238"",""316.228"",""3162.38"",""31623.8""]",1
"An amplifier rated at 30-W output is connected to a 5-Ω speaker. Calculate the input power required for full power output if the power gain is 20 dB.","[""3 mW"",""30 mW"",""300 mW"",""3 W""]",2
"An amplifier rated at 30-W output is connected to a 5-Ω speaker. Calculate the input voltage for the rated output if the amplifier voltage gain is 20 dB.","[""1.225 mV"",""12.25 mV"",""122.5 mV"",""1.225 V""]",3
"For audio systems, the reference level is generally accepted as","[""1 mW"",""1 W"",""10 mW"",""100 mW""]",0
"For which of the following frequency region(s) can the coupling and bypass capacitors no longer be replaced by the short-circuit approximation?","[""Low-frequency"",""Mid-frequency"",""High-frequency"",""All of the above""]",0
"By what other name(s) are the cut-off frequencies in a frequency response plot called?","[""Corner frequency"",""Break frequency"",""Half-power frequency"",""All of the above""]",3
"What is the ratio of the output power to the input power at the cut-off frequencies in a normalized frequency response plot?","[""0.25"",""0.50"",""0.707"",""1""]",1
"What is the ratio of the output voltage to the input voltage at the cut-off frequencies in a normalized frequency response plot?","[""0.25"",""0.50"",""0.707"",""1""]",2
"What is the normalized gain expressed in dB for the cut-off frequencies?","[""\u20133 dB"",""+3 dB"",""\u20136 dB"",""\u201320 dB""]",0
"The ________-frequency response of a transformer-coupled system is calculated primarily by the stray capacitance between the turns of the primary and secondary windings.","[""Low"",""Mid"",""High"",""any of the above""]",2
"The smaller capacitive elements of the design will determine the ________ cut-off frequencies.","[""Low"",""Mid"",""High"",""any of the above""]",2
"What is the ratio of the capacitive reactance X<sub>CS</sub> to the input resistance RI of the input RC circuit of a single-stage BJT amplifier at the low-frequency cut-off?","[""0.25"",""0.50"",""0.75"",""1.0""]",3
"In the input RC circuit of a single-stage BJT, by how much does the base voltage lead the input voltage for frequencies much larger than the cut-off frequency in the low-frequency region?","[""About 0\u00b0"",""45\u00b0"",""About 90\u00b0"",""None of the above""]",0
