question,choices,answer
"Which filter exhibits a linear phase characteristic?","[""Bessel"",""Butterworth"",""Chebyshev"",""all of the above""]",0
"Which filter has a maximally flat response?","[""Bessel"",""Butterworth"",""Chebyshev"",""all of the above""]",1
"Which filter exhibits the most rapid roll-off rate?","[""Bessel"",""Butterworth"",""Chebyshev"",""all of the above""]",2
"A third-order filter will have a roll-off rate of","[""\u201320 dB\/decade."",""\u201340 dB\/decade."",""\u201360 dB\/decade."",""\u201330 dB\/decade.""]",2
"A low-pass filter has a cutoff frequency of 1.23 kHz. Determine the bandwidth of the filter.","[""2.46 kHz"",""1.23 kHz"",""644 Hz"",""not enough information given""]",1
"The bandwidth in a _____ filter equals the critical frequency.","[""low-pass"",""high-pass"",""band-pass"",""band-stop""]",0
"A _____ filter significantly attenuates all frequencies below fc and passes all frequencies above fc.","[""low-pass"",""high-pass"",""band-pass"",""band-stop""]",1
"A _____ filter passes all frequencies within a band between a lower and an upper critical frequency and rejects all others outside this band.","[""low-pass"",""high-pass"",""band-pass"",""band-stop""]",2
"A _____ filter rejects all frequencies within a specified band and passes all those outside this band.","[""low-pass"",""high-pass"",""band-pass"",""band-stop""]",3
"Filters with the _____ characteristic provide a very flat amplitude in the passband and a roll-off rate of –20 dB/decade/pole.","[""Butterworth"",""Chebyshev"",""Bessel"",""none of the above""]",0
"Filters with the _____ characteristic are useful when a rapid roll-off is required because it provides a roll-off rate greater than –20/dB/decade/pole.","[""Butterworth"",""Chebyshev"",""C Bessel"",""none of the above""]",1
"Filters with the _____ characteristic are used for filtering pulse waveforms.","[""Butterworth"",""Chebyshev"",""Bessel"",""none of the above""]",2
"One important application of a state-variable _____ filter with a summing amplifier is to minimize the 60 Hz “hum” in audio systems.","[""low-pass"",""high-pass"",""band-pass"",""band-stop""]",3
"What term means that the midrange voltage gain is assigned a value of 1 (or 0 dB)?","[""critical"",""Miller"",""normalized"",""corner""]",2
"In a multistage amplifier, the overall frequency response is determined by the","[""frequency response of each stage depending on the relationships of the critical frequencies."",""frequency response of the first amplifier."",""frequency response of the last amplifier."",""lower critical frequency of the first amplifier and the upper critical frequency of the final amplifier.""]",0
"The frequency response of an amplifier can be determined using the step response method, and measuring the output rise/fall times between","[""0% and 100% response."",""10% and 90% response."",""25% and 75% response."",""five time constant responses.""]",1
"For low-frequency response, all RC circuits in an amplifier may not have the same critical frequency. Which RC response will determine the critical frequency of the amplifier?","[""the lowest frequency"",""the center frequency"",""the highest frequency"",""the bypass frequency""]",2
"An amplifier has an output voltage of 7.6 V p-p at the midpoint of the frequency range. What is the output at fc?","[""3.8 V p-p"",""3.8 Vrms"",""5.4 Vrms"",""5.4 V p-p""]",3
"An amplifier has an input signal voltage of 0.054 mV. The output voltage is 12.5 V. The voltage gain in dB is","[""53.6 dB."",""107.3 dB."",""231 dB."",""116 dB.""]",1
"A certain amplifier has a bandwidth of 22.5 kHz with a lower cutoff frequency of 600 Hz. What is the value of fcu?","[""600 Hz"",""22.5 kHz"",""23.1 kHz"",""21.9 kHz""]",2
"An amplifier has a Rin = 1.2 kΩ. The coupling capacitor is 1 µF. Determine the approximate lower cutoff frequency.","[""133 Hz"",""1.33 kHz"",""13.3 kHz"",""133 kHz""]",0
"An RC network has values of R = 1.2 kΩ and C = 0.22 µF. Find fc.","[""3.79 kHz"",""1.89 kHz"",""603 Hz"",""60 Hz""]",2
"An RC network has a roll-off of 20 dB per decade. What is the total attenuation between the output voltage in the midrange of the passband as compared to the output voltage at a frequency of 10 times fc?","[""\u20133 dB"",""\u201320 dB"",""\u201323 dB"",""\u201343 dB""]",1
"A roll-off of 20 dB per decade is equivalent to a roll-off of _____ per octave.","[""3 dB"",""13 dB"",""12 dB"",""6 dB""]",3
"Internal transistor junction capacitances affect the high-frequency response of amplifiers by","[""reducing the amplifier\u2019s gain."",""introducing phase shift as the signal frequency increases."",""having no effect."",""reducing the amplifier\u2019s gain and introducing phase shift as the signal frequency increases.""]",3
"______ frequencies are values of frequency at which the RC circuits reduce the voltage gain to 70.7% of its midrange value.","[""Critical"",""Cutoff"",""Corner"",""all of the above""]",3
"Doubling the voltage gain causes a _____ dB ______.","[""10, increase"",""6, increase"",""10, decrease"",""6, decrease""]",1
"Halving the power corresponds to a _____ dB ______.","[""3, decrease"",""10, decrease"",""3, increase"",""10, increase""]",0
"Each RC circuit causes the gain to drop at a rate of _____ dB/decade.","[""20"",""10"",""6"",""none of the above""]",0
"A ten-times change in frequency is called a(n)","[""octave."",""decade."",""decimal."",""none of the above""]",1
"A two-times change in frequency is called a(n)","[""binave."",""octave."",""decade."",""none of the above""]",1
