question,choices,answer
"How many carrier frequencies are used in BPSK?","[""0"",""1"",""2"",""none of the above""]",1
"The constellation diagram of 16-QAM has ______ dots.","[""4"",""8"",""16"",""none of the above""]",2
"AM and FM are examples of ________ conversion.","[""analog-to-analog"",""digital-to-digital"",""analog-to-digital"",""digital-to-analog""]",0
"The Federal Communications Commission (FCC) allows ______ kHz for each FM station.","[""20"",""100"",""200"",""none of the above""]",1
"Analog-to-analog conversion is needed if the available bandwidth is _______.","[""band-pass"",""low-pass"",""either (a) or (b)"",""neither (a) nor (b)""]",0
"In _____ transmission, the frequency of the carrier signal is modulated to follow the changing voltage level (amplitude) of the modulating signal. The peak amplitude and phase of the carrier signal remain constant, but as the amplitude of the information signal changes, the frequency of the carrier changes correspondingly.","[""AM"",""FM"",""PM"",""none of the above""]",1
"How many carrier frequencies are used in QPSK?","[""0"",""2"",""1"",""none of the above""]",1
"Which of the following is not a digital-to-analog conversion?","[""FSK"",""ASK"",""AM"",""PSK""]",2
"_______ conversion is the process of changing one of the characteristics of an analog signal based on the information in the digital data.","[""Analog-to-analog"",""Digital-to-digital"",""Digital-to-analog"",""Analog-to-digital""]",2
"If the baud rate is 400 for a QPSK signal, the bit rate is ________ bps.","[""100"",""400"",""800"",""1600""]",2
"In ________, the phase of the carrier is varied to represent two or more different signal elements. Both peak amplitude and frequency remain constant.","[""PSK"",""FSK"",""ASK"",""QAM""]",0
"Which of the following is not an analog-to-analog conversion?","[""QAM"",""AM"",""PM"",""FM""]",0
"How many carrier frequencies are used in BASK?","[""0"",""1"",""2"",""none of the above""]",1
"Quadrature amplitude modulation (QAM) is a combination of ___________.","[""PSK and FSK"",""ASK and FSK"",""ASK and PSK"",""none of the above""]",2
"In _________, the frequency of the carrier signal is varied to represent data. Both peak amplitude and phase remain constant.","[""ASK"",""FSK"",""PSK"",""QAM""]",1
"If the bit rate for an ASK signal is 1200 bps, the baud rate is ________.","[""1200"",""600"",""400"",""300""]",0
"The constellation diagram of BPSK has ______ dots.","[""0"",""1"",""2"",""none of the above""]",2
"The constellation diagram of QPSK has ______ dots.","[""4"",""2"",""1"",""none of the above""]",0
"In _______, the peak amplitude of one signal level is 0; the other is the same as the amplitude of the carrier frequency.","[""OOK"",""PSK"",""FSK"",""none of the above""]",0
