question,choices,answer
"Electromagnetic interference to a hi-fi amplifier can be caused by:","[""A nearby radio broadcast station."",""Improperly designed receiving antennas."",""Excessive utility voltage."",""Improper balance between the left and right channels.""]",0
"The midrange audio frequencies:","[""Are halfway between the lowest and highest audible frequencies."",""Represent sounds whose volume levels are not too loud or too soft."",""Are above the treble range but below the bass range."",""Are between approximately 0.2 and 2 kHz.""]",3
"An indoor concert hall such that sound reaches every listener’s ears perfectly at all audio frequencies requires:","[""A suspended ceiling with acoustical tile completely covering it."",""Numerous baffles on the walls and ceiling."",""A level of engineering beyond reasonable expectation."",""Avoidance of excessive background noise.""]",2
"A sound volume change of -3 dB represents:","[""A doubling of acoustic power."",""A threefold increase in acoustic power."",""A tenfold increase in acoustic power."",""No change in acoustic power.""]",0
"A sound whose wavelength is 6in in the air has a frequency of:","[""550 Hz."",""1100 Hz."",""2200 Hz."",""It is impossible to calculate from this information.""]",2
"A sound wave that travels at 335 m per second has a frequency of:","[""335 Hz."",""3350 Hz."",""33.5 Hz."",""It is impossible to calculate from this information.""]",3
"The relative phase of two acoustic waves, as they arrive at your ears, can affect:","[""How loud the sound seems."",""The direction from which the sound seems to be coming."",""Both A and B."",""Neither A nor B.""]",2
"In an acoustic sine wave:","[""The frequency and phase are identical."",""The sound power is inversely proportional to the frequency."",""The sound power is directly proportional to the frequency."",""All of the sound power is concentrated at a single frequency.""]",3
"Vinyl disks are:","[""Susceptible to physical damage."",""Useful primarily in high-power sound systems."",""Digital media."",""Preferred for off-the-air sound recording.""]",0
"If an amplifier introduces severe distortion in the waveforms of input signals, then that amplifier is:","[""Not delivering enough power."",""Operating at the wrong frequency."",""Operating in a nonlinear fashion."",""Being underdriven.""]",2
"If a 10-watt amplifier is used with speakers designed for a 100-watt amplifier:","[""The speakers are capable of handling the amplifier output."",""The amplifier might be damaged by the speakers."",""Electromagnetic interference is likely to occur."",""The speakers are likely to produce distortion of the sound.""]",0
"Which of the following frequencies cannot be received by an AM/FM tuner?","[""830 kHz."",""95.7 kHz."",""100.1 MHz."",""107.3 MHz.""]",1
"A woofer:","[""Is especially useful for reproducing the sounds of barking dogs."",""Is designed to handle short, intense bursts of sound."",""Should not be used with a graphic equalizer."",""Is designed to reproduce low-frequency sounds.""]",3
"Suppose you have an amateur radio station and its transmitter causes EMI to your hi-fi system. Which of the following would almost certainly <i>not </i>help?","[""Buy a radio transmitter that works on the same frequencies with the same power output, but is made by a different manufacturer."",""Reduce the transmitter output power."",""Use shielded speaker wires in the hi-fi system."",""Move the radio transmitting antenna to a location farther away from the hi-fi system.""]",0
"A tape recording head:","[""Converts sound waves to radio signals."",""Converts sound waves to fluctuating electric current."",""Converts audio-frequency currents to a fluctuating magnetic field."",""Converts direct current to audio-frequency currents.""]",2
"A microphone:","[""Converts sound waves to radio signals."",""Converts sound waves to fluctuating electric current."",""Converts audio-frequency currents to a fluctuating magnetic field."",""Converts direct current to audio-frequency currents.""]",1
"An audio mixer:","[""Cannot match impedances."",""Cannot make an amplifier more powerful."",""Will eliminate EMI."",""Allows a microphone to be used as a speaker.""]",1
"Which of the following media or devices use digital-to-analog conversion?","[""A CD player."",""A speaker."",""A microphone."",""A vinyl disk.""]",0
"Phase quadrature is sometimes used to:","[""Increase the output from a microphone."",""Reduce the susceptibility of a hi-fi system to EMI."",""Create the illusion of four-channel stereo when there are really only two channels."",""Convert an analog signal to a digital signal, or vice-versa.""]",2
"The length of time between a point in one cycle and the same point in the next cycle of an ac wave is the:","[""Frequency."",""Magnitude."",""Period."",""Polarity.""]",2
"On a spectrum analyzer, a pure ac signal, having just one frequency component, would look like:","[""A single pip."",""A perfect sine wave."",""A square wave."",""A sawtooth wave.""]",0
"The period of an ac wave is:","[""The same as the frequency."",""Not related to the frequency."",""Equal to 1 divided by the frequency."",""Equal to the amplitude divided by the frequency.""]",2
